action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[17178, 17738, 18290]","[u'up', u'right', u'right']",train_inspector,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'9', u'2', u'1', u'4', u'3', u'10', u'9', u'6', u'7', u'8'], u'time': [3572, 4969, 6092, 7300, 8979, 10166, 11808, 13469, 14029, 14536, 15184, 15778]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2, 7]","[17176, 45, 30]",12.0,"[None, None, None]",,216959,17.0,56130015.0,mouselab-mdp,1
"[10996, 11804, 12699]","[u'up', u'right', u'right']",train_inspector,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'2', u'6', u'9', u'10', u'8'], u'time': [2095, 4491, 5267, 6609, 7179, 7739, 8829]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 12, 2]","[10993, 287, 368]",7.0,"[None, None, None]",,232288,18.0,26530940.0,mouselab-mdp,1
"[13479, 14032, 15032]","[u'up', u'right', u'right']",train_inspector,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'1', u'2', u'3', u'9', u'6', u'7', u'8'], u'time': [2185, 2763, 3323, 3929, 4489, 5923, 6515, 7029, 7597]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, -2, 2]","[13477, 28, 479]",-7.0,"[None, None, None]",,250528,19.0,3663078.0,mouselab-mdp,1
"[14202, 15258, 16114]","[u'up', u'left', u'left']",train_inspect_cost,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2, 2]","[14200, 534, 323]",7.0,"[None, None, None]",,271394,20.0,91500450.0,mouselab-mdp,1
"[3182, 4686, 5622]","[u'up', u'left', u'left']",train_inspect_cost,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, -2, 2]","[3179, 964, 415]",2.0,"[None, None, None]",,279789,21.0,20615107.0,mouselab-mdp,1
"[2978, 3618, 4202]","[u'up', u'right', u'right']",train_inspect_cost,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5'], u'time': [919, 1933]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -2, 2]","[2966, 121, 59]",-4.0,"[None, None, None]",,287022,22.0,7527742.0,mouselab-mdp,1
"[5890, 6610, 7402]","[u'up', u'right', u'right']",train_inspect_cost,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [1467, 3266]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 2, -2]","[5888, 191, 266]",-4.0,"[None, None, None]",,296998,23.0,11522314.0,mouselab-mdp,1
"[2266, 2850, 3410]","[u'up', u'left', u'left']",train_inspect_cost,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [675, 1396]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 7, 7]","[2263, 62, 38]",10.0,"[None, None, None]",,302942,24.0,55396361.0,mouselab-mdp,1
"[16636, 17708, 18588]","[u'up', u'left', u'left']",train_final,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [1775]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 7, 2]","[16632, 550, 364]",1.0,"[None, None, None]",,326213,25.0,50503311.0,mouselab-mdp,1
"[7591, 8199, 8815]","[u'up', u'left', u'left']",train_final,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5'], u'time': [6048, 6812]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -2, 7]","[7589, 76, 109]",1.0,"[None, None, None]",,338239,26.0,19265559.0,mouselab-mdp,1
