PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,3.27,0.01,True,0,24,4,False,after_each_move,0.1,none,0,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",327.1,"[7, 11, 8, 14, 3, 0]",True,1.7
featureBased,1.55,0.01,True,4,24,4,True,after_each_move,1.25,full,1,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",155.25,"[5, 4, 2, 0, 12, 10]",True,1.7
objectLevel,0.0,0.01,False,8,24,4,True,after_each_move,4.0,full,2,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,,True,1.7
objectLevel,0.0,0.01,False,7,24,4,True,after_each_move,1.25,full,3,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1.7
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,4,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-48.0,"[6, 7, 14, 13, 3, 8]",True,1.7
none,3.84,0.01,True,0,24,4,False,after_each_move,0.1,none,5,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",384.4,"[6, 13, 9, 1, 8, 14]",True,1.7
objectLevel,2.09,0.01,True,7,24,4,True,after_each_move,1.25,full,6,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",208.75,"[11, 8, 7, 4, 9, 1]",True,1.7
objectLevel,0.89,0.01,True,7,24,4,True,after_each_move,1.25,full,7,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",89.25,"[12, 7, 4, 14, 2, 11]",True,1.7
objectLevel,0.0,0.01,False,7,24,4,True,after_each_move,1.25,full,8,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1.7
featureBased,1.71,0.01,True,4,24,4,True,after_each_move,1.25,full,9,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",171.0,"[6, 14, 8, 5, 15, 10]",True,1.7
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,10,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-116.0,"[2, 0, 14, 6, 11, 15]",True,1.7
