,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
0,0,0.01,featureBased,full,1,5,"[6, 0, 0]",1.95,5,"[4, 3, 7, 13, 12]","[2075, 7882, 124244, 138316, 139251]","[1, 3, 7, 13]","[109559, 133762, 140962]"
1,0,0.01,featureBased,full,2,6,"[9, 0, 3]",6.96,4,"[3, 12, 15, 10]","[2608, 4671, 7136, 10952]","[1, 4, 8, 15]","[12614, 25062, 27542]"
2,0,0.01,featureBased,full,3,9,"[4, 0, 1]",41.98,2,"[5, 16]","[2591, 2991]","[1, 5, 9, 16]","[5236, 12756, 14132]"
3,0,0.01,featureBased,full,4,0,"[9, 0, 0]",14.93,7,"[2, 10, 5, 17, 3, 12, 13]","[4631, 5295, 7471, 8055, 12951, 13591, 14977]","[1, 3, 7, 13]","[18709, 32674, 33859]"
4,0,0.01,featureBased,full,5,7,"[2, 0, 1]",33.94,6,"[4, 8, 15, 5, 9, 16]","[2083, 2635, 3139, 5003, 5339, 5724]","[1, 5, 9, 16]","[7281, 13265, 15409]"
5,0,0.01,featureBased,full,6,8,"[5, 0, 0]",27.96,4,"[2, 6, 11, 10]","[5688, 6137, 6584, 7312]","[1, 2, 6, 10]","[8582, 17111, 23138]"
6,0,0.01,featureBased,full,7,2,"[2, 0, 0]",33.92,8,"[4, 8, 14, 15, 2, 6, 10, 11]","[1617, 2040, 2512, 3256, 4096, 5031, 5360, 5897]","[1, 2, 6, 10]","[7511, 14326, 16566]"
7,0,0.01,featureBased,full,8,4,"[2, 0, 0]",41.92,8,"[5, 9, 16, 17, 11, 10, 12, 15]","[1284, 1564, 1924, 2348, 4212, 4744, 5540, 6276]","[1, 5, 9, 17]","[7458, 13315, 19118]"
8,0,0.01,featureBased,full,9,3,"[2, 0, 0]",33.95,5,"[4, 2, 10, 6, 11]","[3803, 4971, 5875, 6318, 6859]","[1, 2, 6, 10]","[8153, 13498, 15369]"
9,0,0.01,featureBased,full,10,1,"[0, 0, 0]",45.9,10,"[4, 2, 5, 3, 13, 12, 7, 9, 17, 16]","[1375, 2214, 2942, 3614, 4630, 5110, 5590, 6726, 7335, 7847]","[1, 5, 9, 16]","[8957, 14717, 16604]"
10,0,0.01,featureBased,full,11,12,[],36.95,5,"[5, 3, 13, 7, 12]","[854, 1725, 2806, 3541, 4062]","[1, 3, 7, 12]","[5076, 5684, 6580]"
11,0,0.01,featureBased,full,12,13,[],21.89,11,"[13, 12, 5, 2, 4, 10, 11, 6, 8, 14, 15]","[888, 1495, 2351, 2871, 3919, 4952, 5831, 6479, 7328, 7928, 8360]","[1, 2, 6, 10]","[13618, 14177, 14786]"
