action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[5760, 6448, 7066]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'2', u'3'], u'time': [1470, 2196, 2814, 3596, 4140]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 8, 48]","[5756, 156, 88]",53.0,"[None, None, None]","[u'', 2, 8, 48, 24, -2, 4, 24, 24, -2, -4, -48, -24]",420962,23.0,8872.0,-8.92386760362e+18,mouselab-mdp,129
"[6900, 7516, 8102]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'7', u'8', u'3', u'2'], u'time': [622, 1442, 1860, 2722, 3320, 4912, 5854]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]","[6896, 82, 50]",45.0,"[None, None, None]","[u'', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",431898,24.0,9876.0,3.41976950562e+18,mouselab-mdp,129
"[6892, 7468, 8028]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'3', u'4', u'2'], u'time': [1094, 2744, 4020, 4666]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 24]","[6888, 46, 22]",16.0,"[None, None, None]","[u'', 4, -8, 24, 24, 2, 4, 24, 48, -2, 4, 24, -48]",442538,25.0,9580.0,6.72269827856e+18,mouselab-mdp,129
"[7194, 7834, 8386]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'11', u'10'], u'time': [1170, 1904, 2466, 3334, 4430]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 48]","[7192, 130, 16]",39.0,"[None, None, None]","[u'', 2, 8, 24, -24, 2, -8, -24, -24, 4, -8, 48, 48]",453594,26.0,9994.0,-3.20049588135e+18,mouselab-mdp,129
"[5710, 6270, 6886]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'3', u'4', u'2'], u'time': [1520, 2094, 2610, 3616, 4256, 4912]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 24]","[5706, 22, 92]",30.0,"[None, None, None]","[u'', 4, 8, -24, 24, -2, 4, -24, 48, 2, -8, 24, 48]",464346,27.0,9694.0,8.86605250045e+18,mouselab-mdp,129
"[6656, 7248, 7816]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'7', u'8', u'6'], u'time': [2130, 2816, 3414, 4444, 5002, 5880]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 24]","[6654, 72, 42]",24.0,"[None, None, None]","[u'', -2, 8, 24, -48, 2, 4, -24, 24, -2, -8, 48, -24]",475042,28.0,9632.0,6.28255860945e+18,mouselab-mdp,129
"[7510, 8088, 8736]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'11', u'12', u'4', u'2'], u'time': [1074, 1924, 2570, 3802, 4702, 5542, 6804]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 48]","[7506, 48, 116]",47.0,"[None, None, None]","[u'', 2, 4, -24, 48, -4, 8, -48, 48, 2, -4, 24, -24]",486144,29.0,10038.0,-8.3276713645e+18,mouselab-mdp,129
"[12641, 14014, 20352]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'2', u'6'], u'time': [5159, 6738, 7915, 10226, 11045]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 24]","[12632, 861, 5815]",31.0,"[None, None, None]","[u'', 4, -4, -48, -48, 4, 8, 24, -24, -2, 8, 48, -48]",510534,0.0,24102.0,-6.97855305918e+18,mouselab-mdp,130
"[12593, 13419, 15510]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'10', u'2', u'6', u'7', u'8'], u'time': [2713, 3423, 4064, 5507, 6672, 7738, 9766, 10708]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 8, -48]","[12588, 299, 1588]",-46.0,"[None, None, None]","[u'', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",529208,1.0,17563.0,4.95354184513e+17,mouselab-mdp,130
"[12898, 13571, 14182]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'6', u'2', u'7', u'8', u'3', u'4'], u'time': [1844, 2937, 4014, 5417, 6519, 8293, 9675, 10829, 11658]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 24]","[12895, 158, 85]",21.0,"[None, None, None]","[u'', 2, 4, -24, 24, 4, 8, -48, -48, -4, -4, -48, -24]",546184,2.0,15899.0,-7.78403282575e+18,mouselab-mdp,130
"[13727, 14329, 14947]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'10', u'2', u'6', u'7'], u'time': [1831, 6331, 7480, 8804, 10287, 11192, 12178]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 24]","[13723, 86, 105]",29.0,"[None, None, None]","[u'', 2, 4, 24, -24, 4, 8, 24, -24, 4, 4, 24, 48]",563520,3.0,16270.0,5.95911582726e+18,mouselab-mdp,130
"[12678, 13727, 14445]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'10', u'2', u'6', u'3', u'4'], u'time': [1296, 2222, 3946, 4860, 5801, 6659, 9273, 11540]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 8, 24]","[12674, 539, 207]",26.0,"[None, None, None]","[u'', 2, 8, 24, -24, 2, -8, -24, -24, 4, -8, 48, 48]",580323,4.0,15672.0,-3.20049588135e+18,mouselab-mdp,130
"[11704, 12326, 12975]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'1', u'2', u'10', u'6', u'3', u'7', u'8'], u'time': [1157, 1975, 2959, 3921, 5359, 6429, 7695, 8674, 10005]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 48]","[11697, 94, 130]",51.0,"[None, None, None]","[u'', 4, 8, -24, 48, 2, 8, -48, -48, 2, -4, 24, -48]",595720,5.0,14289.0,-6.66851853783e+18,mouselab-mdp,130
"[8792, 11960, 13448]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'6'], u'time': [2478, 3361, 4080, 5590]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -4, 48]","[8788, 2671, 993]",42.0,"[None, None, None]","[u'', -2, -4, 48, -24, 2, -4, 48, 24, -2, -8, -24, -24]",612233,6.0,15414.0,2.59386444745e+18,mouselab-mdp,130
"[9415, 10355, 11097]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'2', u'10', u'4'], u'time': [1881, 2647, 3667, 5239, 6432, 7925]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 48]","[9412, 418, 227]",48.0,"[None, None, None]","[u'', 2, 4, -24, 48, -4, 8, -48, 48, 2, -4, 24, -24]",625819,7.0,12501.0,-8.3276713645e+18,mouselab-mdp,130
"[14414, 15014, 15728]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'10', u'11', u'12', u'4', u'3', u'7', u'8'], u'time': [1042, 1883, 2585, 3909, 7709, 8551, 9789, 10601, 11254, 13152]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -8, 48]","[14411, 80, 196]",28.0,"[None, None, None]","[u'', -4, -4, -48, -48, -2, -8, 24, 48, 2, 4, -24, -48]",644069,8.0,17166.0,-1.84824368346e+18,mouselab-mdp,130
"[9321, 10000, 10764]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'7', u'3', u'4', u'11', u'12'], u'time': [3057, 4291, 5157, 6055, 6817, 7781]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 8, 24]","[9318, 162, 242]",24.0,"[None, None, None]","[u'', 2, 4, -24, -48, -2, -4, -24, -24, -2, 8, 24, -24]",657298,9.0,12132.0,1.18238643611e+16,mouselab-mdp,130
"[3261, 3962, 4655]","[u'left', u'left', u'down']",test,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12'], u'time': [1000]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 48]","[3258, 184, 177]",47.0,"[None, None, None]","[u'', 2, -4, 24, -48, -4, -8, -48, -48, -4, 4, -48, 48]",668493,10.0,10085.0,2.1183359843e+18,mouselab-mdp,130
"[30541, 31116, 31698]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'11', u'12', u'7', u'8', u'1', u'9', u'5', u'10', u'2'], u'time': [13797, 15661, 16968, 17733, 19052, 19899, 22880, 23610, 24225, 27014, 28057]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 4, 24]","[30532, 45, 65]",15.0,"[None, None, None]","[u'', -2, 4, -24, 24, -2, -4, -48, -48, 4, -8, 24, 24]",702309,11.0,32730.0,2.82020194745e+17,mouselab-mdp,130
"[12274, 12856, 13399]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'11', u'12', u'8', u'7', u'3', u'2', u'1'], u'time': [2248, 3095, 3715, 4600, 5402, 5953, 7330, 8165]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -4, 24]","[12271, 67, 27]",14.0,"[None, None, None]","[u'', 2, -4, 24, 24, -4, 4, -24, -24, -2, 4, -24, -48]",717998,12.0,14587.0,7.86254308938e+18,mouselab-mdp,130
