,bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
51,0.0,0.0015,312,True,0,1,51,Fri Apr 06 2018 18:00:50 GMT-0400 (Eastern Daylight Time),False,A1.0
52,0.72,0.0015,312,True,1,1,52,Thu Apr 05 2018 22:51:22 GMT-0400 (Eastern Daylight Time),True,A1.0
53,0.0,0.0015,312,True,0,1,53,Sat Apr 07 2018 00:01:28 GMT-0400 (Eastern Daylight Time),False,A1.0
54,0.0,0.0015,312,True,1,1,54,Wed Apr 04 2018 19:55:54 GMT-0400 (Eastern Daylight Time),True,A1.0
55,2.27,0.0015,312,True,0,1,55,Fri Apr 06 2018 15:37:33 GMT-0700 (PDT),False,A1.0
56,0.0,0.0015,312,True,0,1,56,Wed Apr 04 2018 14:27:48 GMT-0500 (CDT),False,A1.0
57,0.0,0.0015,312,True,1,1,57,Thu Apr 05 2018 13:34:54 GMT-0500 (Central Daylight Time),True,A1.0
58,0.0,0.0015,312,True,1,1,58,Thu Apr 05 2018 14:23:21 GMT-0400 (Eastern Daylight Time),True,A1.0
59,0.0,0.0015,312,True,0,1,59,Wed Apr 04 2018 18:31:03 GMT-0500 (Central Daylight Time),False,A1.0
60,0.61,0.0015,312,True,1,1,60,Fri Apr 06 2018 17:02:56 GMT-0500 (CDT),True,A1.0
61,0.0,0.0015,312,True,0,1,61,Wed Apr 04 2018 18:36:16 GMT-0400 (Eastern Daylight Time),False,A1.0
62,0.0,0.0015,312,True,0,1,62,Thu Apr 05 2018 14:46:38 GMT-0400 (Eastern Daylight Time),False,A1.0
63,0.0,0.0015,312,True,1,1,63,Thu Apr 05 2018 14:48:22 GMT-0400 (Eastern Daylight Time),True,A1.0
64,0.0,0.0015,312,True,1,1,64,Thu Apr 05 2018 23:00:31 GMT-0500 (Central Daylight Time),True,A1.0
65,0.45,0.0015,312,True,0,1,65,Fri Apr 06 2018 15:57:42 GMT-0700 (PDT),False,A1.0
66,0.0,0.0015,312,True,0,1,66,Wed Apr 04 2018 15:37:14 GMT-0400 (Eastern Daylight Time),False,A1.0
67,0.0,0.0015,312,True,1,1,67,Fri Apr 06 2018 10:45:42 GMT-0700 (Pacific Standard Time),True,A1.0
