pid,assignment_id,worker_id
70,3LJ7UR74RHDUE23JVD7RWWOACV4N4X,A35NEL9WYU3VG8
71,3X4JMASXCM9BE5WL9MFGTYY3EVYB06,A36B9OFG2QJTM7
72,3OUYGIZWR7YDIZXVSRXHOI3SVZE0PH,A38W9IO2CDPVNO
73,3QIYRE09Y3HDM3608VOPYYH70BVN1L,A39B8U8QLL27A9
74,34PGFRQONOBA4EVIQLLIYHQKN6HJWY,A39MKVROUZ1UWR
75,378XPAWRUCDH2Q897Y4Q4RETI8QIAB,A3C49ON1P4KF40
76,33C7UALJVLYSJWJW2TZ6G1RCBGX18C,A3CKR60DBKQ7ZH
77,3COPXFW7XBCFVP4ZWK7Z72I19W2PKS,A3DT085TCZLLMH
78,3VNXK88KKCI8JDI4EZP9NLT3KQL9VX,A3DU7K7HAS3VUF
79,3OVR4I9USPJFHZGBB5Z80QJFH6RQ4N,A3E35WEQJF5FM8
80,34T446B1C0EUOAORNMBB4I4LWFB0CD,A3EEZL65SHSYQI
81,3NOKK93PR188CYNZRKGLFV6SBSQEEY,A3EWR58W0SA885
82,30OG32W0SUBC640CKJJ45I01PLNENL,A3FNLLSTW94FP7
83,3FIUS151DV24GQFH3AWXF1CG1PGGGW,A3FPPZWMQOANR4
84,3ZOTGHDK5IBVY856MT3M9O4LGM0OSA,A3GBA291RWDP9A
85,3TOK3KHVJTI9FALEYQ5BEX8PT7GO7E,A3J84UA7THFJGI
86,3PEIJLRY6TTBZY077P0JPQYZY2FWXE,A3J85WP15JFYW0
87,304SM51WA34BFEGXIOY0344M9ONBS1,A3KDFZKFG91I14
88,3RXPCZQMQPB7CBPELRBU8E8AZZ9G16,A3KROAV2O4QIA3
89,317HQ483I7SOM92YG29VQXYTHD5NIC,A3ME47F4XIL791
90,36U2A8VAG1Z943W0N73IKTBDD12KYE,A3MZE4FJ658B79
91,3L2IS5HSFAITV0XYAJY990M4B88NU0,A3N3LHDJHLHLTQ
92,3PM8NZGV8YG6F14LVG1DX1GDA2KXQZ,A3NZB7Y6YRNFX6
93,3570Y55XZPJ42H0HXGI3M1JK6L6GYU,A3U15I26Q6IYP
94,39ZSFO5CA8WXCA6DVL6HGT5N2ONUJN,A3UQ982VZ9PRXO
95,3Z9WI9EOZZONI86BD7ZUYTGAN5LHK8,A3VTOW7WLPTBRR
96,3ND9UOO81K2GZ4JIT6XVEW3CRURLW5,A6G30K3SIWKZ9
97,3W8CV64QJ2Z31CNK9A858K2UCBA9H7,A6N190372TE5T
98,3QILPRALQ5VVX3QL7GX4D84FEH0N84,A7MMB73ULJ8JP
99,3QUO65DNQUOBDLXABYYMOPM91IXUO6,AA8MK8AWWWL62
100,3N2BF7Y2VQUI8W6EYJCAD68ECADMHF,AAGP5VATPK8N2
101,3VAR3R6G1P1DFOQX8VXHSX4K4R3O8I,AB7LYMORLR5H0
102,3F0BG9B9MPNL9OPG4DE9GO6R7H47YX,AD1ILDUXZHASF
103,3Z7VU45IPYH73SKJBJZJTLOGAPVZ16,AHIJACUG7ZL9B
104,3YOH7BII097S091VIWGYDU7JVKXKV2,AHIM8PGYOIN0K
105,3Z2R0DQ0JHEGHIBJY0LKDUX3EQW2EI,AIEEVSPS0327Z
106,3LKC68YZ3A3O5PMF6YDN6D76MY1WO0,AJK65034OMTZIY
107,3VNXK88KKCI8JDI4EZP9NLT3KQQV9O,AKPSJ43SGW88I
108,3PPTZCWALQKVKW40WYPYUMWOI2IZQY,ALQWPBNHFXDQ9
109,3G2UL9A02DEJQ4FAYUJHXXMY88V76J,ANG5NPLRYZ7ZG
110,3VHHR074H3H19PIHLYPJMG4VY2V7L0,AQZS4LLD5E5ZW
111,3P4MQ7TPPXCCYSZV72C5DFUM5YBBB6,ASLGHXA4453BQ
112,3M23Y66PO27592Z2MXHSSOIUVLZS6G,ASXFMHGSF0GU6
113,37QW5D2ZRGMSDGIQFCEQC2EL1HXS8C,ATXY4CAGV87ZL
114,3NGI5ARFTT5DPOIDOA1H2NM20RK1PL,AUZ3YWTVBISNH
115,32AT8R96GL9QBDP3IFFV8UWAY8PUSU,AVTLWWC78O2VW
116,37W3JXSD6680Z3QHCLML845808EYWR,AWFV060KZ7TEI
117,3DY46V3X3PI8KW1D5IUF77U2L8R55Q,AYSZ8OLE0JQ69
118,3KB8R4ZV1E78P976NO4JEQLJLBDBGX,AYXDE087J2KO
