PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,0.77,0.01,True,0,24,4,False,after_each_move,1.25,none,123,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",76.75,"[3, 7, 10, 13, 14, 9]",True,1C.1
none,0.3,0.01,True,0,24,4,False,after_each_move,1.25,none,124,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",29.75,"[1, 11, 6, 5, 7, 2]",True,1C.1
demonstration,2.5,0.01,True,2,24,4,False,after_each_move,1.25,full,125,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",249.5,"[10, 7, 13, 0, 12, 5]",True,1C.1
none,0.88,0.01,True,0,24,4,False,after_each_move,1.25,none,126,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",88.0,"[5, 15, 10, 4, 1, 9]",True,1C.1
featureBased,2.25,0.01,True,1,24,4,True,after_each_move,1.25,full,127,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",224.75,"[10, 0, 5, 9, 14, 12]",True,1C.1
featureBased,2.18,0.01,True,1,24,4,True,after_each_move,1.25,full,128,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",217.5,"[2, 10, 11, 4, 0, 3]",True,1C.1
demonstration,2.07,0.01,True,2,24,4,False,after_each_move,1.25,full,129,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",207.0,"[8, 9, 4, 3, 14, 5]",True,1C.1
demonstration,2.02,0.01,True,2,24,4,False,after_each_move,1.25,full,130,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",201.5,"[14, 10, 4, 3, 0, 5]",True,1C.1
none,2.01,0.01,True,0,24,4,False,after_each_move,1.25,none,131,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",201.25,"[3, 15, 13, 4, 5, 10]",True,1C.1
demonstration,2.34,0.01,True,2,24,4,False,after_each_move,1.25,full,132,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",233.5,"[12, 5, 0, 14, 8, 4]",True,1C.1
demonstration,2.48,0.01,True,2,24,4,False,after_each_move,1.25,full,133,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",248.0,"[0, 5, 3, 14, 7, 8]",True,1C.1
none,0.12,0.01,True,0,24,4,False,after_each_move,1.25,none,134,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",12.0,"[7, 13, 8, 11, 6, 9]",True,1C.1
demonstration,2.14,0.01,True,2,24,4,False,after_each_move,1.25,full,135,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",213.5,"[15, 12, 8, 5, 11, 10]",True,1C.1
demonstration,2.25,0.01,True,2,24,4,False,after_each_move,1.25,full,136,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",224.5,"[6, 12, 14, 15, 2, 1]",True,1C.1
featureBased,2.03,0.01,True,1,24,4,True,after_each_move,1.25,full,137,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",203.25,"[11, 8, 5, 0, 6, 7]",True,1C.1
demonstration,2.0,0.01,True,2,24,4,False,after_each_move,1.25,full,138,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",199.75,"[5, 2, 10, 6, 4, 11]",True,1C.1
featureBased,2.0,0.01,True,1,24,4,True,after_each_move,1.25,full,139,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",199.75,"[12, 5, 3, 14, 0, 4]",True,1C.1
none,0.63,0.01,True,0,24,4,False,after_each_move,1.25,none,140,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",62.75,"[4, 6, 15, 10, 2, 9]",True,1C.1
none,1.56,0.01,True,0,24,4,False,after_each_move,1.25,none,141,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",156.0,"[2, 1, 0, 8, 4, 3]",True,1C.1
featureBased,1.07,0.01,True,1,24,4,True,after_each_move,1.25,full,142,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",106.75,"[4, 14, 7, 5, 9, 0]",True,1C.1
featureBased,2.11,0.01,True,1,24,4,True,after_each_move,1.25,full,143,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",210.5,"[13, 1, 11, 7, 0, 12]",True,1C.1
demonstration,1.42,0.01,True,2,24,4,False,after_each_move,1.25,full,144,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",142.25,"[11, 8, 9, 3, 1, 6]",True,1C.1
