action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[15090, 30968, 38081]","[u'right', u'right', u'down']",,,"[3, 0, 1]","[True, True, True]","[u'1', 2, 6, 11]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'10', u'11'], u'time': [3616, 8783, 12567, 13456]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15088, 3063, 6324]",53.0,,154588,1.0,6.0,mouselab-mdp,,0
"[14081, 30024, 32200]","[u'down', u'down', u'right']",,,"[3, 0, 1]","[True, True, True]","[u'1', 5, 9, 17]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'4', u'3', u'5', u'8', u'9', u'16', u'17'], u'time': [3895, 4830, 5991, 7167, 7943, 9071, 9991, 10720, 11407]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14081, 1656, 1353]",42.0,,226233,2.0,9.0,mouselab-mdp,,0
"[16607, 34869, 46237]","[u'right', u'right', u'up']",,,"[3, 0, 1]","[True, True, True]","[u'1', 2, 6, 10]","[True, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'6', u'11', u'10'], u'time': [7551, 10526, 43983, 45461]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[16605, 2312, 10512]",49.0,,342049,1.0,10.0,mouselab-mdp,,1
"[21367, 38703, 41046]","[u'up', u'up', u'right']",,,"[3, 0, 1]","[True, True, True]","[u'1', 3, 7, 13]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'4', u'3', u'6', u'10', u'11', u'13', u'7'], u'time': [8272, 10104, 11239, 12191, 14903, 16527, 17279, 18433, 19655]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[21367, 1002, 1513]",46.0,,414440,2.0,4.0,mouselab-mdp,,1
