PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,return_time,score,test_idx,version
none,0.48,0.005,True,0,2,2,False,after_each_move,1,full,0,2017-08-09T18:34:20.000Z,95,"[12, 7, 15, 11, 8, 4, 13, 2, 5, 3, 0, 10, 14, 1]",2.1
none,0.48,0.005,True,0,2,2,False,after_each_move,1,full,1,2017-08-09T19:54:01.321Z,95,"[9, 7, 8, 13, 2, 6, 3, 12, 14, 5, 15, 0, 1, 11]",2.1
