action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[20936, 22481, 24177]","[u'left', u'left', u'up']",,,[],[],"[u'0', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'1', u'5', u'3', u'7', u'4', u'9', u'10', u'12', u'11', u'13'], u'time': [2375, 4086, 5074, 5991, 7883, 9155, 11576, 14484, 15282, 16438, 17296, 19390]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[20936, 997, 1168]",3.0,,944304,11.0,,mouselab-mdp,,0
"[10087, 11070, 12144]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'12', u'1', u'5', u'9'], u'time': [1820, 3275, 4648, 5457, 6294, 7028, 8496]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10087, 471, 512]",18.0,,1004113,12.0,,mouselab-mdp,,0
"[15736, 16512, 17424]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'3', u'7', u'1', u'5', u'9'], u'time': [1426, 3410, 5396, 6441, 10719, 11541, 13760]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15736, 179, 388]",18.0,,1235904,13.0,,mouselab-mdp,,0
"[29839, 30559, 31231]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'8', u'16', u'15', u'1', u'5', u'9', u'10'], u'time': [1402, 2185, 2788, 4716, 5403, 6218, 12173, 15185, 16238, 17596]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[29839, 183, 141]",-5.0,,1283819,14.0,,mouselab-mdp,,0
"[36204, 37108, 38182]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'1', u'3', u'7', u'5', u'9', u'10', u'6', u'8', u'15', u'16', u'14', u'13', u'12', u'11'], u'time': [2938, 4042, 5305, 6214, 7233, 8259, 10390, 14044, 16130, 18384, 21159, 21973, 23505, 25315, 31637, 32476]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[36204, 339, 557]",-11.0,,1331276,15.0,,mouselab-mdp,,0
"[14968, 16030, 108812]","[u'left', u'left', u'up']",,,[],[],"[u'0', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'10', u'7', u'13', u'14', u'3'], u'time': [1245, 2771, 3664, 4474, 5826, 8698, 9630, 12010]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14968, 540, 92176]",7.0,,1442038,16.0,,mouselab-mdp,,0
"[29280, 33662, 35229]","[u'down', u'down', u'right']",,,[],[],"[u'0', 4, 8, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'1', u'5', u'10', u'9', u'4', u'8', u'15', u'14', u'7', u'3', u'13', u'12', u'16'], u'time': [2958, 5339, 7160, 9465, 11060, 12263, 14908, 16728, 17988, 19110, 20124, 20892, 21703, 22606, 24308, 25544]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[29279, 3875, 1052]",-41.0,,191585,1.0,,mouselab-mdp,,1
"[4014, 7147, 9215]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4014, 2621, 1555]",-5.0,,253001,2.0,,mouselab-mdp,,1
"[1576, 7666, 9275]","[u'left', u'left', u'up']",,,[],[],"[u'0', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1576, 5574, 1099]",-15.0,,317730,3.0,,mouselab-mdp,,1
"[5961, 11521, 13421]","[u'up', u'up', u'right']",,,[],[],"[u'0', 2, 6, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5961, 5037, 1381]",5.0,,386824,4.0,,mouselab-mdp,,1
"[3102, 6174, 8255]","[u'down', u'down', u'left']",,,[],[],"[u'0', 4, 8, 15]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3102, 2567, 1566]",-25.0,,471138,5.0,,mouselab-mdp,,1
"[3255, 5752, 7135]","[u'left', u'left', u'down']",,,[],[],"[u'0', 3, 7, 14]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3255, 1982, 879]",15.0,,530132,6.0,,mouselab-mdp,,1
"[2923, 4114, 4956]","[u'left', u'left', u'down']",,,[],[],"[u'0', 3, 7, 14]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2923, 687, 337]",-25.0,,577302,7.0,,mouselab-mdp,,1
"[2717, 5283, 6627]","[u'left', u'left', u'up']",,,[],[],"[u'0', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2717, 2051, 842]",15.0,,701901,8.0,,mouselab-mdp,,1
"[5203, 7321, 8603]","[u'right', u'right', u'down']",,,[],[],"[u'0', 1, 5, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5202, 1610, 770]",5.0,,770172,9.0,,mouselab-mdp,,1
"[3891, 8630, 12768]","[u'left', u'left', u'down']",,,[],[],"[u'0', 3, 7, 14]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3891, 4238, 3634]",-5.0,,837131,10.0,,mouselab-mdp,,1
"[5253, 10826, 13129]","[u'up', u'up', u'left']",,,[],[],"[u'0', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5252, 5059, 1790]",-15.0,,1099842,11.0,,mouselab-mdp,,1
"[1277, 9002, 12082]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1277, 7205, 2570]",15.0,,94457,1.0,,mouselab-mdp,,2
"[3441, 5824, 7529]","[u'up', u'up', u'right']",,,[],[],"[u'0', 2, 6, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3441, 1866, 1191]",-25.0,,166633,2.0,,mouselab-mdp,,2
"[1835, 3491, 4970]","[u'down', u'down', u'left']",,,[],[],"[u'0', 4, 8, 15]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1835, 1138, 972]",-15.0,,259168,3.0,,mouselab-mdp,,2
"[36377, 37702, 38950]","[u'down', u'down', u'right']",,,[],[],"[u'0', 4, 8, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'10', u'14', u'13', u'11', u'12', u'16', u'15', u'3', u'4', u'2', u'6', u'7', u'8'], u'time': [2958, 5027, 7028, 7997, 8703, 9210, 9985, 10561, 11303, 11853, 14691, 15296, 16004, 16803, 17412, 18142]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[36377, 821, 735]",9.0,,169647,1.0,,mouselab-mdp,,3
