PR_type,bonus,completed,condition,feedback,info_cost,message,pid,version
fullObservation,0.2,True,5,True,2.8,full,174,0.4
none,0.2,True,1,False,2.8,none,175,0.4
fullObservation,1.8945,True,4,True,0.01,full,176,0.4
featureBased,1.9920000000000002,True,2,True,0.01,full,177,0.4
fullObservation,0.0,True,5,True,2.8,full,178,0.4
featureBased,1.77,True,3,True,2.8,full,179,0.4
fullObservation,0.0,True,5,True,2.8,full,180,0.4
fullObservation,0.65,True,5,True,2.8,full,181,0.4
featureBased,1.8985,True,2,True,0.01,full,182,0.4
none,0.5700000000000001,True,1,False,2.8,none,183,0.4
featureBased,1.6920000000000002,True,2,True,0.01,full,184,0.4
featureBased,2.294,True,2,True,0.01,full,185,0.4
none,0.25,True,0,False,0.01,none,186,0.4
fullObservation,0.0,False,5,True,2.8,full,187,0.4
fullObservation,0.0,False,5,True,2.8,full,188,0.4
none,0.7975,True,0,False,0.01,none,189,0.4
none,2.045,True,0,False,0.01,none,190,0.4
none,1.6980000000000002,True,0,False,0.01,none,191,0.4
featureBased,1.6965000000000001,True,2,True,0.01,full,192,0.4
none,2.096,True,0,False,0.01,none,193,0.4
fullObservation,1.6920000000000002,True,4,True,0.01,full,194,0.4
none,1.1500000000000001,True,1,False,2.8,none,195,0.4
none,0.0,False,1,False,2.8,none,196,0.4
none,0.0,True,1,False,2.8,none,197,0.4
none,1.56,True,1,False,2.8,none,198,0.4
none,0.0,False,1,False,2.8,none,199,0.4
none,0.63,True,1,False,2.8,none,200,0.4
fullObservation,1.7000000000000002,True,5,True,2.8,full,201,0.4
none,0.0,False,1,False,2.8,none,202,0.4
fullObservation,0.06,True,5,True,2.8,full,203,0.4
featureBased,0.0,True,3,True,2.8,full,204,0.4
fullObservation,1.092,True,4,True,0.01,full,205,0.4
featureBased,0.49000000000000005,True,3,True,2.8,full,206,0.4
fullObservation,1.8420000000000003,True,4,True,0.01,full,207,0.4
none,0.049,True,0,False,0.01,none,208,0.4
featureBased,0.0,False,3,True,2.8,full,209,0.4
none,0.0,False,1,False,2.8,none,210,0.4
fullObservation,0.0,False,4,True,0.01,full,211,0.4
fullObservation,0.0,False,4,True,0.01,full,212,0.4
featureBased,1.6940000000000002,True,2,True,0.01,full,213,0.4
fullObservation,0.0,True,5,True,2.8,full,214,0.4
fullObservation,2.2920000000000003,True,4,True,0.01,full,215,0.4
