action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[7606, 21502, 23497]","[u'right', u'right', u'down']",,,"[11, 0, 0]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'10'], u'time': [2317, 5729, 6597]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7605, 358, 1163]",29.6,,152294,1.0,6.0,mouselab-mdp,,0
"[9988, 23494, 25702]","[u'down', u'down', u'left']",,,"[9, 0, 0]","[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'5'], u'time': [3726, 6642]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9988, 2357, 1380]",28.4,,224688,2.0,7.0,mouselab-mdp,,0
"[9127, 30966, 33092]","[u'right', u'right', u'down']",,,"[18, 0, 0]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2'], u'time': [5663, 6541, 7408, 8115]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9127, 1133, 1260]",-1.2,,291248,3.0,10.0,mouselab-mdp,,0
"[4739, 17448, 19308]","[u'left', u'left', u'up']",,,"[9, 0, 0]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4'], u'time': [2617, 3681]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4739, 1491, 1005]",10.4,,347877,4.0,4.0,mouselab-mdp,,0
"[5115, 19254, 23824]","[u'down', u'down', u'right']",,,"[9, 3, 0]","[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'16'], u'time': [2507, 3317, 17978]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5115, 2128, 74]",1.6,,412102,5.0,0.0,mouselab-mdp,,0
"[14537, 27178, 28514]","[u'up', u'up', u'right']",,,"[9, 0, 0]","[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'13'], u'time': [11353, 13144]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14536, 812, 312]",29.4,,470237,6.0,8.0,mouselab-mdp,,0
"[12255, 56649, 57799]","[u'down', u'down', u'left']",,,"[29, 0, 0]","[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'3', u'5', u'13', u'16', u'12'], u'time': [3040, 3811, 4455, 5235, 6829, 7819, 10459]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12254, 10854, 121]",26.4,,550661,7.0,1.0,mouselab-mdp,,0
"[13661, 71515, 72658]","[u'right', u'right', u'up']",,,"[47, 0, 0]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'17', u'16', u'12', u'13', u'2', u'10', u'11', u'14', u'15', u'4'], u'time': [2060, 3169, 3859, 6247, 6975, 7777, 8320, 8945, 10069, 10737, 12551]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13661, 4461, 3]",3.2,,655932,8.0,3.0,mouselab-mdp,,0
"[5227, 31358, 32309]","[u'right', u'right', u'down']",,,"[12, 0, 0]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'10', u'11'], u'time': [2295, 3028, 4206]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5227, 10409, 2]",29.6,,717483,9.0,11.0,mouselab-mdp,,0
"[5239, 15193, 24307]","[u'left', u'left', u'down']",,,"[4, 6, 0]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'15', u'14'], u'time': [3722, 13190, 14056]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5239, 2933, 1347]",19.6,,781407,10.0,9.0,mouselab-mdp,,0
