PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,score,test_idx,time_limit,version
none,3.48,0.01,True,2,24,4,False,after_each_move,0.1,none,0,348.1,"[14, 10, 11, 8, 7, 1]",True,0.995
none,3.75,0.01,True,1,24,4,False,after_each_move,0.05,none,1,375.35,"[4, 8, 11, 6, 2, 12]",True,0.995
none,1.52,0.01,True,3,24,4,False,after_each_move,1.25,none,2,151.5,"[6, 7, 10, 14, 9, 4]",True,0.995
none,0.28,0.01,True,3,24,4,False,after_each_move,1.25,none,3,27.5,"[1, 8, 0, 9, 15, 10]",True,0.995
none,3.32,0.01,True,1,24,4,False,after_each_move,0.05,none,4,331.9,"[4, 7, 13, 9, 8, 1]",True,0.995
none,3.77,0.01,True,1,24,4,False,after_each_move,0.05,none,5,377.3,"[6, 9, 8, 15, 2, 5]",True,0.995
none,0.96,0.01,True,0,24,4,False,after_each_move,0.01,none,6,96.0,"[3, 4, 14, 9, 13, 5]",True,0.995
none,1.96,0.01,True,3,24,4,False,after_each_move,1.25,none,7,195.5,"[4, 9, 12, 10, 13, 8]",True,0.995
none,3.91,0.01,True,1,24,4,False,after_each_move,0.05,none,8,391.45,"[5, 4, 1, 7, 0, 6]",True,0.995
none,0.0,0.01,False,3,24,4,False,after_each_move,1.25,none,9,,,True,0.995
none,0.72,0.01,True,1,24,4,False,after_each_move,0.05,none,10,72.0,"[6, 12, 3, 10, 15, 0]",True,0.995
none,3.98,0.01,True,0,24,4,False,after_each_move,0.01,none,11,397.76,"[12, 2, 10, 1, 15, 4]",True,0.995
none,3.02,0.01,True,0,24,4,False,after_each_move,0.01,none,12,302.2,"[15, 3, 0, 12, 5, 9]",True,0.995
none,3.91,0.01,True,1,24,4,False,after_each_move,0.05,none,13,390.95,"[15, 4, 11, 7, 9, 12]",True,0.995
none,3.58,0.01,True,0,24,4,False,after_each_move,0.01,none,14,358.17,"[12, 14, 7, 6, 9, 11]",True,0.995
none,3.65,0.01,True,2,24,4,False,after_each_move,0.1,none,15,365.3,"[6, 8, 0, 11, 15, 1]",True,0.995
none,3.58,0.01,True,0,24,4,False,after_each_move,0.01,none,16,358.26,"[14, 5, 1, 13, 11, 15]",True,0.995
none,3.43,0.01,True,0,24,4,False,after_each_move,0.01,none,17,342.58,"[10, 11, 7, 6, 14, 4]",True,0.995
none,0.63,0.01,True,3,24,4,False,after_each_move,1.25,none,18,63.0,"[6, 7, 11, 1, 4, 14]",True,0.995
none,3.43,0.01,True,1,24,4,False,after_each_move,0.05,none,19,343.15,"[14, 0, 12, 13, 1, 3]",True,0.995
none,0.0,0.01,False,1,24,4,False,after_each_move,0.05,none,20,,,True,0.995
none,3.89,0.01,True,1,24,4,False,after_each_move,0.05,none,21,389.25,"[0, 7, 15, 11, 2, 8]",True,0.995
none,3.98,0.01,True,0,24,4,False,after_each_move,0.01,none,22,398.16,"[9, 14, 15, 5, 1, 12]",True,0.995
none,3.9,0.01,True,1,24,4,False,after_each_move,0.05,none,23,390.05,"[9, 0, 14, 6, 2, 4]",True,0.995
none,3.34,0.01,True,2,24,4,False,after_each_move,0.1,none,24,334.1,"[6, 0, 13, 1, 14, 12]",True,0.995
none,3.34,0.01,True,2,24,4,False,after_each_move,0.1,none,25,334.0,"[4, 1, 11, 3, 14, 15]",True,0.995
none,0.0,0.01,True,3,24,4,False,after_each_move,1.25,none,26,-7.75,"[13, 0, 5, 7, 10, 14]",True,0.995
none,0.77,0.01,True,3,24,4,False,after_each_move,1.25,none,27,77.0,"[6, 9, 14, 7, 12, 13]",True,0.995
none,3.85,0.01,True,1,24,4,False,after_each_move,0.05,none,28,384.9,"[7, 0, 9, 15, 1, 2]",True,0.995
