p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,147882,,147883,,,instructions,"[{""page_index"":0,""viewing_time"":59761},{""page_index"":1,""viewing_time"":57599},{""page_index"":2,""viewing_time"":30521}]",26
,,,,,,,,,,,,,,194151,,194153,,,instructions,"[{""page_index"":0,""viewing_time"":110118},{""page_index"":1,""viewing_time"":54776},{""page_index"":2,""viewing_time"":29255}]",27
,,,,,,,,,,,,,,87726,,87729,,,instructions,"[{""page_index"":0,""viewing_time"":36570},{""page_index"":1,""viewing_time"":4141},{""page_index"":0,""viewing_time"":6153},{""page_index"":1,""viewing_time"":21902},{""page_index"":2,""viewing_time"":18959}]",28
,,,,,,,,,,,,,,40466,,157329,,,instructions,"[{""page_index"":0,""viewing_time"":3655},{""page_index"":1,""viewing_time"":3825},{""page_index"":2,""viewing_time"":5658},{""page_index"":1,""viewing_time"":1584},{""page_index"":0,""viewing_time"":23583},{""page_index"":1,""viewing_time"":1624},{""page_index"":2,""viewing_time"":536}]",28
,,,,,,,,,,,,,,3778,,175810,,,instructions,"[{""page_index"":0,""viewing_time"":1929},{""page_index"":1,""viewing_time"":167},{""page_index"":0,""viewing_time"":744},{""page_index"":1,""viewing_time"":481},{""page_index"":2,""viewing_time"":456}]",28
,,,,,,,,,,,,,,57656,,57657,,,instructions,"[{""page_index"":0,""viewing_time"":23228},{""page_index"":1,""viewing_time"":17404},{""page_index"":2,""viewing_time"":17024}]",29
,,,,,,,,,,,,,,38668,,117285,,,instructions,"[{""page_index"":0,""viewing_time"":19679},{""page_index"":1,""viewing_time"":14581},{""page_index"":2,""viewing_time"":4407}]",29
,,,,,,,,,,,,,,187929,,187931,,,instructions,"[{""page_index"":0,""viewing_time"":82508},{""page_index"":1,""viewing_time"":59845},{""page_index"":2,""viewing_time"":45573}]",30
,,,,,,,,,,,,,,157452,,157452,,,instructions,"[{""page_index"":0,""viewing_time"":79775},{""page_index"":1,""viewing_time"":31901},{""page_index"":2,""viewing_time"":21717},{""page_index"":1,""viewing_time"":1624},{""page_index"":0,""viewing_time"":12746},{""page_index"":1,""viewing_time"":4494},{""page_index"":2,""viewing_time"":5194}]",31
,,,,,,,,,,,,,,89657,,89659,,,instructions,"[{""page_index"":0,""viewing_time"":31641},{""page_index"":1,""viewing_time"":25513},{""page_index"":2,""viewing_time"":32502}]",32
,,,,,,,,,,,,,,175965,,175967,,,instructions,"[{""page_index"":0,""viewing_time"":154251},{""page_index"":1,""viewing_time"":13615},{""page_index"":2,""viewing_time"":8098}]",33
,,,,,,,,,,,,,,80797,,80799,,,instructions,"[{""page_index"":0,""viewing_time"":38788},{""page_index"":1,""viewing_time"":23511},{""page_index"":2,""viewing_time"":18498}]",34
