,pid,info_cost,trial_index,pr_sum,click_prs
0,0,0.1,1,-19.473023979569295,"[0.0, -0.32430401578738, -19.148719963781915]"
1,0,0.1,2,-14.298081686820183,"[0.0, -0.21050457087572738, -0.38226688001509146, -0.38226688001509146, -0.51611956449796281, -0.52102845284441912, -12.285895338571891]"
2,0,0.1,3,-1.1586158165656286,"[0.0, -0.1314829257012704, 0.0, 0.0, -1.0271328908643582]"
3,0,0.1,4,-12.732935990579765,"[0.0, -0.024981893566984326, -0.21356882863320337, -0.44873168200257041, -0.024981893566984326, -0.37566572776773199, -0.44873168200257041, -11.19627428303972]"
4,0,0.1,5,-7.742029703831545,"[0.0, 0.0, 0.0, -0.1036835596509782, -0.37400987223696447, -0.36251947146246977, -6.9018168004811322]"
5,0,0.1,6,-12.339585260270981,"[0.0, 0.0, -0.14248795436788342, -12.197097305903098]"
6,0,0.1,7,-14.684784928268954,"[0.0, -0.018719401652237622, -0.33542926864471667, -0.33542926864471312, -0.33542926864471667, -0.37400987223696092, -0.38282157206365497, -0.38282157206365852, 0.0, -0.098486038552408672, -12.421638665765887]"
7,0,0.1,8,-2.8084946826527677,"[0.0, 0.0, -0.21050457087573093, -0.23231139233140752, -0.3320677438785502, -0.38177504005995644, -0.0091890838097050676, 0.0, -0.037581819746382195, -1.6050650319510353]"
8,0,0.1,9,-0.8364153615314294,"[0.0, -0.21050457087572738, -0.21050457087573093, -0.23231139233140752, 0.0, 0.0, -0.039055982986280213, -0.070972890227441354, 0.0, -0.073065954234841968, 0.0, 0.0]"
9,0,0.1,10,-16.712975859567443,"[0.0, 0.0, -0.5935288825271936, -0.63258486551347382, -0.63258486551347382, -14.8542772460133]"
10,0,0.1,11,-1.3797538381479661,"[0.0, 0.0, -0.04739230341894185, -0.04739230341894185, 0.0, -0.022330380812849882, 0.0, 0.0, -0.42087961683242625, -0.42087961683239783, -0.42087961683240849, 0.0]"
11,0,0.1,12,-7.230512400428971,"[0.0, -0.32430401578738, -0.18385318351090163, 0.0, 0.0, -0.1338526844828678, 0.0, -0.18896070896587247, -0.050199136136541256, -6.3493426715454078]"
12,0,0.1,13,-9.58097744606772,"[0.0, -0.31246041004602176, -0.31736929839247807, -0.38773046041011483, -0.38773046041011483, -0.31466450617527641, -0.32510712609091286, -0.37993795246255857, -0.39546828810854961, -6.7605089439716934]"
13,0,0.1,14,-10.826029562217695,"[0.0, -0.61056605727689828, -0.61056605727689828, -0.51349224810079264, 0.0, -0.1766439212548967, 0.0, -0.38226688001509146, -0.55891080126999171, -7.9735835970231257]"
14,0,0.1,15,-0.27537942901508927,"[0.0, 0.0, -0.091549627914087495, 0.0, 0.0, 0.0, -0.02442344482024339, -0.02442344482024339, -0.024423444820246942, -0.11055946664026806]"
15,0,0.1,16,-0.6861492327580336,"[0.0, -0.018719401652237622, 0.0, -0.10677571921122109, 0.0, 0.0, 0.0, -0.061230518746498319, -0.0088116998266976054, -0.490611893321379]"
32,2,1.25,1,-9.2519546428138,"[0.0, 0.0, -9.2519546428138]"
33,2,1.25,2,-3.4508771338066797,"[0.0, 0.0, -3.4508771338066797]"
34,2,1.25,3,-9.761835299384874,"[0.0, -2.5766637791251945, -3.0031888537442555, -4.1819826665154238]"
35,2,1.25,4,-13.622359061957265,"[0.0, 0.0, -0.23449239944371669, -1.1405012751238441, 0.0, 0.0, -0.54409237404909661, 0.0, -3.8258124118901069, -2.7629645712792734, -2.6461351661212222, 0.0, -1.2341804320250036, -1.2341804320250036, 0.0, 0.0]"
36,2,1.25,5,-10.039141864860955,"[0.0, -4.4118266940351401, -4.3816071731017523, -0.38963318688221271, -0.38963318688221271, -0.4664416239596374, 0.0]"
37,2,1.25,6,-0.8771675817157671,"[0.0, 0.0, -0.87716758171576714, 0.0]"
38,2,1.25,7,-6.453664824095567,"[0.0, -2.3124810529344888, -1.4191709510766781, -0.30348988642601782, -0.47724341808503823, -1.9412795155733438, 0.0, 0.0, 0.0, 0.0]"
39,2,1.25,8,-1.4394321938135395,"[0.0, 0.0, 0.0, -0.52767415323974731, -0.91175804057379217]"
40,2,1.25,9,-3.750410684307994,"[0.0, 0.0, -0.21106517698306249, -0.36089865181635616, -0.76705661956389903, -0.79674327988119131, -0.98649301679369472, -0.58179094326803238, -0.04636299600175775]"
41,2,1.25,10,-7.592888281194504,"[0.0, -0.46982941780602694, -0.46982941780602694, -0.46982941780602694, -0.3769401160563941, -0.60121934325374937, -1.0837872534648199, -4.1214533150014603]"
42,2,1.25,11,-6.856785830140352,"[0.0, 0.0, -0.23449239944371669, -0.30348988642601782, -0.47724341808503823, -1.9412795155733438, -3.9002806106122359]"
43,2,1.25,12,-10.080155873817287,"[0.0, 0.0, 0.0, -0.71083629616567379, -9.3693195776516127]"
44,2,1.25,13,-1.1459276981779034,"[0.0, 0.0, 0.0, -1.1459276981779034]"
45,2,1.25,14,-19.845850775858654,"[0.0, 0.0, -3.8671237533945204, -3.9101476116325902, -3.6110484535856369, -8.4575309572459076]"
46,2,1.25,15,-9.023038334519917,"[0.0, 0.0, 0.0, 0.0, -0.66091908871651484, -1.6586973610599287, -1.8455787031715296, -1.3157506445402731, -1.3343319078107143, -2.2077606292209566, 0.0]"
47,2,1.25,16,-5.9054728550614835,"[0.0, 0.0, -0.8932839357057496, -5.0121889193557339]"
48,3,1.25,1,-9.995609449982105,"[0.0, -9.9956094499821049]"
49,3,1.25,2,-10.94482892163428,[-10.944828921634279]
50,3,1.25,3,-10.648285734332216,"[0.0, -0.46982941780602694, -0.46982941780602694, -2.6068833000585805, -7.1017435986615816]"
51,3,1.25,4,-11.142220667983645,"[0.0, -3.6218505054299746, 0.0, -1.9101709841083148, 0.0, -0.43127700182994566, -5.1789221766154103]"
52,3,1.25,5,-7.304522113206078,"[0.0, -1.8797404218617828, 0.0, -5.424781691344295]"
53,3,1.25,6,-7.75172030100747,"[0.0, 0.0, -7.7517203010074702]"
54,3,1.25,7,-13.05071884260829,"[0.0, -0.46982941780602694, -2.0139850106485397, -2.9371233424467462, -7.6297810717069776]"
55,3,1.25,8,-10.587192302215515,"[-0.38963318688221094, -0.45906766918994713, -0.78051485852317271, -0.78051485852316915, 0.0, -0.40574806482567283, -1.4491971647808022, -1.8823462727704658, -1.8823462727704658, -0.50026081085444929, -0.76686281139279799, -1.2907003317023609]"
56,3,1.25,9,-6.6690655384953175,"[0.0, -0.46982941780602694, -6.1992361206892905]"
57,3,1.25,10,-7.925150627421484,"[0.0, -0.46982941780602694, -7.4553212096154571]"
58,3,1.25,11,-7.744967935558188,"[0.0, 0.0, -0.43127700182994566, 0.0, -1.809050098771575, -1.6586973610599287, -1.9830463664788809, -1.862897107417858, 0.0]"
59,3,1.25,12,-12.647163879383186,"[0.0, 0.0, -1.8797404218617864, -2.9920610873693789, -1.8797404218617881, -0.87688864590886695, -5.0187333023813645]"
60,3,1.25,13,-4.229426157031156,"[0.0, 0.0, 0.0, -2.5766637791251945, -1.3697525603934899, 0.0, -0.28300981751247178]"
61,3,1.25,14,-15.154294557941359,"[0.0, 0.0, -1.9101709841083148, 0.0, -3.0605803664941127, 0.0, -1.2221414794941374, -3.0033703499127071, -3.0098128871148546, -2.9482184908172329]"
62,3,1.25,15,-8.086122625675399,"[-0.38963318688221094, -7.6964894387931881]"
63,3,1.25,16,-9.132460272328942,"[0.0, -0.46982941780602694, 0.0, -0.93298377467333182, -2.3295603496060568, 0.0, -1.5773765101910229, -1.8966193297907417, -1.9260908902617615, 0.0]"
112,7,1.25,1,-12.199447944385337,"[0.0, 0.0, 0.0, -0.54409237404909749, 0.0, -2.0842871016415097, -3.0098128871148551, -3.0098128871148551, 0.0, -1.0837872534648203, -1.3015846346202249, -1.1660708063799752]"
113,7,1.25,2,-20.135692749762818,"[0.0, -1.8797404218617828, -2.9371233424467427, -2.9371233424467462, -3.7957688989584604, -3.8259884198918428, -0.37694011605639588, -0.75167299665344345, -3.6313352114474018]"
114,7,1.25,3,-15.354073489297997,"[0.0, -0.46982941780602694, -1.1993184990607855, -2.0139850106485397, -2.8726305671602557, -2.9028500880936434, -2.033475490024518, -2.1503048951825683, -1.7116795213216598, 0.0, 0.0, 0.0]"
115,7,1.25,4,-4.916609662424104,"[0.0, 0.0, 0.0, -0.54409237404909661, -0.37694011605639322, -0.37694011605639322, 0.0, -3.6186370562622212]"
116,7,1.25,5,-15.402248714549394,"[0.0, -1.8797404218617828, -2.0139850106485397, -2.8726305671602574, -2.0139850106485397, -2.8424110462268697, -1.5710459325400308, 0.0, -2.2084507254633738]"
117,7,1.25,6,-14.657240061816868,"[0.0, -0.43127700182994388, -0.93298377467332827, -0.93298377467332827, -2.2076342611919877, -0.43127700182994744, -2.0734850497971706, -2.0734850497971742, -1.5415714210423062, -2.0077053294348595, -2.0248373975468219, 0.0]"
118,7,1.25,7,-5.961691577670818,"[0.0, -1.2221414794941374, -4.7395500981766805]"
119,7,1.25,8,-5.317469706013246,"[0.0, 0.0, -5.3174697060132461]"
120,7,1.25,9,-9.173394026508117,"[0.0, -0.46982941780602694, -3.0662798177037018, -5.637284790998387]"
121,7,1.25,10,-14.123633946307613,"[0.0, -4.4118266940351401, -4.4118266940351401, 0.0, 0.0, 0.0, -1.1993184990607855, -0.65266923586936088, -3.4479928233071879]"
122,7,1.25,11,-8.173101955295394,"[0.0, 0.0, 0.0, -1.9412795155733455, -1.9412795155733455, 0.0, 0.0, -4.2905429241487019]"
123,7,1.25,12,-12.479372906414428,"[0.0, -2.3124810529344888, 0.0, -0.46982941780602694, -1.1993184990607837, -0.37694011605639233, -8.1208038205567359]"
124,7,1.25,13,-1.2449440166913774,"[0.0, 0.0, 0.0, -1.2449440166913774]"
125,7,1.25,14,-15.678705980900892,"[0.0, -4.4118266940351401, 0.0, 0.0, -1.8797404218617864, -2.9585955378961195, -3.0031888537442573, -3.4253544733635888]"
