PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,return_time,score,test_idx,version
none,0.37,0.005,True,0,2,4,False,after_each_move,1,full,0,1502330528101,74,"[13, 1]",2.1B
none,0.25,0.005,True,0,2,4,False,after_each_move,1,full,0,1502327557735,50,"[7, 1]",2.1B
none,0.37,0.005,True,0,2,4,False,after_each_move,1,full,1,1502320632759,73,"[11, 14]",2.1B
none,0.17,0.005,True,0,2,4,False,after_each_move,1,full,2,1502324698192,34,"[14, 15]",2.1B
