PR_type,bonus,bonus_rate,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,version
featureBased,0.0,0.005,False,2,True,after_each_move,1,full,89,1B.1
none,3.16,0.005,True,0,False,after_each_move,1,full,90,1B.1
none,0.0,0.005,False,0,False,after_each_move,1,full,91,1B.1
featureBased,2.22,0.005,True,2,True,after_each_move,1,full,92,1B.1
none,1.09,0.005,True,1,False,after_each_move,1,simple,93,1B.1
none,3.13,0.005,True,0,False,after_each_move,1,full,94,1B.1
none,2.95,0.005,True,0,False,after_each_move,1,full,95,1B.1
featureBased,3.16,0.005,True,2,True,after_each_move,1,full,96,1B.1
featureBased,3.03,0.005,True,2,True,after_each_move,1,full,97,1B.1
featureBased,1.27,0.005,True,2,True,after_each_move,1,full,98,1B.1
featureBased,1.5,0.005,True,2,True,after_each_move,1,full,99,1B.1
featureBased,3.19,0.005,True,3,True,after_each_move,1,simple,100,1B.1
featureBased,3.12,0.005,True,3,True,after_each_move,1,simple,101,1B.1
featureBased,0.0,0.005,False,3,True,after_each_move,1,simple,102,1B.1
none,1.96,0.005,True,0,False,after_each_move,1,full,103,1B.1
featureBased,0.0,0.005,False,3,True,after_each_move,1,simple,104,1B.1
featureBased,3.2,0.005,True,3,True,after_each_move,1,simple,105,1B.1
featureBased,1.72,0.005,True,2,True,after_each_move,1,full,106,1B.1
none,3.07,0.005,True,1,False,after_each_move,1,simple,107,1B.1
none,3.34,0.005,True,1,False,after_each_move,1,simple,108,1B.1
featureBased,0.0,0.005,False,2,True,after_each_move,1,full,109,1B.1
none,2.84,0.005,True,0,False,after_each_move,1,full,110,1B.1
featureBased,2.97,0.005,True,3,True,after_each_move,1,simple,111,1B.1
featureBased,2.42,0.005,True,2,True,after_each_move,1,full,112,1B.1
none,3.1,0.005,True,0,False,after_each_move,1,full,113,1B.1
none,2.42,0.005,True,1,False,after_each_move,1,simple,114,1B.1
none,1.2,0.005,True,1,False,after_each_move,1,simple,115,1B.1
none,2.55,0.005,True,1,False,after_each_move,1,simple,116,1B.1
none,3.04,0.005,True,1,False,after_each_move,1,simple,117,1B.1
featureBased,0.0,0.005,False,2,True,after_each_move,1,full,118,1B.1
featureBased,1.59,0.005,True,2,True,after_each_move,1,full,119,1B.1
featureBased,2.56,0.005,True,2,True,after_each_move,1,full,120,1B.1
none,2.92,0.005,True,0,False,after_each_move,1,full,121,1B.1
none,2.27,0.005,True,1,False,after_each_move,1,simple,122,1B.1
none,1.35,0.005,True,1,False,after_each_move,1,simple,123,1B.1
featureBased,2.9,0.005,True,2,True,after_each_move,1,full,124,1B.1
none,2.77,0.005,True,0,False,after_each_move,1,full,125,1B.1
featureBased,2.23,0.005,True,3,True,after_each_move,1,simple,126,1B.1
featureBased,3.1,0.005,True,2,True,after_each_move,1,full,127,1B.1
none,2.56,0.005,True,1,False,after_each_move,1,simple,128,1B.1
none,0.0,0.005,False,0,False,after_each_move,1,full,129,1B.1
none,2.84,0.005,True,1,False,after_each_move,1,simple,130,1B.1
featureBased,2.03,0.005,True,3,True,after_each_move,1,simple,131,1B.1
none,3.38,0.005,True,1,False,after_each_move,1,simple,132,1B.1
none,0.0,0.005,False,0,False,after_each_move,1,full,133,1B.1
none,1.79,0.005,True,0,False,after_each_move,1,full,134,1B.1
none,1.96,0.005,True,0,False,after_each_move,1,full,135,1B.1
none,3.29,0.005,True,1,False,after_each_move,1,simple,136,1B.1
featureBased,2.24,0.005,True,3,True,after_each_move,1,simple,137,1B.1
none,0.91,0.005,True,1,False,after_each_move,1,simple,138,1B.1
none,0.53,0.005,True,1,False,after_each_move,1,simple,139,1B.1
featureBased,3.43,0.005,True,3,True,after_each_move,1,simple,140,1B.1
featureBased,2.61,0.005,True,3,True,after_each_move,1,simple,141,1B.1
featureBased,2.96,0.005,True,2,True,after_each_move,1,full,142,1B.1
featureBased,2.97,0.005,True,2,True,after_each_move,1,full,143,1B.1
none,1.37,0.005,True,0,False,after_each_move,1,full,144,1B.1
none,2.61,0.005,True,1,False,after_each_move,1,simple,145,1B.1
