action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_type,pid
[],[],demo,"[u'0', 9, 10, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [12], u'time': [991]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -8, 48]",[],37.0,[],"[u'', -4, -4, 48, -24, -4, 4, -48, 48, -2, -8, 24, 48]",287228,2.0,6410.0,mouselab-mdp,2
[],[],demo,"[u'0', 5, 6, 7]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [7], u'time': [999]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 48]",[],59.0,[],"[u'', -2, -8, -24, 48, 4, 8, 48, -48, -4, -8, -24, -48]",293321,3.0,5068.0,mouselab-mdp,2
[],[],demo,"[u'0', 9, 10, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [4, 12], u'time': [999, 2001]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -8, 48]",[],40.0,[],"[u'', -4, -4, -24, 24, -2, 4, 24, 24, 2, -8, 48, 48]",300576,4.0,6227.0,mouselab-mdp,2
[],[],demo,"[u'0', 1, 2, 3]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [11, 7, 3], u'time': [996, 1998, 2998]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, 48]",[],53.0,[],"[u'', 4, 4, 48, 24, 4, -4, 24, -48, -2, -8, -24, -48]",308295,5.0,6691.0,mouselab-mdp,2
[],[],demo,"[u'0', 9, 10, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [12], u'time': [999]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]",[],51.0,[],"[u'', -2, 8, 24, -48, -4, 4, -48, -48, -4, 8, 24, 48]",315261,6.0,5931.0,mouselab-mdp,2
[],[],demo,"[u'0', 1, 2, 3]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [4, 3], u'time': [1002, 2001]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, -8, 48]",[],34.0,[],"[u'', -4, -8, 48, -48, -2, -8, 48, 24, -2, 8, 24, -24]",321634,7.0,5353.0,mouselab-mdp,2
[],[],demo,"[u'0', 5, 6, 8]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [3, 7, 12, 4, 11, 8], u'time': [998, 2000, 3002, 4002, 5004, 6006]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, -8, 48]",[],30.0,[],"[u'', 2, 4, 24, 24, -4, -8, 24, 48, -4, -4, -24, -24]",332132,8.0,9471.0,mouselab-mdp,2
[],[],demo,"[u'0', 1, 2, 4]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [7, 12, 11, 3, 8, 4], u'time': [995, 1997, 2998, 3999, 5000, 6002]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 48]",[],48.0,[],"[u'', 2, 4, -24, 48, 2, -4, 24, 24, 2, -4, -48, -24]",342839,9.0,9682.0,mouselab-mdp,2
"[8488, 9300, 10230]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'4', u'3', u'7', u'8', u'12'], u'time': [1026, 3426, 4320, 4976, 6148, 7020]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 48]","[8470, 289, 404]",38.0,"[None, None, None]","[u'', 4, -4, -24, 24, 2, 4, -24, -48, 4, -8, 48, -48]",152675,0.0,13064.0,mouselab-mdp,3
"[5879, 6484, 7174]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'8', u'7', u'3'], u'time': [1028, 2330, 3202, 3926]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 48]","[5868, 79, 165]",44.0,"[None, None, None]","[u'', -4, 4, 48, -48, -4, 4, -24, 24, -4, -8, 24, 24]",164536,1.0,10677.0,mouselab-mdp,3
