key_press,rt,time_elapsed,trial_type,pid
32.0,25136,30023,text,23
32.0,15553,46582,text,23
32.0,33263,80851,text,23
32.0,11743,16021,text,24
32.0,6178,23202,text,24
32.0,924,25136,text,24
32.0,17717,53084,text,24
32.0,11747,65832,text,24
32.0,11484,195861,text,24
32.0,6156,203018,text,24
32.0,10083,214102,text,24
32.0,12897,228001,text,24
32.0,5645,234648,text,24
32.0,6671,27016,text,25
32.0,3994,32015,text,25
32.0,63225,107392,text,25
32.0,11980,120376,text,25
32.0,14354,135736,text,25
32.0,22244,158985,text,25
32.0,14085,174072,text,25
32.0,4557,6622,text,25
32.0,2835,10460,text,25
32.0,2733,14196,text,25
32.0,25765,59499,text,26
32.0,26268,86778,text,26
32.0,94029,226293,text,26
32.0,44844,272180,text,26
32.0,37450,310637,text,26
32.0,28922,340585,text,26
32.0,16476,358088,text,26
32.0,19731,155962,text,26
32.0,19999,176970,text,26
32.0,15794,193783,text,26
32.0,21974,58167,text,27
32.0,11603,70772,text,27
32.0,14538,149158,text,27
32.0,30010,180172,text,27
32.0,36480,217654,text,27
39.0,53735,272391,text,27
32.0,9274,282668,text,27
32.0,79810,124295,text,28
32.0,7375,132673,text,28
32.0,6433,173805,text,28
32.0,19777,194584,text,28
32.0,11430,207015,text,28
32.0,70374,278392,text,28
32.0,13982,293376,text,28
32.0,6125,13829,text,28
32.0,9535,24367,text,28
32.0,7182,32550,text,28
32.0,15977,15984,text,29
32.0,18044,35045,text,29
32.0,7340,134557,text,29
32.0,1919,416741,text,29
32.0,13789,431542,text,29
32.0,13674,21720,text,30
32.0,12572,35302,text,30
32.0,7452,43756,text,30
32.0,16370,75092,text,30
32.0,9034,85130,text,30
32.0,12594,140568,text,30
39.0,25920,167494,text,30
32.0,37034,205532,text,30
32.0,22906,229442,text,30
32.0,12328,242776,text,30
32.0,8385,14869,text,31
32.0,6252,22124,text,31
32.0,7373,30502,text,31
32.0,21286,67457,text,31
32.0,9061,77526,text,31
32.0,9760,121597,text,31
32.0,17638,140241,text,31
32.0,9370,150616,text,31
32.0,29617,181240,text,31
32.0,12048,194296,text,31
32.0,15493,45644,text,32
32.0,9188,55836,text,32
32.0,10991,87466,text,32
32.0,14083,102551,text,32
32.0,13066,116621,text,32
32.0,23438,141062,text,32
13.0,50966,193030,text,32
32.0,5596,8832,text,32
32.0,4495,14334,text,32
32.0,3055,18391,text,32
32.0,10315,35571,text,33
32.0,4022,40601,text,33
32.0,12985,99620,text,33
32.0,2019,102644,text,33
32.0,9544,13923,text,33
32.0,29151,44082,text,33
32.0,6899,51984,text,33
32.0,14961,18326,text,34
32.0,10713,30040,text,34
32.0,17047,48088,text,34
32.0,25549,63895,text,34
32.0,11617,76516,text,34
32.0,11329,176067,text,34
32.0,24125,201193,text,34
32.0,15517,217712,text,34
32.0,32116,250830,text,34
32.0,12828,264660,text,34
32.0,1974,3889,text,34
32.0,1570,6463,text,34
32.0,834,8301,text,34
32.0,14635,35235,text,35
32.0,7772,44015,text,35
32.0,3669,76855,text,35
32.0,2301,80157,text,35
32.0,11868,16938,text,35
32.0,13549,31492,text,35
32.0,7789,40287,text,35
32.0,6600,12684,text,36
32.0,10518,24222,text,36
32.0,5192,30430,text,36
32.0,8456,35390,text,36
32.0,6528,42928,text,36
32.0,12706,94040,text,36
32.0,17480,112532,text,36
32.0,14940,128488,text,36
32.0,10440,139952,text,36
32.0,19160,160140,text,36
32.0,19236,46318,text,37
32.0,8922,56246,text,37
17.0,7252,92810,text,37
32.0,30750,124574,text,37
32.0,13314,138900,text,37
32.0,15894,155800,text,37
32.0,10254,167066,text,37
32.0,12176,20282,text,37
32.0,20416,41716,text,37
32.0,10686,53434,text,37
32.0,9469,46290,text,38
32.0,5595,52893,text,38
32.0,15749,99570,text,38
32.0,16434,117012,text,38
32.0,29713,147730,text,38
32.0,15746,164488,text,38
32.0,7074,172567,text,38
32.0,12950,66075,text,39
32.0,5492,72580,text,39
32.0,9335,145644,text,39
32.0,2090,148738,text,39
32.0,6787,11352,text,40
32.0,8605,20959,text,40
32.0,3454,25416,text,40
32.0,13970,30827,text,40
32.0,6686,38517,text,40
32.0,4320,65946,text,40
32.0,23067,90017,text,40
32.0,13596,104618,text,40
32.0,15409,121035,text,40
32.0,2434,124474,text,40
32.0,14450,47442,text,41
32.0,7060,55506,text,41
32.0,5781,126695,text,41
13.0,24763,152462,text,41
32.0,15788,21306,text,41
32.0,30565,52874,text,41
32.0,14786,68664,text,41
32.0,74659,100742,text,42
32.0,8657,110403,text,42
32.0,9704,180462,text,42
32.0,23758,205224,text,42
32.0,16858,223087,text,42
32.0,17673,241766,text,42
32.0,41073,283844,text,42
32.0,13052,47588,text,43
32.0,12901,61493,text,43
32.0,22845,129149,text,43
37.0,48323,178473,text,43
32.0,23755,203229,text,43
32.0,26816,231047,text,43
32.0,55016,287063,text,43
32.0,14323,18715,text,43
32.0,11788,31507,text,43
32.0,8804,41314,text,43
32.0,14438,120112,text,44
32.0,7816,128930,text,44
32.0,8742,183602,text,44
32.0,30312,214932,text,44
32.0,12192,228138,text,44
32.0,17098,246246,text,44
32.0,4788,252048,text,44
32.0,10332,15576,text,44
32.0,9878,26478,text,44
32.0,6654,34150,text,44
32.0,20072,24916,text,45
32.0,9586,35508,text,45
32.0,8267,44777,text,45
32.0,4825,8253,text,45
32.0,11589,20844,text,45
32.0,184247,246177,text,45
32.0,57084,304266,text,45
32.0,29050,334322,text,45
32.0,23134,358461,text,45
32.0,13578,373043,text,45
32.0,13358,44862,text,46
32.0,5199,51078,text,46
32.0,6228,101282,text,46
32.0,1555,103907,text,46
32.0,7475,30248,text,47
32.0,5218,36473,text,47
32.0,3932,62342,text,47
32.0,15396,78741,text,47
32.0,12207,91954,text,47
32.0,13528,106488,text,47
32.0,8870,116365,text,47
32.0,6699,10485,text,47
32.0,6882,18368,text,47
32.0,3932,23305,text,47
32.0,5806,12482,text,48
32.0,2763,16250,text,48
32.0,3470,20727,text,48
32.0,1343,3184,text,48
32.0,555,4741,text,48
32.0,886,32787,text,48
32.0,7539,41335,text,48
32.0,6105,48444,text,48
32.0,5966,55415,text,48
32.0,2228,58648,text,48
32.0,14683,55827,text,49
32.0,6305,63136,text,49
32.0,8899,238136,text,49
32.0,44460,283600,text,49
32.0,26636,311239,text,49
32.0,16894,329136,text,49
32.0,8451,338589,text,49
32.0,11242,13363,text,49
32.0,5287,19658,text,49
32.0,3753,24426,text,49
32.0,35328,101781,text,50
32.0,26353,129136,text,50
32.0,8017,247516,text,50
32.0,70301,318819,text,50
32.0,48573,368393,text,50
32.0,43574,412970,text,50
32.0,28078,442049,text,50
32.0,14993,20816,text,50
32.0,21507,43326,text,50
32.0,13611,57940,text,50
32.0,29174,71929,text,51
32.0,13426,86359,text,51
32.0,26685,311901,text,51
39.0,116551,429457,text,51
32.0,111282,541742,text,51
32.0,25234,567982,text,51
32.0,11107,580094,text,51
32.0,18014,23164,text,51
32.0,33262,57431,text,51
32.0,16430,74876,text,51
17.0,15408,17598,text,52
32.0,8118,26722,text,52
32.0,27692,72938,text,52
32.0,23148,97110,text,52
32.0,7310,105426,text,52
39.0,237758,344196,text,52
39.0,812,346014,text,52
91.0,15448,51032,text,53
91.0,9144,61189,text,53
32.0,7331,102707,text,53
32.0,3029,106739,text,53
91.0,2947,9015,text,53
122.0,113155,123175,text,53
32.0,8276,132462,text,53
32.0,9357,16856,text,54
32.0,12771,30636,text,54
32.0,89276,120917,text,54
32.0,44014,111163,text,54
32.0,29153,141321,text,54
32.0,12006,229653,text,54
32.0,27424,258082,text,54
32.0,23277,282367,text,54
32.0,34884,318258,text,54
32.0,16718,335983,text,54
32.0,18431,73166,text,55
32.0,15475,89643,text,55
32.0,22805,167545,text,55
32.0,29420,197966,text,55
32.0,25534,224503,text,55
32.0,22615,248121,text,55
32.0,17511,266634,text,55
32.0,4567,32370,text,56
32.0,8289,41662,text,56
32.0,13779,93909,text,56
32.0,8900,103812,text,56
32.0,14594,20324,text,56
32.0,15300,36628,text,56
32.0,6060,43690,text,56
32.0,30940,39182,text,57
32.0,11251,51437,text,57
32.0,18222,70660,text,57
32.0,8349,14555,text,57
32.0,1339,16899,text,57
32.0,1784,74419,text,57
32.0,1589,77010,text,57
32.0,966,78979,text,57
32.0,678,80658,text,57
32.0,1167,82826,text,57
32.0,10054,15514,text,58
32.0,17730,34248,text,58
32.0,8208,43464,text,58
32.0,10974,36320,text,58
32.0,9290,46616,text,58
32.0,13138,85582,text,58
32.0,34782,121368,text,58
39.0,14828,137200,text,58
39.0,6414,144622,text,58
39.0,14220,159846,text,58
32.0,32262,42864,text,59
32.0,43035,86928,text,59
32.0,17656,105607,text,59
32.0,31202,87075,text,59
32.0,21570,109649,text,59
32.0,24508,228970,text,59
32.0,13589,243561,text,59
32.0,32213,110406,text,60
32.0,26638,138051,text,60
32.0,27478,226622,text,60
37.0,107488,335118,text,60
32.0,74321,410448,text,60
39.0,51495,462950,text,60
32.0,16916,480875,text,60
32.0,35585,48638,text,60
32.0,34970,84614,text,60
32.0,104543,190161,text,60
32.0,25278,30965,text,61
32.0,28354,60326,text,61
32.0,5352,66693,text,61
32.0,17273,112289,text,61
32.0,23049,136342,text,61
32.0,5366,259042,text,61
32.0,2853,262898,text,61
32.0,36339,42253,text,62
109.0,69596,112868,text,62
32.0,22794,136664,text,62
32.0,29164,109948,text,62
32.0,20764,131714,text,62
32.0,5462,261924,text,62
32.0,27128,290060,text,62
32.0,22416,62058,text,63
32.0,9695,72760,text,63
32.0,7651,99240,text,63
32.0,23796,124039,text,63
32.0,27867,152909,text,63
40.0,15329,169241,text,63
32.0,15984,186228,text,63
32.0,23515,29210,text,63
32.0,14449,44661,text,63
18.0,3756,49421,text,63
32.0,10709,19391,text,64
32.0,3760,24183,text,64
32.0,10049,35251,text,64
32.0,62707,145358,text,64
32.0,12718,159098,text,64
32.0,24689,316241,text,64
32.0,28947,346208,text,64
32.0,40851,388070,text,64
32.0,34274,423357,text,64
32.0,16890,441270,text,64
32.0,11722,46222,text,65
32.0,4357,51583,text,65
32.0,7842,94574,text,65
32.0,166670,262248,text,65
