action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[6580, 7970]","[u'down', u'left']",train_inspect_cost,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2'], u'time': [2361, 3685]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 7]","[6578, 878]",-2.0,"[None, None]",,362511,24.0,46180832.0,mouselab-mdp,0
"[37875, 39753]","[u'down', u'right']",train_final,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'2', u'6'], u'time': [24420, 26293, 28453, 31733]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -12]","[37874, 1364]",-18.0,"[None, None]",,408349,25.0,41662262.0,mouselab-mdp,0
"[14316, 15129]","[u'up', u'right']",train_final,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'3', u'2'], u'time': [8294, 10203, 11549]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[14313, 289]",1.0,"[None, None]",,426570,26.0,748193.0,mouselab-mdp,0
"[3731, 4573]","[u'down', u'right']",train_final,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4'], u'time': [1148]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, -2]","[3730, 323]",-1.0,"[None, None]",,434282,27.0,79271753.0,mouselab-mdp,0
"[11528, 12761]","[u'down', u'right']",train_final,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'6', u'5'], u'time': [2169, 4366, 6457]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 2]","[11526, 716]",-8.0,"[None, None]",,449632,28.0,50814922.0,mouselab-mdp,0
"[5313, 6386]","[u'up', u'right']",train_final,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[5312, 556]",4.0,"[None, None]",,458903,29.0,84575616.0,mouselab-mdp,0
"[2419, 3611]","[u'up', u'right']",test,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[2418, 680]",4.0,"[None, None]",,473367,30.0,10528850.0,mouselab-mdp,0
"[7750, 9021]","[u'up', u'right']",test,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4'], u'time': [5491]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, -7]","[7748, 747]",-6.0,"[None, None]",,485681,31.0,43481056.0,mouselab-mdp,0
"[9727, 10605]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'3', u'4'], u'time': [2144, 4422, 6964]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 2]","[9726, 368]",-3.0,"[None, None]",,499588,32.0,93440310.0,mouselab-mdp,0
"[1384, 2692]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -7]","[1383, 797]",-9.0,"[None, None]",,505973,33.0,35031340.0,mouselab-mdp,0
"[792, 2101]","[u'up', u'right']",test,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -7]","[789, 792]",0.0,"[None, None]",,511323,34.0,46499310.0,mouselab-mdp,0
"[11128, 11927]","[u'up', u'right']",test,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'6', u'4', u'1'], u'time': [2359, 3947, 6067, 8551]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, -2]","[11127, 281]",-4.0,"[None, None]",,527445,35.0,75972508.0,mouselab-mdp,0
"[1538, 2503]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 12]","[1536, 454]",19.0,"[None, None]",,533731,36.0,31165175.0,mouselab-mdp,0
"[3451, 5807]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, -2]","[3449, 1847]",-9.0,"[None, None]",,543204,37.0,58009131.0,mouselab-mdp,0
"[7365, 8564]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1'], u'time': [2940, 4225]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[7364, 693]",2.0,"[None, None]",,555046,38.0,6269296.0,mouselab-mdp,0
"[1461, 2699]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 2]","[1460, 727]",0.0,"[None, None]",,560587,39.0,45727853.0,mouselab-mdp,0
"[638, 1608]","[u'up', u'right']",test,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[637, 450]",4.0,"[None, None]",,565049,40.0,26404235.0,mouselab-mdp,0
"[722, 1793]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2]","[719, 556]",5.0,"[None, None]",,569621,41.0,11229663.0,mouselab-mdp,0
"[1032, 2185]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -2]","[1031, 648]",-4.0,"[None, None]",,574568,42.0,51511248.0,mouselab-mdp,0
"[481, 3162]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, -2]","[480, 2164]",-9.0,"[None, None]",,581390,43.0,48669740.0,mouselab-mdp,0
"[3835, 5348]","[u'up', u'right']",test,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1'], u'time': [1969]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 2]","[3834, 1003]",8.0,"[None, None]",,589701,44.0,10238530.0,mouselab-mdp,0
"[3884, 5239]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4'], u'time': [1657]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -7]","[3881, 847]",-1.0,"[None, None]",,598165,45.0,78579163.0,mouselab-mdp,0
"[1004, 2457]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -2]","[1003, 946]",-4.0,"[None, None]",,603503,46.0,52326492.0,mouselab-mdp,0
"[6470, 7441]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'2'], u'time': [1293, 2504, 4912]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 2]","[6469, 449]",6.0,"[None, None]",,613993,47.0,45546927.0,mouselab-mdp,0
"[5744, 6632]","[u'up', u'right']",test,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'3'], u'time': [2074, 4060]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[12, -2]","[5743, 378]",8.0,"[None, None]",,623816,48.0,30566367.0,mouselab-mdp,0
"[11949, 12910]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'5'], u'time': [4406, 6340, 9742]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, -2]","[11948, 444]",-3.0,"[None, None]",,640325,49.0,3131228.0,mouselab-mdp,0
"[14036, 14775]","[u'up', u'left']",train_basic,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 12]","[14032, 233]",14.0,"[None, None]",,17949,0.0,95665132.0,mouselab-mdp,1
"[1837, 2367]","[u'up', u'left']",train_basic,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -7]","[1835, 36]",-9.0,"[None, None]",,25581,1.0,31048224.0,mouselab-mdp,1
"[2258, 3196]","[u'up', u'left']",train_basic,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 2]","[2256, 437]",-5.0,"[None, None]",,31590,2.0,79086055.0,mouselab-mdp,1
"[1571, 10106]","[u'down', u'left']",train_basic,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, -2]","[1569, 8039]",0.0,"[None, None]",,44324,3.0,5566034.0,mouselab-mdp,1
"[1992, 2543]","[u'up', u'right']",train_basic,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-12, 7]","[1991, 46]",-5.0,"[None, None]",,49930,4.0,84817331.0,mouselab-mdp,1
"[2972, 3710]","[u'down', u'left']",train_basic,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 12]","[2969, 232]",14.0,"[None, None]",,56189,5.0,8949889.0,mouselab-mdp,1
"[1508, 2429]","[u'up', u'right']",train_basic,,,"[u'0', u'1', u'2']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 2]","[1506, 426]",9.0,"[None, None]",,62376,6.0,42172239.0,mouselab-mdp,1
