pid,assignment_id,worker_id
70,3TY7ZAOG5FKC780FFZS9S1HTV450K1,A1YUECT4UUM474
71,3S0TNUHWKTIMBRZ8IMJ1H3SLUTJD8N,A1Z4CRAK69YZMW
72,3R8YZBNQ9HIC0MYUD3XF323P2O4Q7K,A1Z81CMHPSTILH
73,3W2LOLRXLBF072KE9CBOCXIG4U5KRK,A1ZYP9CJWF4KBB
74,3IX2EGZR7BJ5WIEWRRBCBII3P5ARJX,A20Z7TK84X9JND
75,33CID57104TJ86HUJMMT9ZSFNGV3L3,A214HWAW1PYWO8
76,3AZHRG4CU4K6BAS8UT0ABF0RKIJ03Q,A2179VLITZ8QHP
77,3N2BF7Y2VQUI8W6EYJCAD68E6Q2HMP,A21CDNPZ30AWQH
78,3KJYX6QCM9BXPPVD0BGMCF76ABGVJN,A21I4DTJGWJYQJ
79,3LKC68YZ3A3O5PMF6YDN6D76GEUOWB,A24663CBBVW7V6
80,3IGI0VL647KYIVD1EXM0AUUFN2PNOI,A248P03SBIGVNH
81,3HHRAGRYX85DTT97DN3VSTZVIDE9OB,A249Y8464RRI4J
82,3XC1O3LBOSMO7NFOY1SKRCWDHF6TL8,A24JKKO8M8GMB3
83,3WJ1OXY92AGODKWWYCSZR2KF9QM8AG,A25577T8KZK6IZ
84,30OG32W0SUBC640CKJJ45I01J0JEN5,A27E3EN2N42TWY
85,39K0FND3AHF3Y9Y0SD2IWKLATVIMAP,A27KA3I4NKFDDO
86,35LDD5557A49AM7M44F7QYO6Y7CKM2,A27KZJJR9201NN
87,3RYC5T2D73T1ITHUM4GW8E4FY4ARPR,A28NJTAES9CFQH
88,3YZ8UPK3VTMA4W07LTPVTPSS6K5UCQ,A28S6TTII9JDNI
89,3RXPCZQMQPB7CBPELRBU8E8ATFUG1H,A28THWK5IO1YOP
90,3G5W44VEU7I9ICB0T1HCDT492LUGKK,A29F09CUJVFVDG
91,3KMS4QQVK2Q34CF5IHBUV84X16VFKL,A29I0CUCRAM4H4
92,36TFCYNS44AT285ICQEJONOCDULHX8,A29WOTY3T7RGS3
93,3VAR3R6G1P1DFOQX8VXHSX4KY7S8OH,A29ZJBKY6UG4B8
94,3OWEPKL089CRXPL2XB5YZ88KXDL7NI,A2AIBI2NZAOLYQ
95,3L70J4KAZGM0UFSNFK3FDUYGKHJADO,A2AO8E3DIJRP8E
96,3MX2NQ3YC9UHMFLNBODAZQLM8LU5XF,A2AV7RLLF25KG
97,3V5Q80FXIXRD7KVM9G4OU3T6HG232C,A2B6PP2KXD19N6
98,38BQUHLA9W0S0DS12W70XF5FICFOMJ,A2B9EPZNDQ41GA
99,36PW28KO4ZW5ML6NBFEZJCG1KTKAEH,A2BXJ69ECQZVSS
100,30LSNF239UVSXND5UJBBY9VV0Y12ID,A2C3BDD9N8Q7LT
101,3IAEQB9FMEKX1SVQGPZ7VJV7C0MDW2,A2C9IWZSUH5EPM
102,3Z7VU45IPYH73SKJBJZJTLOG45RZ1S,A2CAPUF9ZD9F6G
103,3TY7ZAOG5FKC780FFZS9S1HTV440K0,A2CP6LPIZ3ZF5D
104,3JMSRU9HQIUPE99LMA5VFZUE53LEVM,A2ECKFN36SS0J7
105,3NGMS9VZTLISOQNRH6KXFVCSTAEFFJ,A2EF5TLMDAAK8S
106,3SNLUL3WO4N370UDY6IUW8IF0TDUL0,A2EOKGTIA4A5IR
107,39JEC7537U1AHBP7QJZ0PBUBKR8CVR,A2EZNZ6X58RTNR
108,3WSELTNVR327B4OK1A3UIYG2N3EATE,A2FFGUDAYN0RO2
109,3Z7ISHFUH0VPES44A48Y8VBOIBYZ8D,A2FWJOSAHFW8P5
110,3LOTDFNYA7ZUZC9M7VUXJJYSOD2WFW,A2G1K3292IJ9MJ
111,3IQ1VMJRYTKORPF634YDRYFQTW5A98,A2GK0NUZIV4RE0
112,3HMVI3QICJS7Y2AEFXX0FEFEYBL1Y1,A2H0O6CLHLKNCI
113,3W92K5RLWUHPIQGSB9CSB5O1SANV53,A2I2R3SO6M8TFO
114,3LUY3GC63Z0R0AXFDQIQ3XDFXSL7PD,A2IV27ESUGZKNN
115,3IXQG4FA2TYTAZKY9IY9M9ZWBEPB93,A2J7XOAS72YN0
116,34FNN24DCM96MKBXGKZCI4SVARO5YL,A2J9AHXZBB37XU
117,3NXNZ5RS1AX68NH8W1MTH7D0SO479J,A2JB6Y8YPN0SKP
118,37TRT2X24QRIGBX7VUPMB3DZ7J2JB7,A2JD9ONHHYQTZ5
119,3JZQSN0I3QAY2QJMSQQFXGC4UPEFGI,A2JLS8VHLTWVP8
120,3300DTYQT2HX91D40BBL9CV6OB6QE4,A2KDAMD5LF5QIB
121,3M1CVSFP605UJOWSK69ZDT5F3W8QA9,A2KID7AB4BGLJW
122,33TIN5LC04APN7D9JACTUKXXWN9Y97,A2KZFDKNKS06KY
123,3YDGXNSEOZU9BVGFPBI8EZYFHGQ845,A2L5P4WPYG30UN
124,323Q6SJS8IGC2MEXCW8XIGO59PQHFI,A2LJNT8KW5FNKP
125,308Q0PEVB8D3X7Y4FSQQ8W3964B9IC,A2MT0GKZ7UJ1LF
126,388U7OUMF71YUCDA5J16TD37QWZR0L,A2N3HHEBCJRDJO
127,3K5TEWLKGVB1UEB7ITVM0ES6XWSIVZ,A2ODQ8SXX5HTZV
128,3ZOTGHDK5IBVY856MT3M9O4LA1XSOZ,A2OPC5SR07A46Q
129,34QN5IT0TZRSC7YE6AV62W8204G08N,A2OQ6IE044R1C7
130,3XCC1ODXDLBMI5I9MHVL8JUP30WRQI,A2PAP6WAU1OLNH
131,32N49TQG3GIMOWS96539JG4NKOUAVU,A2RWLFIP23FZA7
132,3F0BG9B9MPNL9OPG4DE9GO6R1XNY7X,A2SISDKXH7PVVW
133,3E4GGUZ1T8RJ3I3TUMWNBPA8S2T2KR,A2SPB60RURKZZS
134,3Z4AIRP3C6DIYXK4A1BYW085W6X1X3,A2TC3N3P14XDM8
135,34FNN24DCM96MKBXGKZCI4SVARNY5D,A2TO9L4DR1I3FT
136,32AT8R96GL9QBDP3IFFV8UWASNQSUH,A2TPPV2UWXT141
137,3YMU66OBIN8IGMASNGEF01OHA4RGHH,A2UFHATEG76AO5
138,3XUHV3NRVKYK0PL86KVOW4XSKVEH51,A2UNAK22H7TOCN
139,324G5B4FB38OCTTVW530OWC7PK707X,A2UTDZAZV1DF0N
140,38F71OA9GTWYU0F83TOAALW1QBOMFV,A2V046BUPTZPQX
141,3RGU30DZTA8EZ214MJFVPJOTJI5MJY,A2V5KRY0DVMCC3
142,3ZSANO2JCF71SVSDNQKWMUV7I06FS0,A2VU8AC7MY3721
143,3J4Q2Z4UTY3RQ1ZVLB5RVI26VFCWQR,A2W6VZWDQON5WN
144,3NS0A6KXC48477AMT2KM08SM6U7ZGP,A2WJZA7IQB4B64
145,32UTUBMZ7GWR76X1CJ35EROT268BVJ,A2WKZI3JQCE3Z6
146,3X08E93BHVI0M415FKEPRJM27DE66C,A2XIYK3272U6BV
147,3L70J4KAZGM0UFSNFK3FDUYGKHQDAY,A2YWT5E0OD8DSY
148,34FNN24DCM96MKBXGKZCI4SVARNY5D,A2Z0XILU6M38BT
149,3YHH42UU5BFNREIX0Z4A71U8K49L0O,A2Z11E066FJQV8
150,33F859I566DMP52H7UM1ZQXKURYHB0,A2ZJ2H0YOO7LNM
151,3LOTDFNYA7ZUZC9M7VUXJJYSOD7FWK,A2ZLJQWCM8KU36
152,388U7OUMF71YUCDA5J16TD37QWY0RT,A2ZV96GRXVSXK4
153,3C44YUNSI1P7HJYP43LC3PNBJ3JDP7,A302M81U0HM7RJ
154,3RYC5T2D73T1ITHUM4GW8E4FY4FPRU,A30KYQGABO7JER
155,3QILPRALQ5VVX3QL7GX4D84F8XP8N4,A316S825ZYJA7D
156,3QY5DC2MXRKH78KHCVFW1VDV3XRUFV,A320SFUAV89EIX
157,336KAV9KYQSENNSAY1XEKXPJQH3Y2J,A3298CNSQI60HU
158,37U1UTWH9VMGC1ID0NELMS9P9UB8RP,A32FKOGI2IYK9
159,3JRJSWSMQHL5207220ZPW42VEJS3EE,A32QBXDPHHSTOD
160,3TE3O8573085QMGOK65KC1WMNUK2RH,A334IL2XZMRO65
161,3HFNH7HEMHEVTF9V66199FGI1RLGQB,A33B85TN97HQ33
162,32Q90QCQ1SLBYYF9N6RODQJXP5EKE6,A33O8PIPR9C5A4
163,3Y54SXRO1LLRQD2I7FKLIZSWU64UT8,A33QIOA2EYW0LC
164,3A1COHJ8NJV3N74A4I2R8O7JMLDH81,A34WRC7V8XTA7N
165,3ZDAD0O1T1DJ7HWDCKV826R0OOGTXU,A3630GK2PAR9R6
166,3IQ1VMJRYTKORPF634YDRYFQTW4A97,A366MTQY0JG0EM
167,3HL8HNGX451JNGWEEKK55ZQHQCOF9W,A36JXFSWSC0XC5
168,3K5TEWLKGVB1UEB7ITVM0ES6XWSVIC,A370MPTHYDCDKX
169,38SKSKU7R1XYY9ZD4PTGD5U46YRILH,A3762FYBTI8W6M
170,3BQU611VFPKAM651BYKDV346NET99Y,A377LTGWJKY2IW
171,3LEIZ60CDJZPSXNEFWEC8R6Z2HCZ9Y,A38XRCVYVF4A31
172,3H8DHMCCW9B66S19RBG4781CPTFKDF,A39LCA9B4WIJQD
173,3DOCMVPBTNEG0ADPDIMNV5UAXSMNN5,A39OBMGPC1917V
174,3NC5L260MOMMU30KG93N2PL6LB3OFC,A39XRKAM1T0MK9
175,3QRYMNZ7FYHEVNI9AE8Z4402MADTNH,A39ZUW9AU7IYR2
176,3GA6AFUKOOOHMAY4S17VH7Z86ZK3HU,A3A6PPZ2EJTW6L
177,3Z7ISHFUH0VPES44A48Y8VBOIBT8ZH,A3ACDKL2RDEY60
178,33LKR6A5KEKBHGBK5RA17XNZJ94T15,A3B96BW9I8IZA2
179,3M0NZ3JDP1Y6RAL2C61VWB1XGLS5ZC,A3B9OZQTE4US3T
180,3UWN2HHPUY5DGN5ULE39UZ4GKRXSNP,A3BPS4K97FAU7O
