action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,23485,,,197476,,,instructions,"[{""page_index"":0,""viewing_time"":4944},{""page_index"":1,""viewing_time"":5042},{""page_index"":2,""viewing_time"":7975},{""page_index"":3,""viewing_time"":5524}]",12
,,,,,,,,,27953,,,245750,,,instructions,"[{""page_index"":0,""viewing_time"":2099},{""page_index"":1,""viewing_time"":1796},{""page_index"":2,""viewing_time"":14109},{""page_index"":1,""viewing_time"":2581},{""page_index"":2,""viewing_time"":1505},{""page_index"":3,""viewing_time"":5863}]",12
,,,,,,,,,68928,,,337899,,,instructions,"[{""page_index"":0,""viewing_time"":7046},{""page_index"":1,""viewing_time"":23912},{""page_index"":2,""viewing_time"":23636},{""page_index"":3,""viewing_time"":14334}]",12
,,,,,,,,,15860,,,382542,,,instructions,"[{""page_index"":0,""viewing_time"":1054},{""page_index"":1,""viewing_time"":2588},{""page_index"":2,""viewing_time"":5357},{""page_index"":3,""viewing_time"":6860}]",12
,,,,,,,,,3872,,,402018,,,instructions,"[{""page_index"":0,""viewing_time"":883},{""page_index"":1,""viewing_time"":873},{""page_index"":2,""viewing_time"":1233},{""page_index"":3,""viewing_time"":882}]",12
,,,,,,,,,98183,,,98183,,,instructions,"[{""page_index"":0,""viewing_time"":26503},{""page_index"":1,""viewing_time"":27349},{""page_index"":2,""viewing_time"":27840},{""page_index"":3,""viewing_time"":16490}]",13
,,,,,,,,,248560,,,248564,,,instructions,"[{""page_index"":0,""viewing_time"":71404},{""page_index"":1,""viewing_time"":65063},{""page_index"":2,""viewing_time"":78721},{""page_index"":3,""viewing_time"":33371}]",14
,,,,,,,,,105726,,,429007,,,instructions,"[{""page_index"":0,""viewing_time"":18541},{""page_index"":1,""viewing_time"":19668},{""page_index"":2,""viewing_time"":53921},{""page_index"":3,""viewing_time"":13595}]",14
,,,,,,,,,117315,,,117318,,,instructions,"[{""page_index"":0,""viewing_time"":99461},{""page_index"":1,""viewing_time"":12078},{""page_index"":2,""viewing_time"":5773}]",15
,,,,,,,,,76668,,,224526,,,instructions,"[{""page_index"":0,""viewing_time"":6833},{""page_index"":1,""viewing_time"":43416},{""page_index"":2,""viewing_time"":26417}]",15
,,,,,,,,,201369,,,201370,,,instructions,"[{""page_index"":0,""viewing_time"":84510},{""page_index"":1,""viewing_time"":38897},{""page_index"":2,""viewing_time"":38258},{""page_index"":3,""viewing_time"":39704}]",16
,,,,,,,,,73788,,,329998,,,instructions,"[{""page_index"":0,""viewing_time"":43983},{""page_index"":1,""viewing_time"":22962},{""page_index"":2,""viewing_time"":2032},{""page_index"":3,""viewing_time"":4811}]",16
,,,,,,,,,103326,,,458423,,,instructions,"[{""page_index"":0,""viewing_time"":5244},{""page_index"":1,""viewing_time"":31991},{""page_index"":2,""viewing_time"":39482},{""page_index"":3,""viewing_time"":26609}]",16
,,,,,,,,,162667,,,651470,,,instructions,"[{""page_index"":0,""viewing_time"":54563},{""page_index"":1,""viewing_time"":30292},{""page_index"":2,""viewing_time"":44774},{""page_index"":3,""viewing_time"":33038}]",16
,,,,,,,,,177063,,,177063,,,instructions,"[{""page_index"":0,""viewing_time"":53485},{""page_index"":1,""viewing_time"":42121},{""page_index"":2,""viewing_time"":44783},{""page_index"":3,""viewing_time"":36673}]",17
,,,,,,,,,6168,,,6170,,,instructions,"[{""page_index"":0,""viewing_time"":2293},{""page_index"":1,""viewing_time"":1415},{""page_index"":2,""viewing_time"":1120},{""page_index"":3,""viewing_time"":1330}]",18
,,,,,,,,,72986,,,72988,,,instructions,"[{""page_index"":0,""viewing_time"":12355},{""page_index"":1,""viewing_time"":6945},{""page_index"":2,""viewing_time"":14544},{""page_index"":3,""viewing_time"":39142}]",19
,,,,,,,,,35771,,,134572,,,instructions,"[{""page_index"":0,""viewing_time"":13945},{""page_index"":1,""viewing_time"":7032},{""page_index"":2,""viewing_time"":9160},{""page_index"":3,""viewing_time"":5634}]",19
,,,,,,,,,92840,,,92842,,,instructions,"[{""page_index"":0,""viewing_time"":25360},{""page_index"":1,""viewing_time"":31510},{""page_index"":2,""viewing_time"":21990},{""page_index"":3,""viewing_time"":13979}]",20
,,,,,,,,,110160,,,110161,,,instructions,"[{""page_index"":0,""viewing_time"":47142},{""page_index"":1,""viewing_time"":16220},{""page_index"":2,""viewing_time"":4887},{""page_index"":1,""viewing_time"":31596},{""page_index"":2,""viewing_time"":2734},{""page_index"":3,""viewing_time"":7580}]",21
,,,,,,,,,85275,,,237185,,,instructions,"[{""page_index"":0,""viewing_time"":17168},{""page_index"":1,""viewing_time"":21317},{""page_index"":2,""viewing_time"":24822},{""page_index"":3,""viewing_time"":21967}]",21
,,,,,,,,,8176,,,328403,,,instructions,"[{""page_index"":0,""viewing_time"":3843},{""page_index"":1,""viewing_time"":2601},{""page_index"":2,""viewing_time"":929},{""page_index"":3,""viewing_time"":803}]",21
,,,,,,,,,179646,,,179648,,,instructions,"[{""page_index"":0,""viewing_time"":46254},{""page_index"":1,""viewing_time"":73353},{""page_index"":2,""viewing_time"":40160},{""page_index"":3,""viewing_time"":19878}]",22
,,,,,,,,,70647,,,70649,,,instructions,"[{""page_index"":0,""viewing_time"":24607},{""page_index"":1,""viewing_time"":21423},{""page_index"":2,""viewing_time"":13984},{""page_index"":3,""viewing_time"":10632}]",23
,,,,,,,,,25467,,,118895,,,instructions,"[{""page_index"":0,""viewing_time"":4739},{""page_index"":1,""viewing_time"":6393},{""page_index"":2,""viewing_time"":8071},{""page_index"":3,""viewing_time"":6264}]",23
,,,,,,,,,819661,,,819662,,,instructions,"[{""page_index"":0,""viewing_time"":25345},{""page_index"":1,""viewing_time"":791891},{""page_index"":2,""viewing_time"":1224},{""page_index"":3,""viewing_time"":1200}]",24
,,,,,,,,,72078,,,904590,,,instructions,"[{""page_index"":0,""viewing_time"":1686},{""page_index"":1,""viewing_time"":68887},{""page_index"":2,""viewing_time"":176},{""page_index"":3,""viewing_time"":1328}]",24
,,,,,,,,,9006,,,924945,,,instructions,"[{""page_index"":0,""viewing_time"":1317},{""page_index"":1,""viewing_time"":5912},{""page_index"":2,""viewing_time"":512},{""page_index"":3,""viewing_time"":1264}]",24
,,,,,,,,,4928,,,941755,,,instructions,"[{""page_index"":0,""viewing_time"":2015},{""page_index"":1,""viewing_time"":904},{""page_index"":2,""viewing_time"":1008},{""page_index"":3,""viewing_time"":1000}]",24
,,,,,,,,,51348,,,1007762,,,instructions,"[{""page_index"":0,""viewing_time"":42267},{""page_index"":1,""viewing_time"":1624},{""page_index"":2,""viewing_time"":2697},{""page_index"":3,""viewing_time"":4760}]",24
,,,,,,,,,6200,,,1029292,,,instructions,"[{""page_index"":0,""viewing_time"":3823},{""page_index"":1,""viewing_time"":840},{""page_index"":2,""viewing_time"":720},{""page_index"":3,""viewing_time"":816}]",24
,,,,,,,,,26715,,,1069105,,,instructions,"[{""page_index"":0,""viewing_time"":4919},{""page_index"":1,""viewing_time"":15082},{""page_index"":2,""viewing_time"":1808},{""page_index"":3,""viewing_time"":4905}]",24
,,,,,,,,,245041,,,245042,,,instructions,"[{""page_index"":0,""viewing_time"":82335},{""page_index"":1,""viewing_time"":89238},{""page_index"":2,""viewing_time"":53692},{""page_index"":3,""viewing_time"":19775}]",25
,,,,,,,,,76899,,,76901,,,instructions,"[{""page_index"":0,""viewing_time"":36135},{""page_index"":1,""viewing_time"":27581},{""page_index"":2,""viewing_time"":4017},{""page_index"":3,""viewing_time"":9164}]",26
,,,,,,,,,43752,,,145958,,,instructions,"[{""page_index"":0,""viewing_time"":19188},{""page_index"":1,""viewing_time"":4807},{""page_index"":2,""viewing_time"":13332},{""page_index"":3,""viewing_time"":6424}]",26
,,,,,,,,,4391,,,171321,,,instructions,"[{""page_index"":0,""viewing_time"":1454},{""page_index"":1,""viewing_time"":872},{""page_index"":2,""viewing_time"":593},{""page_index"":3,""viewing_time"":1472}]",26
,,,,,,,,,187779,,,372390,,,instructions,"[{""page_index"":0,""viewing_time"":17696},{""page_index"":1,""viewing_time"":13385},{""page_index"":2,""viewing_time"":151393},{""page_index"":3,""viewing_time"":5304}]",26
,,,,,,,,,28954,,,417793,,,instructions,"[{""page_index"":0,""viewing_time"":21049},{""page_index"":1,""viewing_time"":81},{""page_index"":0,""viewing_time"":4367},{""page_index"":1,""viewing_time"":697},{""page_index"":2,""viewing_time"":984},{""page_index"":3,""viewing_time"":1775}]",26
,,,,,,,,,136560,,,136563,,,instructions,"[{""page_index"":0,""viewing_time"":36191},{""page_index"":1,""viewing_time"":45289},{""page_index"":2,""viewing_time"":25000},{""page_index"":3,""viewing_time"":30077}]",27
,,,,,,,,,142963,,,142965,,,instructions,"[{""page_index"":0,""viewing_time"":72610},{""page_index"":1,""viewing_time"":43778},{""page_index"":2,""viewing_time"":26566}]",28
,,,,,,,,,118279,,,118280,,,instructions,"[{""page_index"":0,""viewing_time"":22612},{""page_index"":1,""viewing_time"":37157},{""page_index"":2,""viewing_time"":41363},{""page_index"":3,""viewing_time"":17145}]",29
,,,,,,,,,176955,,,176957,,,instructions,"[{""page_index"":0,""viewing_time"":80965},{""page_index"":1,""viewing_time"":37715},{""page_index"":2,""viewing_time"":34247},{""page_index"":3,""viewing_time"":24028}]",30
,,,,,,,,,314119,,,314120,,,instructions,"[{""page_index"":0,""viewing_time"":103914},{""page_index"":1,""viewing_time"":81243},{""page_index"":2,""viewing_time"":74464},{""page_index"":3,""viewing_time"":54496}]",31
