PR_type,bonus,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,start_time,version
none,2.2920000000000003,True,0,False,after_each_move,0.01,none,227,2017-06-28T20:20:58.114Z,1A.0
objectLevel,1.1,True,6,True,after_each_move,0.01,full,228,2017-06-28T20:31:48.274Z,1A.0
featureBased,1.9500000000000002,True,4,True,after_each_move,1.0,full,229,2017-06-28T20:50:01.644Z,1A.0
featureBased,0.0,True,5,True,after_each_move,2.5,full,230,2017-06-28T22:51:15.718Z,1A.0
none,1.9920000000000002,True,0,False,after_each_move,0.01,none,231,2017-06-28T21:17:37.666Z,1A.0
objectLevel,1.7000000000000002,True,7,True,after_each_move,1.0,full,232,2017-06-28T22:45:02.829Z,1A.0
none,0.0,True,1,False,after_each_move,1.0,none,233,2017-06-28T20:20:34.641Z,1A.0
featureBased,1.8420000000000003,True,3,True,after_each_move,0.01,full,234,2017-06-28T22:53:54.544Z,1A.0
none,0.0,False,0,False,after_each_move,0.01,none,235,2017-06-28T22:41:15.066Z,1A.0
objectLevel,1.25,True,8,True,after_each_move,2.5,full,236,2017-06-28T21:01:07.869Z,1A.0
none,0.6000000000000001,True,1,False,after_each_move,1.0,none,237,2017-06-28T20:43:22.782Z,1A.0
none,2.35,True,1,False,after_each_move,1.0,none,238,2017-06-28T20:48:25.800Z,1A.0
none,1.6920000000000002,True,0,False,after_each_move,0.01,none,239,2017-06-28T23:28:46.525Z,1A.0
objectLevel,0.925,True,8,True,after_each_move,2.5,full,240,2017-06-28T20:43:17.628Z,1A.0
featureBased,1.9920000000000002,True,3,True,after_each_move,0.01,full,241,2017-06-28T20:31:29.487Z,1A.0
none,0.0,False,2,False,after_each_move,2.5,none,242,2017-06-28T23:00:02.405Z,1A.0
none,0.0,False,0,False,after_each_move,0.01,none,243,2017-06-28T20:52:38.290Z,1A.0
objectLevel,1.895,True,6,True,after_each_move,0.01,full,244,2017-06-28T22:34:05.257Z,1A.0
featureBased,1.4000000000000001,True,4,True,after_each_move,1.0,full,245,2017-06-28T21:49:04.345Z,1A.0
featureBased,0.0,True,5,True,after_each_move,2.5,full,246,2017-06-28T20:46:25.858Z,1A.0
objectLevel,0.2,True,8,True,after_each_move,2.5,full,247,2017-06-28T20:54:13.384Z,1A.0
objectLevel,1.8945,True,6,True,after_each_move,0.01,full,248,2017-06-28T20:21:36.549Z,1A.0
none,0.8,True,2,False,after_each_move,2.5,none,249,2017-06-28T21:19:21.915Z,1A.0
featureBased,0.3435,True,3,True,after_each_move,0.01,full,250,2017-06-28T21:22:13.856Z,1A.0
objectLevel,0.5,True,7,True,after_each_move,1.0,full,251,2017-06-28T21:00:57.467Z,1A.0
objectLevel,2.0420000000000003,True,6,True,after_each_move,0.01,full,252,2017-06-28T21:00:02.836Z,1A.0
objectLevel,1.6995000000000002,True,6,True,after_each_move,0.01,full,253,2017-06-28T22:13:03.872Z,1A.0
objectLevel,0.4,True,8,True,after_each_move,2.5,full,254,2017-06-29T00:02:41.773Z,1A.0
objectLevel,1.4000000000000001,True,7,True,after_each_move,1.0,full,255,2017-06-28T22:54:37.800Z,1A.0
featureBased,0.125,True,5,True,after_each_move,2.5,full,256,2017-06-28T22:27:09.589Z,1A.0
featureBased,0.47500000000000003,True,5,True,after_each_move,2.5,full,257,2017-06-28T21:19:32.658Z,1A.0
none,1.3,True,1,False,after_each_move,1.0,none,258,2017-06-28T22:24:50.108Z,1A.0
featureBased,2.35,True,4,True,after_each_move,1.0,full,259,2017-06-28T20:42:21.975Z,1A.0
featureBased,0.0,False,5,True,after_each_move,2.5,full,260,2017-06-28T20:21:33.819Z,1A.0
featureBased,0.2,True,5,True,after_each_move,2.5,full,261,2017-06-28T21:10:52.149Z,1A.0
featureBased,2.2,True,5,True,after_each_move,2.5,full,262,2017-06-28T20:33:16.175Z,1A.0
none,0.325,True,2,False,after_each_move,2.5,none,263,2017-06-28T22:36:24.622Z,1A.0
objectLevel,2.295,True,6,True,after_each_move,0.01,full,264,2017-06-28T20:34:57.206Z,1A.0
objectLevel,0.0,False,8,True,after_each_move,2.5,full,265,2017-06-28T20:48:50.393Z,1A.0
objectLevel,0.4465,True,6,True,after_each_move,0.01,full,266,2017-06-28T20:23:31.987Z,1A.0
featureBased,0.0,True,5,True,after_each_move,2.5,full,267,2017-06-28T20:23:53.028Z,1A.0
none,0.35000000000000003,True,2,False,after_each_move,2.5,none,268,2017-06-28T20:16:41.177Z,1A.0
objectLevel,1.7000000000000002,True,7,True,after_each_move,1.0,full,269,2017-06-28T22:34:31.341Z,1A.0
objectLevel,1.6920000000000002,True,6,True,after_each_move,0.01,full,270,2017-06-28T21:10:42.828Z,1A.0
featureBased,1.8920000000000003,True,3,True,after_each_move,0.01,full,271,2017-06-28T22:02:33.621Z,1A.0
objectLevel,1.9945000000000002,True,6,True,after_each_move,0.01,full,272,2017-06-28T23:00:48.719Z,1A.0
objectLevel,0.0,False,8,True,after_each_move,2.5,full,273,2017-06-28T22:42:45.985Z,1A.0
none,0.647,True,0,False,after_each_move,0.01,none,274,2017-06-28T23:04:00.492Z,1A.0
objectLevel,1.7000000000000002,True,7,True,after_each_move,1.0,full,275,2017-06-28T20:44:41.545Z,1A.0
featureBased,0.4,True,5,True,after_each_move,2.5,full,276,2017-06-28T20:25:07.225Z,1A.0
objectLevel,2.075,True,8,True,after_each_move,2.5,full,277,2017-06-28T20:55:32.213Z,1A.0
none,1.6920000000000002,True,0,False,after_each_move,0.01,none,278,2017-06-28T20:54:46.857Z,1A.0
featureBased,0.0,True,5,True,after_each_move,2.5,full,279,2017-06-28T21:07:01.035Z,1A.0
featureBased,0.025,True,5,True,after_each_move,2.5,full,280,2017-06-28T20:42:17.157Z,1A.0
none,0.44800000000000006,True,0,False,after_each_move,0.01,none,281,2017-06-28T20:33:39.384Z,1A.0
featureBased,1.8945,True,3,True,after_each_move,0.01,full,282,2017-06-28T22:27:26.004Z,1A.0
none,1.4500000000000002,True,2,False,after_each_move,2.5,none,283,2017-06-28T20:43:46.536Z,1A.0
none,1.1,True,1,False,after_each_move,1.0,none,284,2017-06-28T21:01:24.769Z,1A.0
none,1.8940000000000001,True,0,False,after_each_move,0.01,none,285,2017-06-28T20:21:42.224Z,1A.0
featureBased,0.0,False,4,True,after_each_move,1.0,full,286,2017-06-28T22:37:35.362Z,1A.0
objectLevel,0.9750000000000001,True,8,True,after_each_move,2.5,full,287,2017-06-28T20:44:49.829Z,1A.0
none,1.1,True,2,False,after_each_move,2.5,none,288,2017-06-28T21:39:58.033Z,1A.0
none,0.0,False,1,False,after_each_move,1.0,none,289,2017-06-28T21:27:14.876Z,1A.0
none,0.675,True,2,False,after_each_move,2.5,none,290,2017-06-28T21:25:22.922Z,1A.0
featureBased,2.095,True,3,True,after_each_move,0.01,full,291,2017-06-29T00:24:35.060Z,1A.0
objectLevel,0.0,True,8,True,after_each_move,2.5,full,292,2017-06-28T22:40:53.835Z,1A.0
featureBased,1.5,True,4,True,after_each_move,1.0,full,293,2017-06-28T22:08:33.868Z,1A.0
none,0.7000000000000001,True,1,False,after_each_move,1.0,none,294,2017-06-28T20:36:30.386Z,1A.0
objectLevel,0.4,True,8,True,after_each_move,2.5,full,295,2017-06-28T22:18:52.470Z,1A.0
objectLevel,1.6955,True,6,True,after_each_move,0.01,full,296,2017-06-28T22:37:56.692Z,1A.0
none,1.225,True,2,False,after_each_move,2.5,none,297,2017-06-28T20:30:24.994Z,1A.0
featureBased,1.8420000000000003,True,3,True,after_each_move,0.01,full,298,2017-06-28T21:00:42.197Z,1A.0
objectLevel,0.30000000000000004,True,7,True,after_each_move,1.0,full,299,2017-06-28T20:26:38.484Z,1A.0
none,2.1,True,0,False,after_each_move,0.01,none,300,2017-06-28T21:03:59.327Z,1A.0
none,1.5,True,2,False,after_each_move,2.5,none,301,2017-06-28T22:41:07.520Z,1A.0
none,1.35,True,1,False,after_each_move,1.0,none,302,2017-06-28T22:35:14.247Z,1A.0
objectLevel,0.05,True,6,True,after_each_move,0.01,full,303,2017-06-28T22:54:51.366Z,1A.0
objectLevel,1.1,True,6,True,after_each_move,0.01,full,304,2017-06-29T01:04:27.176Z,1A.0
objectLevel,0.525,True,8,True,after_each_move,2.5,full,305,2017-06-28T20:23:16.381Z,1A.0
none,1.9000000000000001,True,1,False,after_each_move,1.0,none,306,2017-06-28T21:17:59.451Z,1A.0
none,1.0,True,1,False,after_each_move,1.0,none,307,2017-06-28T20:34:22.595Z,1A.0
none,0.44900000000000007,True,0,False,after_each_move,0.01,none,308,2017-06-28T22:24:47.095Z,1A.0
objectLevel,1.5,True,7,True,after_each_move,1.0,full,309,2017-06-28T21:07:06.158Z,1A.0
objectLevel,1.7000000000000002,True,7,True,after_each_move,1.0,full,310,2017-06-28T20:36:02.473Z,1A.0
objectLevel,0.0,True,8,True,after_each_move,2.5,full,311,2017-06-28T21:20:34.156Z,1A.0
