action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[12642, 17374, 18819]","[u'left', u'left', u'down']",,,"[-1, -1, -1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'8', u'14', u'15', u'7', u'13', u'12', u'5', u'9'], u'time': [1342, 2362, 2976, 3675, 4570, 5277, 6709, 7269, 8078, 8818, 10944]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12642, 4, 339]",30.0,,754519,11.0,9.0,mouselab-mdp,,0
"[19350, 24713, 26044]","[u'right', u'right', u'down']",,,"[-1, -1, -1]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'4', u'3', u'5', u'9', u'17', u'7', u'13'], u'time': [1423, 2575, 3157, 3958, 5546, 6540, 9184, 10374, 12344, 13984, 17313]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[19350, 3, 4]",45.0,,810800,12.0,11.0,mouselab-mdp,,0
"[9213, 11970, 12686]","[u'down', u'down', u'right']",,,"[-1, -1, -1]","[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'14', u'8', u'15', u'12', u'7', u'13', u'10', u'6', u'11', u'17', u'9', u'16'], u'time': [773, 1351, 1877, 2375, 3447, 3762, 4067, 4778, 5095, 5371, 5959, 6302, 6831, 7293, 7558, 7825]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9213, 3, 208]",26.0,,140853,1.0,4.0,mouselab-mdp,,1
"[9667, 12497, 13104]","[u'up', u'up', u'left']",,,"[-1, -1, -1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'12', u'7', u'13', u'2', u'10', u'6', u'11', u'5', u'15', u'8', u'14', u'16', u'9', u'17'], u'time': [817, 1603, 2147, 2427, 2722, 3176, 3704, 4271, 4563, 5250, 5650, 5981, 6251, 6889, 7301, 7569]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9667, 9, 85]",28.0,,189428,2.0,1.0,mouselab-mdp,,1
"[7411, 10600, 11326]","[u'right', u'right', u'up']",,,"[-1, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'2', u'5', u'16', u'9', u'17', u'11', u'6', u'10', u'13', u'7', u'12', u'14', u'8', u'15'], u'time': [638, 918, 1281, 1750, 2190, 2508, 2807, 3308, 3840, 3901, 5005, 5283, 5554, 6040, 6374, 6725]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7411, 464, 194]",20.0,,249302,3.0,3.0,mouselab-mdp,,1
"[5057, 9296, 10348]","[u'down', u'down', u'left']",,,"[1, -1, -1]","[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'9', u'16', u'17'], u'time': [1726, 2120, 2441, 2851, 3548, 3754, 4427]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5057, 479, 4]",46.0,,315343,4.0,11.0,mouselab-mdp,,1
"[15876, 18928, 19546]","[u'left', u'left', u'down']",,,"[-1, -1, -1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'2', u'5', u'8', u'7', u'9', u'14', u'15', u'16', u'17', u'11', u'6', u'10', u'13', u'12'], u'time': [887, 1340, 1786, 2250, 2940, 3508, 4251, 4932, 5479, 7351, 7679, 8106, 8409, 8720, 9419, 9698]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15875, 4, 111]",34.0,,375485,5.0,8.0,mouselab-mdp,,1
"[10356, 13072, 13965]","[u'right', u'right', u'up']",,,"[-1, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'13', u'7', u'3', u'10', u'6', u'2', u'11', u'5', u'4', u'14', u'8', u'15', u'16', u'9', u'17'], u'time': [725, 1434, 1713, 1986, 2444, 3258, 3491, 3833, 4353, 4759, 5126, 5475, 5818, 6253, 7355, 7585]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10356, 4, 371]",18.0,,444840,6.0,2.0,mouselab-mdp,,1
"[8158, 11401, 12438]","[u'left', u'left', u'up']",,,"[-1, -1, -1]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'7', u'12', u'13', u'8', u'6', u'14', u'15'], u'time': [2016, 2379, 2820, 3323, 3916, 4147, 4867, 6237, 6683, 7335, 7683]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8158, 5, 14]",46.0,,497051,7.0,7.0,mouselab-mdp,,1
"[8311, 11440, 12345]","[u'up', u'up', u'left']",,,"[-1, -1, -1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'7', u'13', u'12', u'14', u'8', u'15', u'10'], u'time': [1723, 1929, 2333, 2723, 3248, 4122, 4506, 5446, 5732, 6415, 7177]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8311, 5, 5]",29.0,,552918,8.0,10.0,mouselab-mdp,,1
