action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[11751, 19975, 21343]","[u'right', u'right', u'up']",,,"[5, 0, 1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'9', u'6', u'10', u'11'], u'time': [1235, 1758, 2260, 2854, 3718, 4405, 4961, 5904]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11751, 382, 648]",26.0,,834628,11.0,2.0,mouselab-mdp,,0
"[13689, 43769, 45664]","[u'right', u'right', u'down']",,,"[5, 0, 1]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'5', u'7', u'12', u'13', u'6', u'10', u'11'], u'time': [1621, 2199, 2726, 3199, 4012, 4784, 5309, 6379, 7176, 7838]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13689, 22310, 1228]",46.0,,889667,12.0,6.0,mouselab-mdp,,0
"[15376, 27557, 28483]","[u'down', u'down', u'left']",,,"[7, 0, 0]","[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'14', u'15', u'11', u'10', u'12', u'13', u'16', u'17'], u'time': [2302, 3741, 4613, 5292, 7117, 7789, 9916, 10588, 11740, 12580]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15375, 600, 202]",45.9,,227817,1.0,1.0,mouselab-mdp,,2
"[12429, 20703, 23334]","[u'left', u'left', u'up']",,,"[3, 0, 0]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'12', u'11', u'10', u'13', u'17', u'16'], u'time': [1424, 2335, 3791, 5215, 5911, 6663, 7535, 8168]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12429, 525, 1815]",39.92,,289977,2.0,0.0,mouselab-mdp,,2
"[14085, 19527, 22045]","[u'left', u'left', u'up']",,,"[0, 0, 0]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'13', u'14', u'15', u'16', u'17', u'10', u'11', u'5', u'9', u'4', u'8'], u'time': [1377, 2382, 3733, 4398, 5374, 6222, 7598, 8373, 9773, 10429, 11605, 12262]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14084, 6, 1829]",33.88,,341713,3.0,5.0,mouselab-mdp,,2
"[15515, 21007, 22283]","[u'right', u'right', u'down']",,,"[0, 0, 0]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'12', u'13', u'10', u'11', u'17', u'16', u'5', u'9', u'2', u'6', u'4', u'3'], u'time': [2373, 3061, 4076, 4877, 5597, 6381, 7221, 7884, 8629, 9196, 10396, 11125, 12444, 14046]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15515, 7, 585]",37.86,,393729,4.0,11.0,mouselab-mdp,,2
"[15036, 20769, 21677]","[u'down', u'down', u'right']",,,"[0, 0, 0]","[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'12', u'13', u'11', u'10', u'17', u'16', u'9', u'5', u'3', u'7', u'6', u'2'], u'time': [1111, 2189, 2950, 3605, 4590, 5213, 5885, 6549, 7230, 7805, 8885, 10222, 11125, 12069]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15036, 6, 308]",41.86,,445537,5.0,4.0,mouselab-mdp,,2
"[15979, 21701, 22972]","[u'right', u'right', u'up']",,,"[0, 0, 0]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'13', u'10', u'11', u'17', u'16', u'14', u'15', u'4', u'8', u'6', u'2', u'5', u'3'], u'time': [1540, 2292, 3068, 3869, 4604, 5404, 6172, 6869, 7428, 7892, 8709, 9196, 12900, 13700]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15979, 5, 610]",21.86,,497552,6.0,10.0,mouselab-mdp,,2
"[16507, 22296, 23507]","[u'down', u'down', u'left']",,,"[0, 0, 0]","[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'15', u'10', u'11', u'16', u'17', u'12', u'13', u'3', u'5', u'9', u'4', u'8', u'7', u'2'], u'time': [1045, 1692, 2708, 3444, 5252, 5924, 6948, 7525, 8211, 9124, 9731, 10492, 11100, 12148, 15324]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[16507, 9, 617]",33.85,,550913,7.0,7.0,mouselab-mdp,,2
"[11640, 20728, 22000]","[u'up', u'up', u'left']",,,"[1, 0, 0]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'11', u'17', u'16', u'15', u'14', u'12', u'13', u'3', u'7', u'6', u'2'], u'time': [1681, 2321, 3057, 3713, 4432, 5009, 5682, 6273, 6818, 7200, 8041, 9176]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11640, 2625, 557]",40.88,,604872,8.0,8.0,mouselab-mdp,,2
