p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,,221154,,221154,,,instructions,"[{""page_index"":0,""viewing_time"":83325},{""page_index"":1,""viewing_time"":32674},{""page_index"":2,""viewing_time"":24144},{""page_index"":1,""viewing_time"":3850},{""page_index"":0,""viewing_time"":17904},{""page_index"":1,""viewing_time"":8238},{""page_index"":0,""viewing_time"":18945},{""page_index"":1,""viewing_time"":11782},{""page_index"":0,""viewing_time"":6585},{""page_index"":1,""viewing_time"":3216},{""page_index"":2,""viewing_time"":10490}]",22
,,,,,,,,,,,,,,36745,,288865,,,instructions,"[{""page_index"":0,""viewing_time"":20712},{""page_index"":1,""viewing_time"":8007},{""page_index"":2,""viewing_time"":8024}]",22
,,,,,,,,,,,,,,63196,,380675,,,instructions,"[{""page_index"":0,""viewing_time"":19632},{""page_index"":1,""viewing_time"":25136},{""page_index"":2,""viewing_time"":18426}]",22
,,,,,,,,,,,,,,47099,,447393,,,instructions,"[{""page_index"":0,""viewing_time"":5364},{""page_index"":1,""viewing_time"":29554},{""page_index"":2,""viewing_time"":12180}]",22
,,,,,,,,,,,,,,87301,,87303,,,instructions,"[{""page_index"":0,""viewing_time"":29613},{""page_index"":1,""viewing_time"":29616},{""page_index"":2,""viewing_time"":28071}]",23
,,,,,,,,,,,,,,111988,,111990,,,instructions,"[{""page_index"":0,""viewing_time"":61658},{""page_index"":1,""viewing_time"":34322},{""page_index"":2,""viewing_time"":16007}]",24
,,,,,,,,,,,,,,86257,,86260,,,instructions,"[{""page_index"":0,""viewing_time"":59276},{""page_index"":1,""viewing_time"":9023},{""page_index"":2,""viewing_time"":17955}]",25
,,,,,,,,,,,,,,57811,,57812,,,instructions,"[{""page_index"":0,""viewing_time"":26824},{""page_index"":1,""viewing_time"":10772},{""page_index"":2,""viewing_time"":20214}]",26
,,,,,,,,,,,,,,51358,,165297,,,instructions,"[{""page_index"":0,""viewing_time"":10916},{""page_index"":1,""viewing_time"":17659},{""page_index"":2,""viewing_time"":14192},{""page_index"":1,""viewing_time"":1710},{""page_index"":0,""viewing_time"":5527},{""page_index"":1,""viewing_time"":689},{""page_index"":2,""viewing_time"":664}]",26
,,,,,,,,,,,,,,11517,,195423,,,instructions,"[{""page_index"":0,""viewing_time"":6485},{""page_index"":1,""viewing_time"":4174},{""page_index"":2,""viewing_time"":858}]",26
,,,,,,,,,,,,,,46022,,251564,,,instructions,"[{""page_index"":0,""viewing_time"":22652},{""page_index"":1,""viewing_time"":18086},{""page_index"":2,""viewing_time"":5284}]",26
