,pid,temp,p_error,logp,satisfice,prune,model,trial_idx
0,3,1e-10,0.87,-7.366272680683515,5.0,-30.0,depth_first,0
1,3,1e-10,0.87,-7.366272680683515,5.0,-30.0,breadth_first,0
2,3,1e-10,0.87,-7.366272680683515,5.0,-30.0,progressive_deepening,0
3,3,1e-05,0.87,-7.366272680683515,5.0,-30.0,best_first,0
4,3,1e-05,0.8,-7.200891202116384,,,optimal,0
5,3,1e-10,1.0,-7.447751280047907,,,random,0
6,3,1e-10,0.77,-19.896983250822014,5.0,-30.0,depth_first,1
7,3,1e-10,0.63,-18.371631880438372,5.0,-30.0,breadth_first,1
8,3,1e-10,0.95,-20.73023464260148,5.0,-30.0,progressive_deepening,1
9,3,1e-05,0.5,-16.37577696752143,5.0,-30.0,best_first,1
10,3,10.0,0.01,-20.332796355982985,,,optimal,1
11,3,1e-10,1.0,-20.76040438389537,,,random,1
12,3,1e-10,0.88,-22.035410308901547,10.0,-30.0,depth_first,2
13,3,1e-10,1.0,-22.552163853123428,5.0,-30.0,breadth_first,2
14,3,1e-10,0.91,-22.293800973728015,10.0,-20.0,progressive_deepening,2
15,3,2.44205309454865,0.98,-22.546491614297928,10.0,-20.0,best_first,2
16,3,10.0,0.01,-21.957627380537662,,,optimal,2
17,3,1e-10,1.0,-22.552163853123428,,,random,2
18,3,1e-10,0.78,-20.980109900263923,20.0,-30.0,depth_first,3
19,3,1e-10,1.0,-22.552163853123428,5.0,-30.0,breadth_first,3
20,3,1e-10,0.8200000000000001,-21.633860716260177,20.0,-30.0,progressive_deepening,3
21,3,1e-05,1.0,-22.552163853123428,5.0,-30.0,best_first,3
22,3,5.689866029018292,0.01,-22.06292099848029,,,optimal,3
23,3,1e-10,1.0,-22.552163853123428,,,random,3
24,3,1e-10,0.79,-21.82437297817201,30.0,-30.0,depth_first,4
25,3,1e-10,1.0,-22.552163853123428,5.0,-30.0,breadth_first,4
26,3,1e-10,0.8300000000000001,-22.17076176272485,30.0,-30.0,progressive_deepening,4
27,3,7.543120063354608,0.8300000000000001,-22.071421228312296,30.0,-30.0,best_first,4
28,3,3.23745754281764,0.01,-20.84108025678044,,,optimal,4
29,3,1e-10,1.0,-22.552163853123428,,,random,4
30,3,1e-10,0.9,-11.781216348107359,5.0,-30.0,depth_first,5
31,3,1e-10,0.9,-11.781216348107359,5.0,-30.0,breadth_first,5
32,3,1e-10,0.9,-11.781216348107359,5.0,-30.0,progressive_deepening,5
33,3,1e-05,0.9,-11.781216348107359,5.0,-30.0,best_first,5
34,3,0.14563484775012445,0.34,-10.0076380945982,,,optimal,5
35,3,1e-10,1.0,-11.947560950378175,,,random,5
36,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,6
37,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,6
38,3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,6
39,3,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,6
40,3,1e-05,0.01,-4.8141660364000645,,,optimal,6
41,3,1e-10,1.0,-9.750336373041954,,,random,6
42,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,7
43,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,7
44,3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,7
45,3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,7
46,3,1e-05,0.01,-1.8063675729911357,,,optimal,7
47,3,1e-10,1.0,-5.049856007249537,,,random,7
48,3,1e-10,0.95,-13.983364371545422,5.0,-30.0,depth_first,8
