pid,temp,p_error,logp,satisfice,prune,model,trial_idx
268,1e-10,0.63,-12.70909443211979,5,-30,depth_first,0
268,1e-10,0.01,-3.632363021201665,5,-30,breadth_first,0
268,1e-10,0.63,-12.70909443211979,5,-30,progressive_deepening,0
268,5.689866029018293,0.01,-5.552678552556272,5,-30,best_first,0
268,1e-05,1.0,-14.02700249205801,,,optimal,0
268,1e-10,1.0,-14.02700249205801,,,random,0
268,1e-10,0.88,-19.165735849506028,5,-30,depth_first,1
268,1e-10,0.17,-11.30979596580632,15,-30,breadth_first,1
268,1e-10,0.88,-19.165735849506028,5,-30,progressive_deepening,1
268,10.0,0.2,-14.743899498936003,15,-30,best_first,1
268,1e-05,1.0,-19.37411002277548,,,optimal,1
268,1e-10,1.0,-19.37411002277548,,,random,1
268,1e-10,0.44,-17.419191400614825,15,-30,depth_first,2
268,1e-10,0.5,-16.806559883613883,15,-30,breadth_first,2
268,1e-10,0.73,-19.939398044929035,15,-30,progressive_deepening,2
268,5.689866029018293,0.01,-9.201013141772657,15,-30,best_first,2
268,1e-05,0.77,-19.90600233032351,,,optimal,2
268,1e-10,1.0,-20.76040438389537,,,random,2
268,1e-10,0.73,-16.994648975136272,15,-30,depth_first,3
268,1e-10,0.01,-5.433920332909831,15,-30,breadth_first,3
268,1e-10,0.73,-16.994648975136272,15,-30,progressive_deepening,3
268,10.0,0.01,-9.782825340531287,15,-30,best_first,3
268,1e-05,1.0,-17.76467211034138,,,optimal,3
268,1e-10,1.0,-17.76467211034138,,,random,3
268,1e-10,0.79,-18.867289240762144,15,-5,depth_first,4
268,1e-10,0.15000000000000002,-9.6313925049971,15,-5,breadth_first,4
268,1e-10,0.79,-18.867289240762144,15,-5,progressive_deepening,4
268,10.0,0.17,-12.904214415123407,15,-5,best_first,4
268,10.0,0.01,-18.981527446356385,,,optimal,4
268,1e-10,1.0,-19.37411002277548,,,random,4
268,1e-10,0.9400000000000001,-20.71466795224405,5,-30,depth_first,5
268,1e-10,0.16,-12.506686316035845,15,-30,breadth_first,5
268,1e-10,0.9400000000000001,-20.71466795224405,5,-30,progressive_deepening,5
268,10.0,0.2,-16.250831058037573,15,-30,best_first,5
268,10.0,0.8400000000000001,-20.74575657491792,,,optimal,5
268,1e-10,1.0,-20.76040438389537,,,random,5
268,1e-10,0.81,-11.72214587453037,5,-30,depth_first,6
268,1e-10,0.25,-7.3712806497813945,5,-30,breadth_first,6
268,1e-10,0.81,-11.72214587453037,5,-30,progressive_deepening,6
268,1.8420699693267164,0.26,-8.045241793198542,5,-30,best_first,6
268,1e-05,1.0,-11.947560950378174,,,optimal,6
268,1e-10,1.0,-11.947560950378174,,,random,6
268,1e-10,0.59,-14.438227733349672,10,-30,depth_first,7
268,1e-10,0.18000000000000002,-8.321076698850097,10,-30,breadth_first,7
268,1e-10,0.59,-14.438227733349672,10,-30,progressive_deepening,7
268,7.543120063354607,0.01,-6.965356481070434,10,-30,best_first,7
268,10.0,0.01,-15.4051757296316,,,optimal,7
268,1e-10,1.0,-15.972912641113323,,,random,7
268,1e-10,0.7100000000000001,-20.45420410659823,10,-30,depth_first,8
268,1e-10,0.6900000000000001,-20.001955396420197,5,-30,breadth_first,8
268,1e-10,0.87,-21.60280570295062,10,-30,progressive_deepening,8
268,1e-05,0.44,-15.639400351015894,10,-30,best_first,8
268,1.0481131341546852,0.01,-19.83500903185862,,,optimal,8
268,1e-10,1.0,-21.85901667256348,,,random,8
268,1e-10,1.0,-15.972912641113323,5,-30,depth_first,9
268,1e-10,1.0,-15.972912641113323,5,-30,breadth_first,9
268,1e-10,1.0,-15.972912641113323,5,-30,progressive_deepening,9
268,1e-05,1.0,-15.972912641113323,5,-30,best_first,9
268,1e-05,0.01,-6.629114438930426,,,optimal,9
268,1e-10,1.0,-15.972912641113323,,,random,9
