,action,pid,state,trial_id,trial_index
51,13,3,"(0, 2, -4, 24, -48, -2, -8, 24, -48, 2, 4, 24, -48)",-2147483648,4
52,4,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,5
53,3,3,"(0, Cat, Cat, Cat, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,5
54,2,3,"(0, Cat, Cat, 48, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,5
55,1,3,"(0, Cat, 4, 48, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,5
56,13,3,"(0, -4, 4, 48, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,5
57,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,6
58,4,3,"(0, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,6
59,7,3,"(0, Cat, Cat, 24, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,6
60,13,3,"(0, Cat, Cat, 24, -48, Cat, Cat, 48, Cat, Cat, Cat, Cat, Cat)",-2147483648,6
61,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,7
62,13,3,"(0, Cat, Cat, 48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,7
63,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,8
64,4,3,"(0, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,8
65,7,3,"(0, Cat, Cat, 24, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,8
66,5,3,"(0, Cat, Cat, 24, -24, Cat, Cat, 48, Cat, Cat, Cat, Cat, Cat)",-2147483648,8
67,6,3,"(0, Cat, Cat, 24, -24, 4, Cat, 48, Cat, Cat, Cat, Cat, Cat)",-2147483648,8
68,13,3,"(0, Cat, Cat, 24, -24, 4, -8, 48, Cat, Cat, Cat, Cat, Cat)",-2147483648,8
69,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,9
70,13,3,"(0, Cat, Cat, 48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,9
71,1,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,10
72,3,3,"(0, 4, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,10
73,4,3,"(0, 4, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,10
74,13,3,"(0, 4, Cat, -24, 48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,10
75,2,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,11
