pid,temp,p_error,logp,satisfice,prune,model,trial_idx
172,1e-10,0.8300000000000001,-9.381105804877004,5,-30,progressive_deepening,14
172,1e-05,0.8300000000000001,-9.381105804877004,5,-30,best_first,14
172,1e-05,0.01,-4.8141660364000645,,,optimal,14
172,1e-10,1.0,-9.750336373041954,,,random,14
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,15
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,15
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,15
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,15
172,1e-05,0.01,-3.4215794435813742,,,optimal,15
172,1e-10,1.0,-7.447751280047908,,,random,15
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,16
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,16
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,16
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,16
172,1e-05,0.01,-3.4215794435813742,,,optimal,16
172,1e-10,1.0,-7.447751280047908,,,random,16
172,1e-10,1.0,-15.972912641113323,5,-30,depth_first,17
172,1e-10,1.0,-15.972912641113323,5,-30,breadth_first,17
172,1e-10,1.0,-15.972912641113323,5,-30,progressive_deepening,17
172,1e-05,1.0,-15.972912641113323,5,-30,best_first,17
172,1e-05,0.01,-6.629114438930426,,,optimal,17
172,1e-10,1.0,-15.972912641113323,,,random,17
172,1e-10,0.9500000000000001,-13.983364371545422,5,-30,depth_first,18
172,1e-10,0.9500000000000001,-13.983364371545422,5,-30,breadth_first,18
172,1e-10,0.9500000000000001,-13.983364371545422,5,-30,progressive_deepening,18
172,1e-05,0.9500000000000001,-13.983364371545422,5,-30,best_first,18
172,0.19306977288832497,0.01,-9.04830661551726,,,optimal,18
172,1e-10,1.0,-14.02700249205801,,,random,18
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,19
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,19
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,19
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,19
172,1e-05,0.01,-3.4215794435813742,,,optimal,19
172,1e-10,1.0,-7.447751280047908,,,random,19
172,1e-10,0.8300000000000001,-9.381105804877004,5,-30,depth_first,20
172,1e-10,0.8300000000000001,-9.381105804877004,5,-30,breadth_first,20
172,1e-10,0.8300000000000001,-9.381105804877004,5,-30,progressive_deepening,20
172,1e-05,0.8300000000000001,-9.381105804877004,5,-30,best_first,20
172,1e-05,0.01,-4.8141660364000645,,,optimal,20
172,1e-10,1.0,-9.750336373041954,,,random,20
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,21
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,21
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,21
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,21
172,1e-05,0.45,-5.878744813408145,,,optimal,21
172,1e-10,1.0,-7.447751280047908,,,random,21
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,22
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,22
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,22
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,22
172,1e-05,0.59,-7.130848545041635,,,optimal,22
172,1e-10,1.0,-7.447751280047908,,,random,22
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,23
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,23
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,23
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,23
172,1e-05,0.01,-3.4215794435813742,,,optimal,23
172,1e-10,1.0,-7.447751280047908,,,random,23
172,1e-10,0.9,-11.78121634810736,5,-30,depth_first,24
172,1e-10,0.9,-11.78121634810736,5,-30,breadth_first,24
172,1e-10,0.9,-11.78121634810736,5,-30,progressive_deepening,24
172,1e-05,0.9,-11.78121634810736,5,-30,best_first,24
172,1e-05,0.01,-5.91969082609729,,,optimal,24
172,1e-10,1.0,-11.947560950378174,,,random,24
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,25
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,25
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,25
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,25
172,1e-05,0.45,-5.878744813408145,,,optimal,25
172,1e-10,1.0,-7.447751280047908,,,random,25
172,1e-10,0.73,-6.76883995007713,5,-30,depth_first,26
172,1e-10,0.73,-6.76883995007713,5,-30,breadth_first,26
172,1e-10,0.73,-6.76883995007713,5,-30,progressive_deepening,26
172,1e-05,0.73,-6.76883995007713,5,-30,best_first,26
172,1e-05,0.01,-3.4215794435813742,,,optimal,26
172,1e-10,1.0,-7.447751280047908,,,random,26
172,1e-10,0.8300000000000001,-9.381105804877004,5,-30,depth_first,27
172,1e-10,0.8300000000000001,-9.381105804877004,5,-30,breadth_first,27
172,1e-10,0.8300000000000001,-9.381105804877004,5,-30,progressive_deepening,27
172,1e-05,0.8300000000000001,-9.381105804877004,5,-30,best_first,27
172,1e-05,0.01,-4.8141660364000645,,,optimal,27
172,1e-10,1.0,-9.750336373041954,,,random,27
172,1e-10,0.9,-11.78121634810736,5,-30,depth_first,28
172,1e-10,0.9,-11.78121634810736,5,-30,breadth_first,28
172,1e-10,0.9,-11.78121634810736,5,-30,progressive_deepening,28
172,1e-05,0.9,-11.78121634810736,5,-30,best_first,28
