PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,time_limit,version
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,386,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-212.0,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,387,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-72.0,True,1.9
featureBased,0.0,0.01,False,4,24,4,True,after_each_move,1.25,full,388,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,389,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-80.0,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,390,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-64.0,True,1.9
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,391,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-292.0,True,1.9
objectLevel,1.11,0.01,True,7,24,4,True,after_each_move,1.25,full,392,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",110.75,True,1.9
none,1.02,0.01,True,1,24,4,False,after_each_move,1.25,none,393,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",102.0,True,1.9
objectLevel,1.92,0.01,True,6,24,4,True,after_each_move,0.1,full,394,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",191.8,True,1.9
none,0.0,0.01,True,0,24,4,False,after_each_move,0.1,none,395,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",-16.0,True,1.9
featureBased,0.48,0.01,True,4,24,4,True,after_each_move,1.25,full,396,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",47.5,True,1.9
objectLevel,0.0,0.01,False,7,24,4,True,after_each_move,1.25,full,397,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",,True,1.9
featureBased,1.54,0.01,True,4,24,4,True,after_each_move,1.25,full,398,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",154.0,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,399,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-40.0,True,1.9
objectLevel,0.0,0.01,False,7,24,4,True,after_each_move,1.25,full,400,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,401,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-96.0,True,1.9
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,402,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",0.0,True,1.9
none,1.38,0.01,True,1,24,4,False,after_each_move,1.25,none,403,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",137.5,True,1.9
featureBased,3.04,0.01,True,3,24,4,True,after_each_move,0.1,full,404,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",304.4,True,1.9
objectLevel,0.0,0.01,False,8,24,4,True,after_each_move,4.0,full,405,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,406,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-44.0,True,1.9
featureBased,3.43,0.01,True,3,24,4,True,after_each_move,0.1,full,407,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",343.3,True,1.9
featureBased,0.98,0.01,True,4,24,4,True,after_each_move,1.25,full,408,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",98.0,True,1.9
