Unnamed: 0,groundtruth,return,actions,directions,mod_actions
1,"(-1, -4, -48, -1, -8, -48, -4, -2, 24)",16.0,"[2, 5, 8, 0, 4, 1, 9]","['left', 'left', 'right']","[3, 6, 9, 1, 5, 2, 0]"
17,"(-2, -24, -4, 1, -48, -4, -8, 1, 48)",42.0,"[2, 8, 1, 4, 5, 9]","['left', 'left', 'right']","[3, 9, 2, 5, 6, 0]"
34,"(4, -1, -48, 4, 2, 24, -8, 2, 48)",72.0,"[2, 5, 8, 0, 9]","['left', 'right', 'right']","[3, 6, 9, 1, 0]"
50,"(-8, 48, 1, 8, 24, -2, -8, -2, 24)",92.0,"[2, 8, 4, 1, 9]","['center', 'center', 'right']","[3, 9, 5, 2, 0]"
66,"(24, -2, -4, 48, -2, -8, -8, -2, 24)",91.0,"[2, 8, 1, 3, 0, 9]","['left', 'left', 'right']","[3, 9, 2, 4, 1, 0]"
83,"(24, -8, 1, 48, 4, 1, -4, 1, -48)",67.0,"[2, 8, 4, 0, 3, 6, 9]","['left', 'left', 'center']","[3, 9, 5, 1, 4, 7, 0]"
97,"(4, 2, -48, 4, 1, -24, 1, 4, 24)",27.0,"[2, 5, 8, 0, 3, 9]","['left', 'left', 'right']","[3, 6, 9, 1, 4, 0]"
116,"(4, 2, -24, 4, -1, -48, 2, 48, 4)",50.0,"[2, 5, 8, 7, 0, 3, 9]","['left', 'left', 'center']","[3, 6, 9, 8, 1, 4, 0]"
134,"(4, -2, -24, -4, 2, 24, -4, 2, -24)",25.0,"[2, 5, 8, 0, 6, 9]","['left', 'right', 'center']","[3, 6, 9, 1, 7, 0]"
151,"(-4, -2, -48, -8, -1, -24, 8, 24, -1)",14.0,"[2, 5, 8, 6, 7, 0, 3, 9]","['center', 'center', 'center']","[3, 6, 9, 7, 8, 1, 4, 0]"
170,"(4, -1, 24, -8, 2, -24, 24, 2, 8)",44.0,"[2, 5, 8, 7, 6, 3, 9]","['right', 'center', 'left']","[3, 6, 9, 8, 7, 4, 0]"
186,"(-8, 2, -24, 8, -1, 24, 24, 4, -1)",45.0,"[2, 5, 8, 6, 0, 9]","['center', 'right', 'left']","[3, 6, 9, 7, 1, 0]"
