,groundtruth,return,actions
0,"(1, -8, 48, -1, 8, -48, -48, -4, -2)",48.0,"[0, 6, 5, 2, 4, 7, 9]"
21,"(-1, -24, -8, -1, -48, -8, -24, -8, 1)",-8.0,"[0, 6, 2, 4, 1, 5, 7, 9]"
39,"(-8, -1, -24, 4, -2, -24, -48, 4, 2)",0.0,"[0, 6, 1, 5, 2, 3, 7, 9]"
52,"(4, -24, -2, 4, 48, 1, -48, 8, 2)",55.0,"[0, 6, 4, 1, 7, 9]"
67,"(-48, 2, 4, 48, 1, -8, -48, -8, 1)",47.0,"[0, 3, 6, 1, 7, 2, 9]"
81,"(24, -8, -1, 48, -8, -2, -48, -8, 1)",69.0,"[0, 3, 6, 7, 9]"
100,"(24, -8, 1, 48, 4, 1, -1, 4, -48)",71.0,"[0, 3, 6, 7, 8, 9]"
117,"(24, 8, -2, 24, 4, -1, 1, 24, 4)",68.0,"[0, 3, 6, 7, 9]"
134,"(24, 8, -1, 24, -4, -2, 8, 2, 24)",67.0,"[0, 3, 6, 7, 8, 9]"
151,"(24, -8, -1, -24, 8, 1, -4, 48, -1)",75.0,"[0, 3, 6, 7, 4, 9]"
170,"(-24, -8, -2, -48, -4, -1, 48, 1, -4)",40.0,"[0, 3, 6, 1, 4, 9]"
186,"(24, -4, 1, -48, 8, -1, 24, 8, 2)",52.0,"[0, 3, 6, 4, 9]"
