Unnamed: 0,groundtruth,return,actions,directions,mod_actions
0,"(1, -8, 48, -1, 8, -48, -48, -1, -8)",49.0,"[0, 6, 5, 2, 4, 8, 9]","['right', 'center', 'center']","[1, 7, 6, 3, 5, 9, 0]"
17,"(-1, -24, -8, -1, -48, -8, -24, -2, 4)",-5.0,"[0, 6, 2, 4, 1, 5, 8, 9]","['left', 'left', 'right']","[1, 7, 3, 5, 2, 6, 9, 0]"
32,"(-8, -1, -24, 4, -2, -24, -48, 1, 8)",4.0,"[0, 6, 1, 5, 2, 3, 8, 9]","['center', 'left', 'right']","[1, 7, 2, 6, 3, 4, 9, 0]"
47,"(4, -24, -2, 4, 48, 1, -48, 2, 8)",55.0,"[0, 6, 4, 1, 8, 9]","['left', 'center', 'right']","[1, 7, 5, 2, 9, 0]"
63,"(-48, 2, 4, 48, 1, -8, -48, -2, 4)",51.0,"[0, 3, 6, 8, 2, 9]","['right', 'left', 'right']","[1, 4, 7, 9, 3, 0]"
82,"(24, -8, -1, 48, -8, -2, -48, -2, 4)",72.0,"[0, 3, 6, 8, 9]","['left', 'left', 'right']","[1, 4, 7, 9, 0]"
99,"(24, -2, 4, 48, 1, 4, -1, 4, -48)",71.0,"[0, 3, 6, 8, 7, 9]","['left', 'left', 'center']","[1, 4, 7, 9, 8, 0]"
118,"(24, 2, -8, 24, 1, -4, 1, 24, 4)",67.0,"[0, 3, 6, 8, 7, 9]","['left', 'left', 'center']","[1, 4, 7, 9, 8, 0]"
135,"(24, 2, -4, 24, -1, -8, 8, 2, 24)",68.0,"[0, 3, 6, 8, 9]","['left', 'left', 'right']","[1, 4, 7, 9, 0]"
154,"(24, -2, -4, -24, 2, 4, -4, 48, -1)",70.0,"[0, 3, 6, 8, 7, 5, 9]","['left', 'right', 'center']","[1, 4, 7, 9, 8, 6, 0]"
172,"(-24, -2, -8, -48, -1, -4, 48, 1, -4)",40.0,"[0, 3, 6, 2, 5, 9]","['center', 'center', 'left']","[1, 4, 7, 3, 6, 0]"
190,"(24, -1, 4, -48, 2, -4, 24, 8, 2)",46.0,"[0, 3, 6, 5, 9]","['left', 'center', 'left']","[1, 4, 7, 6, 0]"
