Unnamed: 0,groundtruth,return,actions,directions,mod_actions
0,"(1, -8, 48, -1, 8, -48, -48, -4, -2)",48.0,"[0, 6, 5, 2, 4, 7, 9]","['right', 'center', 'right']","[1, 7, 6, 3, 5, 8, 0]"
21,"(-1, -24, -8, -1, -48, -8, -24, -8, 1)",-8.0,"[0, 6, 2, 4, 1, 5, 7, 9]","['left', 'left', 'right']","[1, 7, 3, 5, 2, 6, 8, 0]"
39,"(-8, -1, -24, 4, -2, -24, -48, 4, 2)",0.0,"[0, 6, 1, 5, 2, 3, 7, 9]","['center', 'left', 'center']","[1, 7, 2, 6, 3, 4, 8, 0]"
52,"(4, -24, -2, 4, 48, 1, -48, 8, 2)",55.0,"[0, 6, 4, 1, 7, 9]","['left', 'center', 'center']","[1, 7, 5, 2, 8, 0]"
67,"(-48, 2, 4, 48, 1, -8, -48, -8, 1)",47.0,"[0, 3, 6, 1, 7, 2, 9]","['right', 'left', 'right']","[1, 4, 7, 2, 8, 3, 0]"
81,"(24, -8, -1, 48, -8, -2, -48, -8, 1)",69.0,"[0, 3, 6, 7, 9]","['left', 'left', 'right']","[1, 4, 7, 8, 0]"
100,"(24, -8, 1, 48, 4, 1, -1, 4, -48)",71.0,"[0, 3, 6, 7, 8, 9]","['left', 'left', 'center']","[1, 4, 7, 8, 9, 0]"
117,"(24, 8, -2, 24, 4, -1, 1, 24, 4)",68.0,"[0, 3, 6, 7, 9]","['left', 'left', 'center']","[1, 4, 7, 8, 0]"
134,"(24, 8, -1, 24, -4, -2, 8, 2, 24)",67.0,"[0, 3, 6, 7, 8, 9]","['left', 'left', 'right']","[1, 4, 7, 8, 9, 0]"
151,"(24, -8, -1, -24, 8, 1, -4, 48, -1)",75.0,"[0, 3, 6, 7, 4, 9]","['left', 'center', 'center']","[1, 4, 7, 8, 5, 0]"
170,"(-24, -8, -2, -48, -4, -1, 48, 1, -4)",40.0,"[0, 3, 6, 1, 4, 9]","['right', 'right', 'left']","[1, 4, 7, 2, 5, 0]"
186,"(24, -4, 1, -48, 8, -1, 24, 8, 2)",52.0,"[0, 3, 6, 4, 9]","['left', 'center', 'left']","[1, 4, 7, 5, 0]"
