Unnamed: 0,groundtruth,return,actions,directions,mod_actions
0,"(1, -8, 48, -1, 8, -48, -8, -24, -2)",48.0,"[1, 7, 2, 5, 4, 6, 9]","['right', 'center', 'right']","[2, 8, 3, 6, 5, 7, 0]"
18,"(-1, -24, -8, -1, -48, -8, -4, -48, 1)",-8.0,"[1, 4, 7, 0, 5, 6, 2, 9]","['left', 'left', 'right']","[2, 5, 8, 1, 6, 7, 3, 0]"
34,"(-8, -1, -24, 4, -2, -24, -8, 24, 2)",21.0,"[1, 7, 0, 5, 2, 3, 9]","['center', 'left', 'center']","[2, 8, 1, 6, 3, 4, 0]"
49,"(4, -24, -2, 4, 48, 1, -8, 48, 2)",96.0,"[1, 4, 7, 0, 9]","['left', 'center', 'center']","[2, 5, 8, 1, 0]"
69,"(-48, 2, 4, 48, 1, -8, -8, -48, 1)",47.0,"[1, 7, 3, 0, 6, 2, 9]","['right', 'left', 'right']","[2, 8, 4, 1, 7, 3, 0]"
88,"(24, -8, -1, 48, -8, -2, -8, -48, 1)",67.0,"[1, 7, 2, 3, 0, 6, 9]","['left', 'left', 'right']","[2, 8, 3, 4, 1, 7, 0]"
105,"(4, -48, 1, 8, 24, 1, -1, 4, -48)",26.0,"[1, 4, 7, 6, 8, 0, 9]","['left', 'center', 'center']","[2, 5, 8, 7, 9, 1, 0]"
121,"(4, 48, -2, 4, 24, -1, 1, 24, 4)",93.0,"[1, 4, 7, 9]","['center', 'center', 'center']","[2, 5, 8, 0]"
137,"(4, 48, -1, 4, -24, -2, 8, 2, 24)",70.0,"[1, 4, 7, 6, 8, 3, 9]","['center', 'left', 'right']","[2, 5, 8, 7, 9, 4, 0]"
152,"(4, -48, -1, -4, 48, 1, -4, 48, -1)",96.0,"[1, 4, 7, 0, 9]","['left', 'center', 'center']","[2, 5, 8, 1, 0]"
169,"(-4, -48, -2, -8, -24, -1, 48, 1, -4)",39.0,"[1, 4, 7, 6, 0, 3, 9]","['right', 'right', 'left']","[2, 5, 8, 7, 1, 4, 0]"
189,"(4, -24, 1, -8, 48, -1, 24, 8, 2)",71.0,"[1, 4, 7, 6, 0, 9]","['left', 'center', 'left']","[2, 5, 8, 7, 1, 0]"
