PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,2.58,0.01,True,0,24,4,False,after_each_move,0.25,none,0,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",258.0,"[0, 2, 11, 8, 4, 10]",True,0.992
none,3.44,0.01,True,0,24,4,False,after_each_move,0.25,none,1,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",344.0,"[7, 8, 6, 12, 10, 5]",True,0.992
none,0.78,0.01,True,1,24,4,False,after_each_move,0.25,none,2,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",78.0,"[0, 11, 1, 12, 13, 3]",False,0.992
none,0.0,0.01,True,0,24,4,False,after_each_move,0.25,none,3,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",-8.0,"[7, 11, 12, 14, 5, 10]",True,0.992
none,0.0,0.01,False,1,24,4,False,after_each_move,0.25,none,4,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",,,False,0.992
none,0.08,0.01,True,0,24,4,False,after_each_move,0.25,none,5,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",8.0,"[11, 14, 10, 5, 12, 2]",True,0.992
none,3.46,0.01,True,1,24,4,False,after_each_move,0.25,none,6,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",345.5,"[1, 3, 13, 6, 12, 11]",False,0.992
none,2.92,0.01,True,0,24,4,False,after_each_move,0.25,none,7,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",292.25,"[5, 12, 3, 2, 9, 0]",True,0.992
none,2.65,0.01,True,1,24,4,False,after_each_move,0.25,none,8,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",264.5,"[2, 9, 6, 14, 5, 7]",False,0.992
none,2.55,0.01,True,1,24,4,False,after_each_move,0.25,none,9,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",255.25,"[4, 11, 2, 8, 7, 14]",False,0.992
none,0.0,0.01,False,0,24,4,False,after_each_move,0.25,none,10,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",,,True,0.992
none,2.18,0.01,True,0,24,4,False,after_each_move,0.25,none,11,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",218.25,"[13, 9, 7, 0, 12, 3]",True,0.992
none,0.07,0.01,True,1,24,4,False,after_each_move,0.25,none,12,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",7.0,"[1, 6, 13, 7, 9, 11]",False,0.992
none,3.12,0.01,True,1,24,4,False,after_each_move,0.25,none,13,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",312.25,"[15, 1, 4, 12, 14, 8]",False,0.992
none,3.44,0.01,True,1,24,4,False,after_each_move,0.25,none,14,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",343.75,"[3, 12, 4, 14, 10, 9]",False,0.992
none,0.4,0.01,True,0,24,4,False,after_each_move,0.25,none,15,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",39.75,"[11, 2, 15, 1, 14, 7]",True,0.992
none,0.88,0.01,True,1,24,4,False,after_each_move,0.25,none,16,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",88.0,"[1, 0, 5, 2, 6, 4]",False,0.992
none,0.88,0.01,True,0,24,4,False,after_each_move,0.25,none,17,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",88.25,"[3, 14, 5, 8, 6, 9]",True,0.992
none,0.8,0.01,True,1,24,4,False,after_each_move,0.25,none,18,"[2.257763937377627, 0.10443792456696127, 0.05249963763298343, 0.8577953703345867, 0.9978041373296709]",80.0,"[10, 12, 0, 4, 7, 11]",False,0.992
