p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,33286,,33289,,,instructions,"[{""page_index"":0,""viewing_time"":12104},{""page_index"":1,""viewing_time"":12535},{""page_index"":2,""viewing_time"":8646}]",0
,,,,,,,,,,,,,,59930,,59932,,,instructions,"[{""page_index"":0,""viewing_time"":23067},{""page_index"":1,""viewing_time"":21420},{""page_index"":2,""viewing_time"":15442}]",1
,,,,,,,,,,,,,,205840,,205842,,,instructions,"[{""page_index"":0,""viewing_time"":105078},{""page_index"":1,""viewing_time"":53629},{""page_index"":2,""viewing_time"":47132}]",2
,,,,,,,,,,,,,,26174,,312093,,,instructions,"[{""page_index"":0,""viewing_time"":10648},{""page_index"":1,""viewing_time"":7210},{""page_index"":2,""viewing_time"":8316}]",2
,,,,,,,,,,,,,,124823,,124825,,,instructions,"[{""page_index"":0,""viewing_time"":82219},{""page_index"":1,""viewing_time"":29168},{""page_index"":2,""viewing_time"":13434}]",3
,,,,,,,,,,,,,,85567,,85570,,,instructions,"[{""page_index"":0,""viewing_time"":57782},{""page_index"":1,""viewing_time"":16123},{""page_index"":2,""viewing_time"":11660}]",4
,,,,,,,,,,,,,,45744,,45747,,,instructions,"[{""page_index"":0,""viewing_time"":24396},{""page_index"":1,""viewing_time"":14958},{""page_index"":2,""viewing_time"":6387}]",5
,,,,,,,,,,,,,,131075,,131079,,,instructions,"[{""page_index"":0,""viewing_time"":63511},{""page_index"":1,""viewing_time"":42962},{""page_index"":2,""viewing_time"":24599}]",6
,,,,,,,,,,,,,,84866,,84868,,,instructions,"[{""page_index"":0,""viewing_time"":37097},{""page_index"":1,""viewing_time"":28737},{""page_index"":2,""viewing_time"":19030}]",7
,,,,,,,,,,,,,,69730,,69731,,,instructions,"[{""page_index"":0,""viewing_time"":29604},{""page_index"":1,""viewing_time"":21225},{""page_index"":2,""viewing_time"":18900}]",8
