action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[4645, 5313, 6075]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 5]","[4641, 150, 245]",25.0,"[None, None, None]","[u'', -10, -5, -5, 10, 10, 10, 5, -5, -5, 10, 5, 10]",44657,2.0,8328.0,-2.464562972607473e+18,mouselab-mdp,4
"[1871, 3020, 3687]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[1869, 626, 136]",20.0,"[None, None, None]","[u'', 10, -5, -10, -5, 5, 5, 10, -10, -10, 5, 10, -10]",50909,3.0,5117.0,-8.642469369171842e+18,mouselab-mdp,4
"[1837, 2619, 3254]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[1834, 253, 110]",25.0,"[None, None, None]","[u'', 10, 5, 10, 5, 10, 10, -5, -10, 5, -5, -10, 5]",56380,4.0,4322.0,4.3967390784059443e+18,mouselab-mdp,4
"[2598, 3125, 3742]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 10]","[2596, 11, 95]",5.0,"[None, None, None]","[u'', -10, -10, -10, 5, 5, -10, -10, 10, 5, -10, -5, 5]",62728,5.0,5261.0,7.530557414679124e+18,mouselab-mdp,4
"[1022, 1553, 2119]","[u'up', u'up', u'left']",train_basic,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[1018, 6, 23]",20.0,"[None, None, None]","[u'', 5, 5, -5, 10, 5, -5, 5, 5, 5, -5, -10, -5]",67482,6.0,3642.0,7.374792400222714e+18,mouselab-mdp,4
"[1013, 1588, 2173]","[u'up', u'up', u'left']",train_basic,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 10, 5]","[1009, 59, 60]",10.0,"[None, None, None]","[u'', -5, 10, -5, 5, 5, -10, -10, -5, 10, -5, 10, -10]",72244,7.0,3595.0,1.0826444805002026e+18,mouselab-mdp,4
"[1583, 2205, 2852]","[u'left', u'left', u'up']",train_basic,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[1582, 111, 140]",25.0,"[None, None, None]","[u'', -10, 10, -5, -10, 10, -5, 10, 5, 10, 5, 10, -5]",77619,8.0,4253.0,1.9920789159475208e+18,mouselab-mdp,4
"[1389, 1915, 2588]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 5]","[1384, 9, 131]",20.0,"[None, None, None]","[u'', 5, -10, -5, 10, 10, 5, -10, 5, 5, -5, -5, 5]",82814,9.0,4025.0,8.034619116489217e+18,mouselab-mdp,4
"[7710, 8332, 8921]","[u'up', u'up', u'left']",train_hidden,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, -10]","[7707, 98, 91]",-10.0,"[None, None, None]","[u'', 5, -5, 10, -10, 5, -10, 5, -5, -10, -10, 5, -5]",96998,10.0,10794.0,-6.260275842353281e+18,mouselab-mdp,4
"[539, 1168, 1877]","[u'left', u'left', u'down']",train_hidden,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, -10, -5]","[535, 112, 195]",-20.0,"[None, None, None]","[u'', -5, 5, -5, 10, -5, 10, 10, 10, -5, -10, -10, -5]",101849,11.0,3700.0,3.7409315186213e+18,mouselab-mdp,4
"[720, 1332, 1946]","[u'up', u'up', u'right']",train_hidden,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 5]","[717, 97, 112]",5.0,"[None, None, None]","[u'', -5, 5, 5, 5, -10, 10, 10, 5, -10, 10, -10, -5]",106170,12.0,3172.0,-8.511375057859465e+18,mouselab-mdp,4
"[400, 965, 1631]","[u'up', u'up', u'right']",train_hidden,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, 10, -10]","[397, 41, 140]",-10.0,"[None, None, None]","[u'', -10, 10, -10, 10, 5, -5, 10, -10, 5, -10, 5, -10]",110230,13.0,2910.0,8.916704547234911e+18,mouselab-mdp,4
"[476, 1134, 1774]","[u'up', u'up', u'right']",train_hidden,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, -5]","[472, 134, 125]",-5.0,"[None, None, None]","[u'', 5, -5, -5, -5, -10, 5, 5, -10, 10, 10, 10, 10]",114516,14.0,3102.0,6.349377679140465e+18,mouselab-mdp,4
"[27449, 28029, 28887]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'6', u'8', u'7', u'3', u'1', u'2', u'4', u'9', u'10', u'11', u'12'], u'time': [12180, 12987, 13510, 14557, 19064, 19868, 20416, 20948, 21690, 22409, 22923, 25135]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -5, 10]","[27446, 70, 343]",10.0,"[None, None, None]","[u'', 10, -5, 5, -5, -5, -5, -5, -5, 5, -5, 10, 5]",148259,15.0,30540.0,1.3034732393768448e+18,mouselab-mdp,4
"[5461, 6096, 6938]","[u'up', u'up', u'left']",train_inspector,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'1', u'3', u'4'], u'time': [1184, 1751, 2687, 3330]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[5457, 111, 318]",20.0,"[None, None, None]","[u'', 5, 5, -5, 10, 5, -10, -5, 10, 10, 5, 5, 5]",158058,16.0,8604.0,5.627389738084794e+17,mouselab-mdp,4
"[5501, 6171, 6803]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'12', u'11'], u'time': [644, 1564, 2493, 3214, 4033]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[5500, 152, 119]",15.0,"[None, None, None]","[u'', 10, -10, 5, 5, 5, 5, -5, 5, 10, -5, 10, -10]",167927,17.0,8760.0,-6.577176273229301e+18,mouselab-mdp,4
"[5838, 6503, 7187]","[u'up', u'up', u'left']",train_inspector,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'8', u'1'], u'time': [939, 1819, 3442, 4199]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[5836, 141, 153]",30.0,"[None, None, None]","[u'', 10, 10, 10, 10, -10, -10, -10, 5, 10, 10, 5, 5]",178023,18.0,8955.0,1.1933479039128937e+18,mouselab-mdp,4
"[10271, 10852, 11379]","[u'up', u'up', u'right']",train_inspector,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'11', u'4', u'3', u'7', u'8', u'5', u'1', u'2', u'6'], u'time': [907, 1561, 2227, 2810, 3538, 4310, 5952, 6654, 7616, 8342]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, 5, 10]","[10267, 71, 14]",5.0,"[None, None, None]","[u'', -10, 5, 10, 10, -10, -5, 5, 10, -10, -10, -10, -5]",192214,19.0,13055.0,8.607347987074356e+18,mouselab-mdp,4
"[17208, 17817, 18434]","[u'up', u'up', u'right']",train_inspect_cost,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'8', u'7', u'3', u'4'], u'time': [5449, 9142, 9994, 12612, 13728, 14713, 15548]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[17206, 93, 93]",18.0,"[None, None, None]","[u'', 10, 5, 10, 5, 10, -5, 5, -10, -5, -10, -5, -10]",217863,20.0,22342.0,-8.861839220469794e+18,mouselab-mdp,4
"[15405, 15968, 16572]","[u'up', u'up', u'left']",train_inspect_cost,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1', u'12', u'11', u'10', u'7', u'8', u'3', u'4'], u'time': [2588, 3474, 4162, 6039, 6828, 8162, 9867, 10654, 11350, 11867]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[15402, 51, 87]",10.0,"[None, None, None]","[u'', 5, 5, -5, 10, -5, -10, 10, 5, 10, 10, -10, -10]",237128,21.0,18143.0,5.938094249628056e+18,mouselab-mdp,4
"[8746, 9884, 11129]","[u'left', u'left', u'up']",train_inspect_cost,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'11', u'12', u'8', u'7'], u'time': [1552, 2072, 2743, 4137, 4931, 5916, 6611]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[8741, 615, 726]",8.0,"[None, None, None]","[u'', -10, -5, -10, 5, 10, 5, 10, -5, 10, -5, 10, 5]",250862,22.0,12602.0,-8.549120811661888e+17,mouselab-mdp,4
"[7902, 9124, 9956]","[u'right', u'right', u'down']",train_inspect_cost,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'8', u'9', u'5', u'1'], u'time': [685, 1785, 3284, 4128, 5582]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[7898, 701, 319]",15.0,"[None, None, None]","[u'', -5, 10, -5, 10, 5, 5, -10, 10, -5, 5, -5, -10]",263392,23.0,11375.0,-1.6198589960716582e+18,mouselab-mdp,4
"[6781, 7499, 8212]","[u'left', u'left', u'down']",train_inspect_cost,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'1', u'12', u'11'], u'time': [1534, 2118, 3336, 4795, 5445]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 5]","[6779, 200, 211]",-5.0,"[None, None, None]","[u'', -5, -10, -10, 5, -10, -5, -5, -10, 5, -10, 5, 5]",274870,24.0,10382.0,7.710656893126775e+18,mouselab-mdp,4
"[27634, 28279, 28869]","[u'left', u'left', u'down']",train_final,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'7', u'8', u'12', u'11'], u'time': [21966, 22926, 23683, 24426, 25268, 25970]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, 10, 10]","[27632, 123, 67]",4.0,"[None, None, None]","[u'', -5, 10, 5, -10, -10, 5, -10, -10, -10, 10, 5, 10]",308554,25.0,30467.0,-2.935497867899124e+18,mouselab-mdp,4
"[8348, 8941, 9502]","[u'up', u'up', u'right']",train_final,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1', u'10', u'6', u'2'], u'time': [1622, 2157, 2711, 4665, 5234, 5845]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, -10]","[8344, 73, 48]",-16.0,"[None, None, None]","[u'', -5, 5, -10, -5, -10, -10, -10, -5, -5, 5, -5, 5]",321015,26.0,11303.0,-8.315324230000916e+18,mouselab-mdp,4
