action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,208792,,,208792,,,instructions,"[{""page_index"":0,""viewing_time"":74633},{""page_index"":1,""viewing_time"":63231},{""page_index"":0,""viewing_time"":266},{""page_index"":1,""viewing_time"":750},{""page_index"":0,""viewing_time"":19571},{""page_index"":1,""viewing_time"":4756},{""page_index"":2,""viewing_time"":21231},{""page_index"":3,""viewing_time"":24353}]",16
,,,,,,,,,138396,,,138400,,,instructions,"[{""page_index"":0,""viewing_time"":55159},{""page_index"":1,""viewing_time"":57963},{""page_index"":2,""viewing_time"":25267}]",17
,,,,,,,,,30422,,,203576,,,instructions,"[{""page_index"":0,""viewing_time"":17778},{""page_index"":1,""viewing_time"":4906},{""page_index"":2,""viewing_time"":7733}]",17
,,,,,,,,,12499,,,245855,,,instructions,"[{""page_index"":0,""viewing_time"":9195},{""page_index"":1,""viewing_time"":1509},{""page_index"":2,""viewing_time"":1791}]",17
,,,,,,,,,72773,,,348274,,,instructions,"[{""page_index"":0,""viewing_time"":39488},{""page_index"":1,""viewing_time"":21251},{""page_index"":2,""viewing_time"":12028}]",17
,,,,,,,,,69914,,,69915,,,instructions,"[{""page_index"":0,""viewing_time"":27060},{""page_index"":1,""viewing_time"":15114},{""page_index"":2,""viewing_time"":27740}]",18
,,,,,,,,,102438,,,201855,,,instructions,"[{""page_index"":0,""viewing_time"":43167},{""page_index"":1,""viewing_time"":46626},{""page_index"":2,""viewing_time"":12644}]",18
,,,,,,,,,3432,,,335525,,,instructions,"[{""page_index"":0,""viewing_time"":1894},{""page_index"":1,""viewing_time"":915},{""page_index"":2,""viewing_time"":622}]",18
,,,,,,,,,71833,,,71837,,,instructions,"[{""page_index"":0,""viewing_time"":33970},{""page_index"":1,""viewing_time"":26230},{""page_index"":2,""viewing_time"":11627}]",19
,,,,,,,,,153208,,,153211,,,instructions,"[{""page_index"":0,""viewing_time"":60487},{""page_index"":1,""viewing_time"":117},{""page_index"":2,""viewing_time"":1385},{""page_index"":1,""viewing_time"":639},{""page_index"":0,""viewing_time"":734},{""page_index"":1,""viewing_time"":63115},{""page_index"":2,""viewing_time"":26730}]",20
,,,,,,,,,87690,,,87694,,,instructions,"[{""page_index"":0,""viewing_time"":30239},{""page_index"":1,""viewing_time"":36479},{""page_index"":2,""viewing_time"":20970}]",21
,,,,,,,,,1112072,,,1112088,,,instructions,"[{""page_index"":0,""viewing_time"":1080410},{""page_index"":1,""viewing_time"":23425},{""page_index"":2,""viewing_time"":8237}]",22
,,,,,,,,,23906,,,1159537,,,instructions,"[{""page_index"":0,""viewing_time"":7405},{""page_index"":1,""viewing_time"":6080},{""page_index"":2,""viewing_time"":10420}]",22
,,,,,,,,,150143,,,150144,,,instructions,"[{""page_index"":0,""viewing_time"":67452},{""page_index"":1,""viewing_time"":22726},{""page_index"":2,""viewing_time"":28032},{""page_index"":3,""viewing_time"":31931}]",23
,,,,,,,,,261324,,,452436,,,instructions,"[{""page_index"":0,""viewing_time"":25819},{""page_index"":1,""viewing_time"":35569},{""page_index"":2,""viewing_time"":162523},{""page_index"":3,""viewing_time"":37411}]",23
,,,,,,,,,161078,,,161078,,,instructions,"[{""page_index"":0,""viewing_time"":48705},{""page_index"":1,""viewing_time"":74543},{""page_index"":2,""viewing_time"":37821}]",24
,,,,,,,,,169581,,,169583,,,instructions,"[{""page_index"":0,""viewing_time"":79474},{""page_index"":1,""viewing_time"":57137},{""page_index"":2,""viewing_time"":32968}]",25
,,,,,,,,,64615,,,278039,,,instructions,"[{""page_index"":0,""viewing_time"":13338},{""page_index"":1,""viewing_time"":19279},{""page_index"":2,""viewing_time"":31996}]",25
,,,,,,,,,5007,,,320074,,,instructions,"[{""page_index"":0,""viewing_time"":2509},{""page_index"":1,""viewing_time"":1387},{""page_index"":2,""viewing_time"":1109}]",25
,,,,,,,,,107842,,,107844,,,instructions,"[{""page_index"":0,""viewing_time"":34909},{""page_index"":1,""viewing_time"":24311},{""page_index"":2,""viewing_time"":23771},{""page_index"":3,""viewing_time"":24850}]",26
,,,,,,,,,29041,,,167555,,,instructions,"[{""page_index"":0,""viewing_time"":7296},{""page_index"":1,""viewing_time"":8454},{""page_index"":2,""viewing_time"":12304},{""page_index"":3,""viewing_time"":986}]",26
,,,,,,,,,180341,,,180342,,,instructions,"[{""page_index"":0,""viewing_time"":54034},{""page_index"":1,""viewing_time"":32790},{""page_index"":0,""viewing_time"":2055},{""page_index"":1,""viewing_time"":36254},{""page_index"":2,""viewing_time"":32104},{""page_index"":3,""viewing_time"":23103}]",27
,,,,,,,,,84685,,,84689,,,instructions,"[{""page_index"":0,""viewing_time"":21530},{""page_index"":1,""viewing_time"":9517},{""page_index"":2,""viewing_time"":45879},{""page_index"":3,""viewing_time"":7755}]",28
