PR_type,bonus,completed,condition,feedback,info_cost,message,pid,version
fullObservation,0.0,True,2,True,1.6,full,0,0.3
none,1.2400000000000002,True,0,False,1.6,none,1,0.3
none,1.9000000000000001,True,0,False,1.6,none,2,0.3
fullObservation,0.0,True,2,True,1.6,full,3,0.3
featureBased,1.5,True,1,True,1.6,full,4,0.3
featureBased,0.24,True,1,True,1.6,full,5,0.3
fullObservation,0.4,True,2,True,1.6,full,6,0.3
featureBased,0.0,False,1,True,1.6,full,7,0.3
fullObservation,0.0,True,2,True,1.6,full,8,0.3
fullObservation,0.47000000000000003,True,2,True,1.6,full,9,0.3
fullObservation,0.48,True,2,True,1.6,full,10,0.3
featureBased,1.74,True,1,True,1.6,full,11,0.3
featureBased,2.14,True,1,True,1.6,full,12,0.3
featureBased,1.4100000000000001,True,1,True,1.6,full,13,0.3
fullObservation,0.6400000000000001,True,2,True,1.6,full,14,0.3
none,0.7000000000000001,True,0,False,1.6,none,15,0.3
none,0.7000000000000001,True,0,False,1.6,none,16,0.3
fullObservation,0.0,False,2,True,1.6,full,17,0.3
featureBased,1.5,True,1,True,1.6,full,18,0.3
fullObservation,1.55,True,2,True,1.6,full,19,0.3
fullObservation,1.54,True,2,True,1.6,full,20,0.3
none,1.5300000000000002,True,0,False,1.6,none,21,0.3
fullObservation,0.0,True,2,True,1.6,full,22,0.3
none,1.06,True,0,False,1.6,none,23,0.3
fullObservation,0.24,True,2,True,1.6,full,24,0.3
fullObservation,0.0,False,2,True,1.6,full,25,0.3
fullObservation,1.34,True,2,True,1.6,full,26,0.3
fullObservation,1.62,True,2,True,1.6,full,27,0.3
none,0.0,True,0,False,1.6,none,28,0.3
none,0.18000000000000002,True,0,False,1.6,none,29,0.3
none,1.62,True,0,False,1.6,none,30,0.3
none,1.06,True,0,False,1.6,none,31,0.3
none,1.1,True,0,False,1.6,none,32,0.3
none,0.8900000000000001,True,0,False,1.6,none,33,0.3
none,1.04,True,0,False,1.6,none,34,0.3
featureBased,0.8800000000000001,True,1,True,1.6,full,35,0.3
featureBased,0.58,True,1,True,1.6,full,36,0.3
featureBased,1.1400000000000001,True,1,True,1.6,full,37,0.3
none,0.0,False,0,False,1.6,none,38,0.3
featureBased,1.2300000000000002,True,1,True,1.6,full,39,0.3
none,0.0,True,0,False,1.6,none,40,0.3
none,0.30000000000000004,True,0,False,1.6,none,41,0.3
none,0.04000000000000001,True,0,False,1.6,none,42,0.3
none,0.0,True,0,False,1.6,none,43,0.3
fullObservation,0.0,False,2,True,1.6,full,44,0.3
fullObservation,1.9000000000000001,True,2,True,1.6,full,45,0.3
fullObservation,0.96,True,2,True,1.6,full,46,0.3
fullObservation,0.0,False,2,True,1.6,full,47,0.3
fullObservation,0.9300000000000002,True,2,True,1.6,full,48,0.3
fullObservation,0.7000000000000001,True,2,True,1.6,full,49,0.3
fullObservation,1.54,True,2,True,1.6,full,50,0.3
fullObservation,0.8500000000000001,True,2,True,1.6,full,51,0.3
featureBased,2.06,True,1,True,1.6,full,52,0.3
featureBased,0.7400000000000001,True,1,True,1.6,full,53,0.3
none,0.0,True,0,False,1.6,none,54,0.3
featureBased,0.22000000000000003,True,1,True,1.6,full,55,0.3
featureBased,0.0,False,1,True,1.6,full,56,0.3
none,1.54,True,0,False,1.6,none,57,0.3
none,0.0,True,0,False,1.6,none,58,0.3
none,0.0,False,0,False,1.6,none,59,0.3
featureBased,0.0,False,1,True,1.6,full,60,0.3
featureBased,1.2800000000000002,True,1,True,1.6,full,61,0.3
featureBased,0.81,True,1,True,1.6,full,62,0.3
fullObservation,1.16,True,2,True,1.6,full,63,0.3
none,0.2,True,0,False,1.6,none,64,0.3
fullObservation,0.30000000000000004,True,2,True,1.6,full,65,0.3
featureBased,0.6200000000000001,True,1,True,1.6,full,66,0.3
fullObservation,0.0,False,2,True,1.6,full,67,0.3
none,0.24,True,0,False,1.6,none,68,0.3
none,0.32000000000000006,True,0,False,1.6,none,69,0.3
featureBased,0.0,True,1,True,1.6,full,70,0.3
fullObservation,0.96,True,2,True,1.6,full,71,0.3
featureBased,0.16000000000000003,True,1,True,1.6,full,72,0.3
featureBased,0.45999999999999996,True,1,True,1.6,full,73,0.3
none,0.0,False,0,False,1.6,none,74,0.3
none,0.010000000000000002,True,0,False,1.6,none,75,0.3
fullObservation,1.36,True,2,True,1.6,full,76,0.3
none,0.13999999999999999,True,0,False,1.6,none,77,0.3
featureBased,0.0,True,1,True,1.6,full,78,0.3
featureBased,0.0,False,1,True,1.6,full,79,0.3
fullObservation,0.0,True,2,True,1.6,full,80,0.3
featureBased,0.51,True,1,True,1.6,full,81,0.3
fullObservation,0.6200000000000001,True,2,True,1.6,full,82,0.3
none,0.0,True,0,False,1.6,none,83,0.3
featureBased,0.0,True,1,True,1.6,full,84,0.3
featureBased,0.0,False,1,True,1.6,full,85,0.3
featureBased,0.7400000000000001,True,1,True,1.6,full,86,0.3
featureBased,0.79,True,1,True,1.6,full,87,0.3
featureBased,0.0,True,1,True,1.6,full,88,0.3
none,0.8,True,0,False,1.6,none,89,0.3
none,1.9000000000000001,True,0,False,1.6,none,90,0.3
featureBased,1.06,True,1,True,1.6,full,91,0.3
none,0.4,True,0,False,1.6,none,92,0.3
fullObservation,0.0,False,2,True,1.6,full,93,0.3
none,0.0,False,0,False,1.6,none,94,0.3
