action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[69042, 101432, 106256]","[u'up', u'up', u'left']",,,"[21, 0, 0]","[False, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'6', u'2', u'5', u'9', u'4', u'3', u'8', u'14', u'10', u'13', u'17', u'16', u'11', u'15', u'12'], u'time': [13143, 16730, 23382, 34541, 36644, 38866, 40040, 45253, 46960, 50096, 52662, 54340, 55263, 56693, 58779, 60559]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[69042, 7086, 4316]",-26.0,,423581,1.0,11.0,mouselab-mdp,,0
"[3211, 34740, 36259]","[u'right', u'right', u'down']",,,"[26, 0, 7]","[True, True, True]","[u'1', 2, 6, 11]","[True, False, True]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3211, 3487, 635]",-10.0,,508650,2.0,0.0,mouselab-mdp,,0
"[10501, 79788, 86091]","[u'down', u'down', u'right']",,,"[13, 3, 0]","[True, True, True]","[u'1', 5, 9, 17]","[True, False, False]","[False, True, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'11', u'14', u'17', u'16', u'9'], u'time': [1611, 3480, 5118, 7156, 35361, 36656]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10501, 53387, 2167]",-5.0,,598849,3.0,1.0,mouselab-mdp,,0
"[13029, 24092, 31684]","[u'left', u'left', u'down']",,,"[7, 0, 0]","[True, True, True]","[u'1', 4, 8, 15]","[True, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'15', u'14'], u'time': [2286, 4008, 6884, 9623]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13029, 1569, 6818]",21.0,,657593,4.0,14.0,mouselab-mdp,,0
"[13387, 17586, 23114]","[u'right', u'right', u'down']",,,"[0, 0, 0]","[True, True, True]","[u'1', 2, 6, 11]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'2', u'6', u'11', u'10'], u'time': [2758, 4613, 6715, 8075, 9338, 21145]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13386, 1130, 4612]",52.0,,709120,5.0,8.0,mouselab-mdp,,0
"[9576, 13071, 15055]","[u'up', u'up', u'left']",,,"[0, 0, 0]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12'], u'time': [1778, 3255, 4333, 7159]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9576, 914, 1203]",48.0,,759032,6.0,12.0,mouselab-mdp,,0
"[18809, 22736, 24464]","[u'up', u'up', u'left']",,,"[0, 0, 0]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'5', u'9', u'16', u'17', u'3', u'7', u'13', u'12'], u'time': [2988, 5829, 7295, 8395, 9476, 10325, 13818, 15202, 16232, 17017]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18809, 520, 1031]",37.0,,810119,7.0,5.0,mouselab-mdp,,0
"[7404, 10404, 12460]","[u'right', u'right', u'up']",,,"[0, 0, 0]","[True, True, True]","[u'1', 2, 6, 10]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10'], u'time': [1721, 2976, 3977, 5026]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7404, 405, 1272]",49.0,,861455,8.0,10.0,mouselab-mdp,,0
"[6724, 9326, 10668]","[u'up', u'up', u'right']",,,"[0, 0, 0]","[True, True, True]","[u'1', 3, 7, 13]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13'], u'time': [1666, 2929, 4066, 4821]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6724, 1, 530]",51.0,,910342,9.0,4.0,mouselab-mdp,,0
"[11335, 15030, 16783]","[u'up', u'up', u'left']",,,"[0, 0, 0]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'15', u'3', u'7', u'12'], u'time': [2316, 3459, 4437, 6949, 8279, 9573]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11335, 531, 872]",43.0,,962325,10.0,15.0,mouselab-mdp,,0
