action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[4917, 5591]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'6', u'5'], u'time': [1476, 2697, 3808]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[9, 7]","[4914, 170]",13.0,"[None, None]",,440389,40.0,23844424.0,mouselab-mdp,6
"[8027, 8671]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'6'], u'time': [3215, 5557]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 7]","[8024, 137]",12.0,"[None, None]",,451261,41.0,64055861.0,mouselab-mdp,6
"[6820, 7444]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'6', u'2', u'5', u'3'], u'time': [516, 1613, 2644, 3500, 4194, 4884]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[4, 2]","[6817, 109]",0.0,"[None, None]",,460839,42.0,12263236.0,mouselab-mdp,6
"[7128, 7800]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'6', u'5', u'2', u'3'], u'time': [872, 1544, 2599, 4088, 4871, 5439]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, -1]","[7126, 159]",-5.0,"[None, None]",,470829,43.0,50691247.0,mouselab-mdp,6
"[8155, 9107]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1'], u'time': [5027, 6443]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[4, 7]","[8153, 440]",9.0,"[None, None]",,482685,44.0,80349185.0,mouselab-mdp,6
"[5351, 5983]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'6', u'5'], u'time': [2039, 2783, 3599, 4188]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[4, 2]","[5348, 119]",2.0,"[None, None]",,490957,45.0,87180601.0,mouselab-mdp,6
"[4129, 4737]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'6', u'5'], u'time': [914, 1481, 2264, 2745]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[4126, 93]",0.0,"[None, None]",,497973,46.0,72579034.0,mouselab-mdp,6
"[4274, 4850]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'6'], u'time': [714, 1986, 2778]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[4, 7]","[4272, 62]",8.0,"[None, None]",,505117,47.0,50990879.0,mouselab-mdp,6
"[2619, 3233]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'6'], u'time': [582, 1453]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[4, 7]","[2615, 88]",9.0,"[None, None]",,510469,48.0,82543559.0,mouselab-mdp,6
"[3192, 3776]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'6', u'5'], u'time': [481, 1424, 2237]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[4, 7]","[3190, 63]",8.0,"[None, None]",,516405,49.0,49417938.0,mouselab-mdp,6
"[3249, 3857]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'5', u'6'], u'time': [481, 1413, 2105]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 4]","[3247, 85]",8.0,"[None, None]",,522181,50.0,17194749.0,mouselab-mdp,6
"[5873, 7113]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'2', u'3'], u'time': [449, 2809, 3929, 4553]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 2]","[5871, 723]",5.0,"[None, None]",,531597,51.0,44804656.0,mouselab-mdp,6
"[5589, 6148]","[u'down', u'right']",test,,,"[u'0', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'6', u'5'], u'time': [661, 1356, 2925, 4445]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 7]","[5586, 46]",5.0,"[None, None]",,539813,52.0,15995920.0,mouselab-mdp,6
"[7942, 8470]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'1', u'3', u'2', u'5', u'6'], u'time': [2198, 2949, 4294, 5262, 5958, 6621]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2]","[7930, 13]",-2.0,"[None, None]",,550296,53.0,40947937.0,mouselab-mdp,6
"[4489, 5057]","[u'up', u'left']",test,,,"[u'0', u'1', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'3', u'2'], u'time': [1473, 2400, 3073]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 2]","[4487, 46]",6.0,"[None, None]",,557581,54.0,61186104.0,mouselab-mdp,6
"[9310, 10006]","[u'down', u'left']",test,,,"[u'0', u'4', u'6']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'6'], u'time': [2102, 6366, 8080]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 7]","[9308, 164]",11.0,"[None, None]",,570277,55.0,95218744.0,mouselab-mdp,6
