PR_type,bonus,completed,condition,feedback,info_cost,message,pid,version
featureBased,1.8420000000000003,True,0,True,0.01,full,0,0.5
objectLevel,1.6920000000000002,True,3,True,0.01,full,1,0.5
objectLevel,0.0,True,4,True,1.6,full,2,0.5
objectLevel,0.30000000000000004,True,5,True,2.8,full,3,0.5
objectLevel,0.9,True,4,True,1.6,full,4,0.5
featureBased,0.9,True,2,True,2.8,full,5,0.5
objectLevel,2.092,True,3,True,0.01,full,6,0.5
objectLevel,0.05,True,4,True,1.6,full,7,0.5
objectLevel,1.8940000000000001,True,3,True,0.01,full,8,0.5
featureBased,0.0,False,1,True,1.6,full,9,0.5
featureBased,1.55,True,2,True,2.8,full,10,0.5
objectLevel,0.0,False,3,True,0.01,full,11,0.5
objectLevel,0.0,False,3,True,0.01,full,12,0.5
objectLevel,1.1500000000000001,True,3,True,0.01,full,13,0.5
featureBased,1.8600000000000003,True,2,True,2.8,full,14,0.5
featureBased,1.6920000000000002,True,0,True,0.01,full,15,0.5
featureBased,1.08,True,1,True,1.6,full,16,0.5
featureBased,0.05,True,2,True,2.8,full,17,0.5
objectLevel,0.0,False,4,True,1.6,full,18,0.5
featureBased,1.8800000000000001,True,2,True,2.8,full,19,0.5
featureBased,2.16,True,2,True,2.8,full,20,0.5
featureBased,0.0,True,2,True,2.8,full,21,0.5
objectLevel,1.845,True,3,True,0.01,full,22,0.5
featureBased,1.8920000000000003,True,0,True,0.01,full,23,0.5
featureBased,1.6975000000000002,True,0,True,0.01,full,24,0.5
objectLevel,1.4400000000000002,True,5,True,2.8,full,25,0.5
objectLevel,2.096,True,3,True,0.01,full,26,0.5
featureBased,0.0,False,2,True,2.8,full,27,0.5
objectLevel,1.3970000000000002,True,3,True,0.01,full,28,0.5
objectLevel,0.05,True,5,True,2.8,full,29,0.5
featureBased,0.8,True,1,True,1.6,full,30,0.5
featureBased,1.16,True,1,True,1.6,full,31,0.5
featureBased,2.0500000000000003,True,2,True,2.8,full,32,0.5
featureBased,0.0,False,2,True,2.8,full,33,0.5
featureBased,0.30000000000000004,True,1,True,1.6,full,34,0.5
objectLevel,0.0,False,3,True,0.01,full,35,0.5
featureBased,0.66,True,1,True,1.6,full,36,0.5
objectLevel,1.6920000000000002,True,3,True,0.01,full,37,0.5
featureBased,1.7000000000000002,True,1,True,1.6,full,38,0.5
featureBased,1.8600000000000003,True,1,True,1.6,full,39,0.5
objectLevel,0.0,True,3,True,0.01,full,40,0.5
objectLevel,1.1400000000000001,True,4,True,1.6,full,41,0.5
featureBased,0.0,False,0,True,0.01,full,42,0.5
featureBased,1.37,True,1,True,1.6,full,43,0.5
featureBased,0.2,True,2,True,2.8,full,44,0.5
objectLevel,0.0,True,4,True,1.6,full,45,0.5
featureBased,0.05,True,1,True,1.6,full,46,0.5
featureBased,1.8925,True,0,True,0.01,full,47,0.5
featureBased,0.0,False,1,True,1.6,full,48,0.5
objectLevel,0.0,False,5,True,2.8,full,49,0.5
featureBased,1.8925,True,0,True,0.01,full,50,0.5
objectLevel,0.0,False,3,True,0.01,full,51,0.5
objectLevel,0.5599999999999999,True,5,True,2.8,full,52,0.5
objectLevel,0.58,True,5,True,2.8,full,53,0.5
featureBased,1.1,True,1,True,1.6,full,54,0.5
objectLevel,0.9,True,5,True,2.8,full,55,0.5
featureBased,0.61,True,2,True,2.8,full,56,0.5
objectLevel,0.0,False,5,True,2.8,full,57,0.5
objectLevel,0.5,True,5,True,2.8,full,58,0.5
featureBased,1.6920000000000002,True,0,True,0.01,full,59,0.5
objectLevel,0.0,True,5,True,2.8,full,60,0.5
featureBased,2.0420000000000003,True,0,True,0.01,full,61,0.5
featureBased,1.845,True,0,True,0.01,full,62,0.5
featureBased,1.8920000000000003,True,0,True,0.01,full,63,0.5
featureBased,0.4,True,1,True,1.6,full,64,0.5
objectLevel,1.42,True,5,True,2.8,full,65,0.5
objectLevel,0.66,True,5,True,2.8,full,66,0.5
featureBased,1.97,True,1,True,1.6,full,67,0.5
objectLevel,0.15000000000000002,True,4,True,1.6,full,68,0.5
featureBased,2.0955,True,0,True,0.01,full,69,0.5
featureBased,0.396,True,0,True,0.01,full,70,0.5
featureBased,1.6920000000000002,True,0,True,0.01,full,71,0.5
objectLevel,1.6945000000000001,True,3,True,0.01,full,72,0.5
objectLevel,0.8,True,4,True,1.6,full,73,0.5
objectLevel,0.38,True,5,True,2.8,full,74,0.5
objectLevel,0.78,True,5,True,2.8,full,75,0.5
objectLevel,1.3800000000000001,True,4,True,1.6,full,76,0.5
objectLevel,0.4,True,5,True,2.8,full,77,0.5
objectLevel,0.5,True,3,True,0.01,full,78,0.5
objectLevel,0.0,False,5,True,2.8,full,79,0.5
featureBased,1.8800000000000001,True,2,True,2.8,full,80,0.5
objectLevel,0.0,False,3,True,0.01,full,81,0.5
featureBased,0.0,False,0,True,0.01,full,82,0.5
objectLevel,1.05,True,4,True,1.6,full,83,0.5
objectLevel,0.1,True,3,True,0.01,full,84,0.5
objectLevel,0.0,True,5,True,2.8,full,85,0.5
objectLevel,0.9,True,5,True,2.8,full,86,0.5
featureBased,1.8985,True,0,True,0.01,full,87,0.5
objectLevel,2.092,True,3,True,0.01,full,88,0.5
featureBased,1.46,True,1,True,1.6,full,89,0.5
featureBased,1.2000000000000002,True,1,True,1.6,full,90,0.5
featureBased,0.2,True,1,True,1.6,full,91,0.5
featureBased,1.6940000000000002,True,0,True,0.01,full,92,0.5
featureBased,0.0,False,1,True,1.6,full,93,0.5
featureBased,0.32000000000000006,True,1,True,1.6,full,94,0.5
featureBased,1.7000000000000002,True,2,True,2.8,full,95,0.5
objectLevel,0.76,True,5,True,2.8,full,96,0.5
featureBased,0.9800000000000001,True,2,True,2.8,full,97,0.5
objectLevel,0.6200000000000001,True,4,True,1.6,full,98,0.5
featureBased,1.8920000000000003,True,0,True,0.01,full,99,0.5
featureBased,0.8,True,0,True,0.01,full,100,0.5
objectLevel,0.497,True,3,True,0.01,full,101,0.5
objectLevel,0.8,True,5,True,2.8,full,102,0.5
featureBased,1.55,True,2,True,2.8,full,103,0.5
featureBased,1.6300000000000001,True,2,True,2.8,full,104,0.5
featureBased,0.0,True,2,True,2.8,full,105,0.5
featureBased,0.0,True,1,True,1.6,full,106,0.5
featureBased,0.9,True,2,True,2.8,full,107,0.5
objectLevel,0.0,True,5,True,2.8,full,108,0.5
objectLevel,0.75,True,4,True,1.6,full,109,0.5
objectLevel,0.58,True,5,True,2.8,full,110,0.5
objectLevel,1.8465,True,3,True,0.01,full,111,0.5
featureBased,0.51,True,1,True,1.6,full,112,0.5
objectLevel,0.5,True,5,True,2.8,full,113,0.5
featureBased,1.8920000000000003,True,0,True,0.01,full,114,0.5
featureBased,1.3800000000000001,True,1,True,1.6,full,115,0.5
objectLevel,1.62,True,4,True,1.6,full,116,0.5
featureBased,1.56,True,2,True,2.8,full,117,0.5
featureBased,0.0,True,2,True,2.8,full,118,0.5
objectLevel,1.5,True,4,True,1.6,full,119,0.5
featureBased,1.092,True,0,True,0.01,full,120,0.5
