action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,81063,,,81063,,,instructions,"[{""page_index"":0,""viewing_time"":46457},{""page_index"":1,""viewing_time"":13842},{""page_index"":2,""viewing_time"":13733},{""page_index"":3,""viewing_time"":7030}]",0
,,,,,,,,,38398,,,158265,,,instructions,"[{""page_index"":0,""viewing_time"":2335},{""page_index"":1,""viewing_time"":2293},{""page_index"":2,""viewing_time"":7224},{""page_index"":3,""viewing_time"":12527},{""page_index"":2,""viewing_time"":1324},{""page_index"":1,""viewing_time"":6366},{""page_index"":2,""viewing_time"":5357},{""page_index"":3,""viewing_time"":972}]",0
,,,,,,,,,119948,,,119949,,,instructions,"[{""page_index"":0,""viewing_time"":27986},{""page_index"":1,""viewing_time"":23711},{""page_index"":2,""viewing_time"":18881},{""page_index"":3,""viewing_time"":49369}]",1
,,,,,,,,,343718,,,343720,,,instructions,"[{""page_index"":0,""viewing_time"":189663},{""page_index"":1,""viewing_time"":57098},{""page_index"":2,""viewing_time"":47260},{""page_index"":3,""viewing_time"":49696}]",2
,,,,,,,,,24458,,,521287,,,instructions,"[{""page_index"":0,""viewing_time"":5550},{""page_index"":1,""viewing_time"":596},{""page_index"":0,""viewing_time"":3480},{""page_index"":1,""viewing_time"":1174},{""page_index"":2,""viewing_time"":652},{""page_index"":3,""viewing_time"":13006}]",2
,,,,,,,,,29510,,,633975,,,instructions,"[{""page_index"":0,""viewing_time"":23352},{""page_index"":1,""viewing_time"":1384},{""page_index"":2,""viewing_time"":812},{""page_index"":3,""viewing_time"":3961}]",2
,,,,,,,,,8504,,,716136,,,instructions,"[{""page_index"":0,""viewing_time"":3731},{""page_index"":1,""viewing_time"":973},{""page_index"":2,""viewing_time"":601},{""page_index"":3,""viewing_time"":3199}]",2
,,,,,,,,,24858,,,792373,,,instructions,"[{""page_index"":0,""viewing_time"":4333},{""page_index"":1,""viewing_time"":6408},{""page_index"":2,""viewing_time"":5534},{""page_index"":3,""viewing_time"":8583}]",2
,,,,,,,,,11236,,,909836,,,instructions,"[{""page_index"":0,""viewing_time"":3494},{""page_index"":1,""viewing_time"":441},{""page_index"":0,""viewing_time"":2908},{""page_index"":1,""viewing_time"":913},{""page_index"":2,""viewing_time"":511},{""page_index"":3,""viewing_time"":2968}]",2
,,,,,,,,,119519,,,119530,,,instructions,"[{""page_index"":0,""viewing_time"":30183},{""page_index"":1,""viewing_time"":44001},{""page_index"":2,""viewing_time"":18024},{""page_index"":3,""viewing_time"":27311}]",3
,,,,,,,,,191394,,,191398,,,instructions,"[{""page_index"":0,""viewing_time"":70032},{""page_index"":1,""viewing_time"":59321},{""page_index"":2,""viewing_time"":26756},{""page_index"":3,""viewing_time"":35284}]",4
,,,,,,,,,151861,,,405434,,,instructions,"[{""page_index"":0,""viewing_time"":69335},{""page_index"":1,""viewing_time"":28167},{""page_index"":2,""viewing_time"":16012},{""page_index"":3,""viewing_time"":38346}]",4
,,,,,,,,,103237,,,103239,,,instructions,"[{""page_index"":0,""viewing_time"":17125},{""page_index"":1,""viewing_time"":1533},{""page_index"":0,""viewing_time"":5443},{""page_index"":1,""viewing_time"":33133},{""page_index"":2,""viewing_time"":33758},{""page_index"":3,""viewing_time"":12244}]",5
,,,,,,,,,275333,,,275336,,,instructions,"[{""page_index"":0,""viewing_time"":137699},{""page_index"":1,""viewing_time"":57473},{""page_index"":2,""viewing_time"":38493},{""page_index"":3,""viewing_time"":41665}]",6
,,,,,,,,,57502,,,57503,,,instructions,"[{""page_index"":0,""viewing_time"":18839},{""page_index"":1,""viewing_time"":12574},{""page_index"":2,""viewing_time"":15029},{""page_index"":3,""viewing_time"":11059}]",7
,,,,,,,,,35248,,,136962,,,instructions,"[{""page_index"":0,""viewing_time"":11498},{""page_index"":1,""viewing_time"":10574},{""page_index"":2,""viewing_time"":7751},{""page_index"":3,""viewing_time"":5424}]",7
,,,,,,,,,110115,,,110117,,,instructions,"[{""page_index"":0,""viewing_time"":45469},{""page_index"":1,""viewing_time"":26530},{""page_index"":2,""viewing_time"":21217},{""page_index"":3,""viewing_time"":16897}]",8
