PR_type,bonus,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,start_time,version
none,0.6,True,1,False,after_each_move,1,simple,66,2017-07-07T19:34:41.914Z,1B.0
none,1.35,True,0,False,after_each_move,1,full,67,2017-07-07T19:34:07.220Z,1B.0
featureBased,0.0,True,3,True,after_each_move,1,simple,68,2017-07-07T18:50:22.450Z,1B.0
featureBased,0.0,False,2,True,after_each_move,1,full,69,2017-07-07T19:48:43.755Z,1B.0
none,0.0,False,0,False,after_each_move,1,full,70,2017-07-07T19:59:37.582Z,1B.0
none,2.15,True,1,False,after_each_move,1,simple,71,2017-07-07T19:08:12.175Z,1B.0
featureBased,0.0,True,3,True,after_each_move,1,simple,72,2017-07-07T19:01:48.410Z,1B.0
none,0.0,False,1,False,after_each_move,1,simple,73,2017-07-07T18:50:05.967Z,1B.0
none,0.2,True,1,False,after_each_move,1,simple,74,2017-07-07T20:41:59.609Z,1B.0
none,0.0,True,0,False,after_each_move,1,full,75,2017-07-07T19:30:45.645Z,1B.0
none,0.0,True,1,False,after_each_move,1,simple,76,2017-07-07T19:15:57.128Z,1B.0
none,1.55,True,0,False,after_each_move,1,full,77,2017-07-07T19:39:19.914Z,1B.0
none,1.5,True,0,False,after_each_move,1,full,78,2017-07-07T18:54:56.786Z,1B.0
featureBased,1.35,True,2,True,after_each_move,1,full,79,2017-07-07T19:47:26.506Z,1B.0
none,1.3,True,0,False,after_each_move,1,full,80,2017-07-07T19:31:51.629Z,1B.0
none,0.0,False,1,False,after_each_move,1,simple,81,2017-07-07T19:57:51.576Z,1B.0
none,2.65,True,0,False,after_each_move,1,full,82,2017-07-07T18:55:34.234Z,1B.0
none,1.75,True,1,False,after_each_move,1,simple,83,2017-07-07T19:32:33.106Z,1B.0
featureBased,1.15,True,3,True,after_each_move,1,simple,84,2017-07-07T17:42:36.314Z,1B.0
featureBased,1.55,True,3,True,after_each_move,1,simple,85,2017-07-07T19:28:38.511Z,1B.0
none,0.0,True,0,False,after_each_move,1,full,86,2017-07-07T19:06:01.118Z,1B.0
featureBased,2.35,True,2,True,after_each_move,1,full,87,2017-07-07T19:40:56.612Z,1B.0
featureBased,0.0,False,3,True,after_each_move,1,simple,88,2017-07-07T18:29:32.684Z,1B.0
none,1.35,True,1,False,after_each_move,1,simple,89,2017-07-07T18:51:34.957Z,1B.0
none,1.95,True,0,False,after_each_move,1,full,90,2017-07-07T18:58:39.558Z,1B.0
none,1.35,True,1,False,after_each_move,1,simple,91,2017-07-07T19:29:19.800Z,1B.0
none,1.5,True,0,False,after_each_move,1,full,92,2017-07-07T19:22:00.558Z,1B.0
none,1.35,True,1,False,after_each_move,1,simple,93,2017-07-07T18:47:04.623Z,1B.0
none,0.65,True,1,False,after_each_move,1,simple,94,2017-07-07T18:40:13.784Z,1B.0
none,0.0,False,1,False,after_each_move,1,simple,95,2017-07-07T19:40:00.317Z,1B.0
featureBased,0.0,True,3,True,after_each_move,1,simple,96,2017-07-07T18:47:27.158Z,1B.0
none,1.65,True,1,False,after_each_move,1,simple,97,2017-07-07T17:44:30.882Z,1B.0
featureBased,1.15,True,3,True,after_each_move,1,simple,98,2017-07-07T19:37:40.742Z,1B.0
featureBased,2.65,True,3,True,after_each_move,1,simple,99,2017-07-07T19:23:20.355Z,1B.0
featureBased,0.0,False,2,True,after_each_move,1,full,100,2017-07-07T18:57:57.368Z,1B.0
none,0.0,False,0,False,after_each_move,1,full,101,2017-07-07T18:59:34.775Z,1B.0
none,1.8,True,0,False,after_each_move,1,full,102,2017-07-07T18:23:47.215Z,1B.0
none,2.0,True,1,False,after_each_move,1,simple,103,2017-07-07T18:51:43.210Z,1B.0
featureBased,0.4,True,3,True,after_each_move,1,simple,104,2017-07-07T18:51:26.560Z,1B.0
featureBased,2.0,True,2,True,after_each_move,1,full,105,2017-07-07T18:53:03.753Z,1B.0
none,0.0,False,1,False,after_each_move,1,simple,106,2017-07-07T19:21:53.157Z,1B.0
featureBased,1.7,True,3,True,after_each_move,1,simple,107,2017-07-07T19:01:06.194Z,1B.0
featureBased,0.0,False,3,True,after_each_move,1,simple,108,2017-07-07T19:41:50.404Z,1B.0
featureBased,0.65,True,3,True,after_each_move,1,simple,109,2017-07-07T19:34:09.203Z,1B.0
none,0.25,True,0,False,after_each_move,1,full,110,2017-07-07T19:37:26.299Z,1B.0
none,0.5,True,1,False,after_each_move,1,simple,111,2017-07-07T19:42:48.952Z,1B.0
none,1.5,True,0,False,after_each_move,1,full,112,2017-07-07T18:33:01.252Z,1B.0
featureBased,1.6,True,3,True,after_each_move,1,simple,113,2017-07-07T18:21:58.087Z,1B.0
none,0.0,True,1,False,after_each_move,1,simple,114,2017-07-07T19:37:32.618Z,1B.0
none,0.95,True,0,False,after_each_move,1,full,115,2017-07-07T19:44:15.737Z,1B.0
none,1.8,True,1,False,after_each_move,1,simple,116,2017-07-07T19:03:46.939Z,1B.0
featureBased,1.35,True,2,True,after_each_move,1,full,117,2017-07-07T17:38:33.369Z,1B.0
none,1.25,True,1,False,after_each_move,1,simple,118,2017-07-07T18:52:32.330Z,1B.0
none,1.55,True,1,False,after_each_move,1,simple,119,2017-07-07T18:56:22.103Z,1B.0
none,0.0,False,0,False,after_each_move,1,full,120,2017-07-07T19:51:04.300Z,1B.0
none,1.25,True,1,False,after_each_move,1,simple,121,2017-07-07T19:35:32.773Z,1B.0
featureBased,0.0,True,3,True,after_each_move,1,simple,122,2017-07-07T19:14:40.986Z,1B.0
none,2.55,True,1,False,after_each_move,1,simple,123,2017-07-07T18:55:37.587Z,1B.0
none,1.45,True,0,False,after_each_move,1,full,124,2017-07-07T19:42:39.926Z,1B.0
none,1.05,True,1,False,after_each_move,1,simple,125,2017-07-07T19:30:28.968Z,1B.0
none,2.5,True,0,False,after_each_move,1,full,126,2017-07-07T18:51:57.006Z,1B.0
none,0.4,True,1,False,after_each_move,1,simple,127,2017-07-07T19:40:25.664Z,1B.0
none,0.0,False,1,False,after_each_move,1,simple,128,2017-07-07T19:53:53.175Z,1B.0
none,0.55,True,1,False,after_each_move,1,simple,129,2017-07-07T19:43:13.635Z,1B.0
none,1.55,True,1,False,after_each_move,1,simple,130,2017-07-07T19:26:54.923Z,1B.0
none,2.2,True,1,False,after_each_move,1,simple,131,2017-07-07T19:00:38.940Z,1B.0
featureBased,0.0,False,2,True,after_each_move,1,full,132,2017-07-07T19:32:52.686Z,1B.0
none,1.55,True,1,False,after_each_move,1,simple,133,2017-07-07T19:02:53.963Z,1B.0
featureBased,2.55,True,3,True,after_each_move,1,simple,134,2017-07-07T19:34:46.723Z,1B.0
none,1.7,True,0,False,after_each_move,1,full,135,2017-07-07T19:37:30.827Z,1B.0
featureBased,2.35,True,2,True,after_each_move,1,full,136,2017-07-07T19:35:16.896Z,1B.0
none,1.55,True,1,False,after_each_move,1,simple,137,2017-07-07T19:08:39.211Z,1B.0
none,2.3,True,0,False,after_each_move,1,full,138,2017-07-07T19:37:07.974Z,1B.0
none,0.7,True,1,False,after_each_move,1,simple,139,2017-07-07T19:43:36.748Z,1B.0
featureBased,0.0,False,3,True,after_each_move,1,simple,140,2017-07-07T18:54:36.868Z,1B.0
none,2.1,True,0,False,after_each_move,1,full,141,2017-07-07T20:46:57.054Z,1B.0
none,1.8,True,1,False,after_each_move,1,simple,142,2017-07-07T18:58:12.842Z,1B.0
