bonus,bonusRate,branching,completed,inspectCost,pid,startTime,variance,version
0.14,0.002,312,True,1,52,Wed Jan 31 2018 07:49:57 GMT+0800 (Malay Peninsula Standard Time),24_4_2,c2.1
2.71,0.002,312,True,1,53,Tue Jan 30 2018 19:57:50 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
0.67,0.002,312,True,1,54,Tue Jan 30 2018 19:54:02 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
1.6,0.002,312,True,1,55,Tue Jan 30 2018 17:51:04 GMT-0700 (Mountain Standard Time),24_4_2,c2.1
2.33,0.002,312,True,1,56,Tue Jan 30 2018 15:17:31 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
2.65,0.002,312,True,1,57,Tue Jan 30 2018 19:54:41 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
2.62,0.002,312,True,1,58,Tue Jan 30 2018 19:52:54 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
2.8,0.002,312,True,1,59,Tue Jan 30 2018 19:55:39 GMT-0500 (EST),2_4_24,c2.1
1.6,0.002,312,True,1,60,Tue Jan 30 2018 17:49:48 GMT-0500 (EST),24_4_2,c2.1
2.69,0.002,312,True,1,61,Tue Jan 30 2018 18:51:46 GMT-0600 (Central Standard Time),2_4_24,c2.1
2.2,0.002,312,True,1,62,Tue Jan 30 2018 15:10:32 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
2.4,0.002,312,True,1,63,Tue Jan 30 2018 18:43:27 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
0.0,0.002,312,False,1,64,Wed Jan 31 2018 02:18:36 GMT+0530 (India Standard Time),24_4_2,c2.1
2.36,0.002,312,True,1,65,Tue Jan 30 2018 19:56:36 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
2.18,0.002,312,True,1,66,Tue Jan 30 2018 17:52:43 GMT-0500 (Eastern Standard Time),24_4_2,c2.1
2.53,0.002,312,True,1,67,Tue Jan 30 2018 20:01:38 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
2.76,0.002,312,True,1,68,Tue Jan 30 2018 18:51:26 GMT-0500 (EST),2_4_24,c2.1
2.74,0.002,312,True,1,69,Wed Jan 31 2018 08:21:57 GMT+0800 (China Standard Time),2_4_24,c2.1
0.31,0.002,312,True,1,70,Tue Jan 30 2018 17:50:11 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
0.38,0.002,312,True,1,71,Tue Jan 30 2018 14:29:45 GMT-0600 (Central Standard Time),24_4_2,c2.1
2.73,0.002,312,True,1,72,Tue Jan 30 2018 17:51:31 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
