bonus,bonusRate,branching,completed,inspectCost,pid,startTime,version
2.11,0.01,312,True,1,0,Sat Jan 27 2018 18:53:34 GMT-0500 (Eastern Standard Time),c1.0
0.0,0.01,312,True,1,1,Sun Jan 28 2018 15:01:49 GMT-0500 (US Eastern Standard Time),c1.0
1.79,0.01,312,True,1,2,Sat Jan 27 2018 18:26:59 GMT-0500 (EST),c1.0
2.13,0.01,312,True,1,3,Sat Jan 27 2018 19:18:01 GMT-0500 (Eastern Standard Time),c1.0
0.04,0.01,312,True,1,4,Sat Jan 27 2018 21:26:11 GMT-0500 (Eastern Standard Time),c1.0
1.75,0.01,312,True,1,5,Sat Jan 27 2018 18:40:15 GMT-0500 (Eastern Standard Time),c1.0
2.44,0.01,312,True,1,6,Sat Jan 27 2018 18:36:53 GMT-0500 (Eastern Standard Time),c1.0
2.15,0.01,312,True,1,7,Sat Jan 27 2018 16:40:49 GMT-0800 (PST),c1.0
1.4,0.01,312,True,1,8,Sun Jan 28 2018 14:09:31 GMT-0500 (EST),c1.0
0.67,0.01,312,True,1,9,Sun Jan 28 2018 14:59:44 GMT-0600 (Central Standard Time),c1.0
2.78,0.01,312,True,1,10,Sun Jan 28 2018 13:33:43 GMT-0600 (Canada Central Standard Time),c1.0
1.44,0.01,312,True,1,11,Sun Jan 28 2018 14:04:17 GMT-0500 (Eastern Standard Time),c1.0
0.6,0.01,312,True,1,12,Sun Jan 28 2018 13:04:28 GMT-0600 (Central Standard Time),c1.0
1.84,0.01,312,True,1,13,Sun Jan 28 2018 13:28:49 GMT-0600 (Central Standard Time),c1.0
1.08,0.01,312,True,1,14,Sun Jan 28 2018 11:09:18 GMT-0800 (Pacific Standard Time),c1.0
0.91,0.01,312,True,1,15,Sun Jan 28 2018 14:53:47 GMT-0500 (EST),c1.0
0.83,0.01,312,True,1,16,Sun Jan 28 2018 13:07:09 GMT-0600 (CST),c1.0
2.31,0.01,312,True,1,17,Sun Jan 28 2018 14:05:18 GMT-0500 (Eastern Standard Time),c1.0
0.58,0.01,312,True,1,18,Sat Jan 27 2018 18:26:07 GMT-0500 (Eastern Standard Time),c1.0
2.18,0.01,312,True,1,19,Sun Jan 28 2018 11:25:09 GMT-0800 (Pacific Standard Time),c1.0
2.0,0.01,312,True,1,20,Sun Jan 28 2018 12:04:10 GMT-0700 (Mountain Standard Time),c1.0
1.25,0.01,312,True,1,21,Sat Jan 27 2018 18:38:15 GMT-0500 (Eastern Standard Time),c1.0
0.82,0.01,312,True,1,22,Sun Jan 28 2018 13:10:20 GMT-0600 (CST),c1.0
1.62,0.01,312,True,1,23,Sun Jan 28 2018 14:34:02 GMT-0500 (Eastern Standard Time),c1.0
0.65,0.01,312,True,1,24,Sat Jan 27 2018 19:19:04 GMT-0500 (EST),c1.0
2.16,0.01,312,True,1,25,Sun Jan 28 2018 14:09:56 GMT-0500 (EST),c1.0
1.99,0.01,312,True,1,26,Sat Jan 27 2018 17:27:43 GMT-0600 (Central Standard Time),c1.0
2.19,0.01,312,True,1,27,Sat Jan 27 2018 17:33:56 GMT-0600 (Central Standard Time),c1.0
1.78,0.01,312,True,1,28,Sat Jan 27 2018 19:34:55 GMT-0500 (Eastern Standard Time),c1.0
2.51,0.01,312,True,1,29,Sat Jan 27 2018 19:46:44 GMT-0500 (Eastern Standard Time),c1.0
2.48,0.01,312,True,1,30,Sat Jan 27 2018 18:44:10 GMT-0600 (Central Standard Time),c1.0
2.68,0.01,312,True,1,31,Sun Jan 28 2018 14:42:15 GMT-0500 (EST),c1.0
2.94,0.01,312,True,1,32,Sat Jan 27 2018 18:27:34 GMT-0500 (EST),c1.0
1.97,0.01,312,True,1,33,Sat Jan 27 2018 17:39:48 GMT-0800 (PST),c1.0
2.2,0.01,312,True,1,34,Sun Jan 28 2018 13:12:53 GMT-0600 (Central Standard Time),c1.0
0.0,0.01,312,False,1,35,Sat Jan 27 2018 18:28:17 GMT-0600 (Central Standard Time),c1.0
0.86,0.01,312,True,1,36,Sun Jan 28 2018 12:03:21 GMT-0800 (Pacific Standard Time),c1.0
1.07,0.01,312,True,1,37,Sun Jan 28 2018 13:09:24 GMT-0600 (Central Standard Time),c1.0
1.9,0.01,312,True,1,38,Sat Jan 27 2018 18:42:48 GMT-0500 (Eastern Standard Time),c1.0
2.12,0.01,312,True,1,39,Sat Jan 27 2018 19:36:45 GMT-0600 (Central Standard Time),c1.0
1.91,0.01,312,True,1,40,Sun Jan 28 2018 14:10:19 GMT-0500 (Eastern Standard Time),c1.0
2.14,0.01,312,True,1,41,Sat Jan 27 2018 18:27:14 GMT-0500 (Eastern Standard Time),c1.0
0.68,0.01,312,True,1,42,Sat Jan 27 2018 18:30:31 GMT-0500 (EST),c1.0
0.0,0.01,312,True,1,43,Sun Jan 28 2018 14:13:37 GMT-0500 (EST),c1.0
2.56,0.01,312,True,1,44,Sun Jan 28 2018 17:23:52 GMT-0500 (EST),c1.0
0.07,0.01,312,True,1,45,Sun Jan 28 2018 15:00:23 GMT-0500 (EST),c1.0
0.99,0.01,312,True,1,46,Sun Jan 28 2018 14:07:21 GMT-0500 (Eastern Standard Time),c1.0
1.97,0.01,312,True,1,47,Sat Jan 27 2018 17:43:43 GMT-0600 (Central Standard Time),c1.0
0.32,0.01,312,True,1,48,Sat Jan 27 2018 18:11:52 GMT-0600 (Central Standard Time),c1.0
0.93,0.01,312,True,1,49,Sat Jan 27 2018 17:28:50 GMT-0600 (Central Standard Time),c1.0
2.82,0.01,312,True,1,50,Sat Jan 27 2018 16:24:38 GMT-0700 (Mountain Standard Time),c1.0
1.28,0.01,312,True,1,51,Sat Jan 27 2018 16:24:32 GMT-0700 (MST),c1.0
1.68,0.01,312,True,1,52,Sun Jan 28 2018 15:09:30 GMT-0500 (Eastern Standard Time),c1.0
1.68,0.01,312,True,1,53,Sat Jan 27 2018 18:49:32 GMT-0500 (Eastern Standard Time),c1.0
2.24,0.01,312,True,1,54,Sun Jan 28 2018 14:16:30 GMT-0500 (Eastern Standard Time),c1.0
0.0,0.01,312,True,1,55,Sun Jan 28 2018 14:54:35 GMT-0600 (Central Standard Time),c1.0
2.63,0.01,312,True,1,56,Sat Jan 27 2018 18:25:38 GMT-0500 (Eastern Standard Time),c1.0
0.0,0.01,312,False,1,57,Sat Jan 27 2018 18:17:02 GMT-0800 (Pacific Standard Time),c1.0
1.63,0.01,312,True,1,58,Sat Jan 27 2018 17:55:47 GMT-0600 (Central Standard Time),c1.0
1.68,0.01,312,True,1,59,Sun Jan 28 2018 13:09:49 GMT-0600 (Central Standard Time),c1.0
1.05,0.01,312,True,1,60,Sat Jan 27 2018 19:15:54 GMT-0500 (EST),c1.0
