action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,81072,,,81074,,,instructions,"[{""page_index"":0,""viewing_time"":24236},{""page_index"":1,""viewing_time"":5256},{""page_index"":2,""viewing_time"":12913},{""page_index"":3,""viewing_time"":18273},{""page_index"":2,""viewing_time"":19703},{""page_index"":3,""viewing_time"":688}]",18
,,,,,,,,,,,,,48819,,,162807,,,instructions,"[{""page_index"":0,""viewing_time"":6081},{""page_index"":1,""viewing_time"":7880},{""page_index"":2,""viewing_time"":27864},{""page_index"":3,""viewing_time"":6992}]",18
,,,,,,,,,,,,,233056,,,233057,,,instructions,"[{""page_index"":0,""viewing_time"":73710},{""page_index"":1,""viewing_time"":103584},{""page_index"":2,""viewing_time"":37186},{""page_index"":3,""viewing_time"":18576}]",19
,,,,,,,,,,,,,944528,,,944529,,,instructions,"[{""page_index"":0,""viewing_time"":46101},{""page_index"":1,""viewing_time"":797958},{""page_index"":2,""viewing_time"":35693},{""page_index"":3,""viewing_time"":64775}]",20
,,,,,,,,,,,,,106404,,,106406,,,instructions,"[{""page_index"":0,""viewing_time"":55642},{""page_index"":1,""viewing_time"":18722},{""page_index"":2,""viewing_time"":9050},{""page_index"":3,""viewing_time"":22989}]",21
,,,,,,,,,,,,,84831,,,244450,,,instructions,"[{""page_index"":0,""viewing_time"":8872},{""page_index"":1,""viewing_time"":8343},{""page_index"":2,""viewing_time"":4552},{""page_index"":1,""viewing_time"":17270},{""page_index"":2,""viewing_time"":36931},{""page_index"":3,""viewing_time"":8863}]",21
,,,,,,,,,,,,,30096,,,307573,,,instructions,"[{""page_index"":0,""viewing_time"":23480},{""page_index"":1,""viewing_time"":2182},{""page_index"":2,""viewing_time"":3286},{""page_index"":3,""viewing_time"":1148}]",21
,,,,,,,,,,,,,71921,,,415512,,,instructions,"[{""page_index"":0,""viewing_time"":11810},{""page_index"":1,""viewing_time"":9849},{""page_index"":2,""viewing_time"":41687},{""page_index"":3,""viewing_time"":8575}]",21
,,,,,,,,,,,,,4936,,,462384,,,instructions,"[{""page_index"":0,""viewing_time"":1822},{""page_index"":1,""viewing_time"":849},{""page_index"":2,""viewing_time"":1595},{""page_index"":3,""viewing_time"":670}]",21
,,,,,,,,,,,,,115661,,,115663,,,instructions,"[{""page_index"":0,""viewing_time"":43777},{""page_index"":1,""viewing_time"":16569},{""page_index"":2,""viewing_time"":29739},{""page_index"":3,""viewing_time"":25575}]",22
,,,,,,,,,,,,,231650,,,231650,,,instructions,"[{""page_index"":0,""viewing_time"":74702},{""page_index"":1,""viewing_time"":130461},{""page_index"":2,""viewing_time"":203},{""page_index"":3,""viewing_time"":26274}]",23
,,,,,,,,,,,,,134020,,,433787,,,instructions,"[{""page_index"":0,""viewing_time"":22926},{""page_index"":1,""viewing_time"":22620},{""page_index"":2,""viewing_time"":55402},{""page_index"":3,""viewing_time"":33072}]",23
,,,,,,,,,,,,,72774,,,72778,,,instructions,"[{""page_index"":0,""viewing_time"":24332},{""page_index"":1,""viewing_time"":22498},{""page_index"":2,""viewing_time"":11094},{""page_index"":3,""viewing_time"":14848}]",24
