PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
objectLevel,0.28,0.01,True,8,24,4,True,after_each_move,4.0,full,118,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",28.0,"[14, 11, 3, 2, 1, 4]",True,1.6
objectLevel,1.9,0.01,True,7,24,4,True,after_each_move,1.0,full,119,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",190.0,"[3, 11, 2, 5, 8, 7]",True,1.6
objectLevel,0.72,0.01,True,6,24,4,True,after_each_move,0.25,full,120,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",72.0,"[13, 1, 3, 9, 10, 0]",True,1.6
none,0.16,0.01,True,2,24,4,False,after_each_move,4.0,none,121,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",16.0,"[7, 13, 9, 6, 15, 11]",True,1.6
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,122,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-92.0,"[6, 4, 5, 15, 7, 3]",True,1.6
featureBased,3.59,0.01,True,3,24,4,True,after_each_move,0.25,full,123,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",359.0,"[2, 1, 13, 6, 8, 14]",True,1.6
none,2.99,0.01,True,0,24,4,False,after_each_move,0.25,none,124,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",299.0,"[15, 6, 12, 0, 14, 8]",True,1.6
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,125,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",,,True,1.6
none,3.31,0.01,True,0,24,4,False,after_each_move,0.25,none,126,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",331.0,"[14, 11, 4, 8, 7, 6]",True,1.6
none,2.59,0.01,True,1,24,4,False,after_each_move,1.0,none,127,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",259.0,"[13, 4, 5, 0, 3, 7]",True,1.6
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,128,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-84.0,"[2, 12, 11, 15, 1, 4]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,129,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-144.0,"[3, 14, 1, 10, 2, 0]",True,1.6
objectLevel,0.08,0.01,True,8,24,4,True,after_each_move,4.0,full,130,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",8.0,"[5, 12, 1, 7, 14, 6]",True,1.6
featureBased,2.35,0.01,True,4,24,4,True,after_each_move,1.0,full,131,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",235.0,"[5, 10, 4, 0, 3, 7]",True,1.6
objectLevel,2.11,0.01,True,7,24,4,True,after_each_move,1.0,full,132,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",211.0,"[12, 6, 8, 10, 3, 1]",True,1.6
featureBased,2.59,0.01,True,4,24,4,True,after_each_move,1.0,full,133,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",259.0,"[0, 8, 5, 11, 12, 6]",True,1.6
none,3.31,0.01,True,0,24,4,False,after_each_move,0.25,none,134,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",330.5,"[10, 1, 14, 8, 13, 11]",True,1.6
none,0.8,0.01,True,0,24,4,False,after_each_move,0.25,none,135,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",80.0,"[10, 9, 4, 13, 1, 14]",True,1.6
featureBased,1.62,0.01,True,3,24,4,True,after_each_move,0.25,full,136,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",161.75,"[10, 1, 5, 15, 12, 11]",True,1.6
featureBased,0.12,0.01,True,5,24,4,True,after_each_move,4.0,full,137,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",12.0,"[13, 12, 8, 4, 6, 1]",True,1.6
objectLevel,3.53,0.01,True,6,24,4,True,after_each_move,0.25,full,138,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",353.25,"[11, 5, 4, 1, 8, 6]",True,1.6
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,139,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",,,True,1.6
objectLevel,2.07,0.01,True,6,24,4,True,after_each_move,0.25,full,140,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",206.5,"[0, 12, 3, 9, 7, 5]",True,1.6
objectLevel,0.56,0.01,True,7,24,4,True,after_each_move,1.0,full,141,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",56.0,"[5, 6, 12, 15, 1, 14]",True,1.6
featureBased,3.21,0.01,True,3,24,4,True,after_each_move,0.25,full,142,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",321.25,"[15, 14, 2, 3, 13, 4]",True,1.6
none,0.0,0.01,True,1,24,4,False,after_each_move,1.0,none,143,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",-32.0,"[6, 1, 7, 0, 13, 8]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,144,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",0.0,"[0, 15, 9, 5, 6, 7]",True,1.6
objectLevel,0.0,0.01,False,8,24,4,True,after_each_move,4.0,full,145,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",,,True,1.6
objectLevel,1.58,0.01,True,7,24,4,True,after_each_move,1.0,full,146,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",158.0,"[2, 10, 11, 12, 13, 8]",True,1.6
featureBased,3.46,0.01,True,3,24,4,True,after_each_move,0.25,full,147,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",345.75,"[7, 11, 0, 3, 14, 9]",True,1.6
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,148,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-92.0,"[13, 3, 7, 0, 11, 9]",True,1.6
