PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
featureBased,2.0,0.01,True,2,24,4,True,after_each_move,1.25,full,26,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",200.25,"[11, 10, 14, 4, 0, 9]",True,2.3
featureBased,0.61,0.01,True,3,24,4,True,after_each_move,1.25,simple,27,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",61.25,"[8, 12, 9, 2, 0, 14]",True,2.3
featureBased,1.75,0.01,True,3,24,4,True,after_each_move,1.25,simple,28,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",175.25,"[9, 0, 11, 15, 10, 8]",True,2.3
featureBased,2.27,0.01,True,2,24,4,True,after_each_move,1.25,full,29,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",227.25,"[12, 6, 0, 3, 8, 4]",True,2.3
featureBased,1.67,0.01,True,3,24,4,True,after_each_move,1.25,simple,30,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",166.75,"[7, 12, 6, 9, 8, 13]",True,2.3
none,2.32,0.01,True,1,24,4,False,after_each_move,1.25,simple,31,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",232.0,"[2, 10, 6, 15, 0, 11]",True,2.3
featureBased,1.35,0.01,True,3,24,4,True,after_each_move,1.25,simple,32,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",134.5,"[14, 1, 6, 8, 12, 0]",True,2.3
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,full,33,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
none,0.0,0.01,False,1,24,4,False,after_each_move,1.25,simple,34,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
none,1.89,0.01,True,1,24,4,False,after_each_move,1.25,simple,35,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",189.0,"[9, 13, 5, 6, 10, 7]",True,2.3
featureBased,0.0,0.01,True,3,24,4,True,after_each_move,1.25,simple,36,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-8.0,"[15, 5, 8, 3, 4, 2]",True,2.3
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,simple,37,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-149.0,"[9, 13, 3, 7, 15, 8]",True,2.3
featureBased,2.12,0.01,True,2,24,4,True,after_each_move,1.25,full,38,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",212.25,"[7, 10, 11, 6, 13, 3]",True,2.3
none,1.48,0.01,True,0,24,4,False,after_each_move,1.25,full,39,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",147.5,"[14, 5, 6, 9, 13, 0]",True,2.3
featureBased,1.04,0.01,True,3,24,4,True,after_each_move,1.25,simple,40,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",103.75,"[4, 11, 5, 2, 13, 7]",True,2.3
none,1.6,0.01,True,1,24,4,False,after_each_move,1.25,simple,41,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",160.0,"[6, 9, 1, 4, 7, 0]",True,2.3
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,full,42,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
