p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,,308194,,308194,,,instructions,"[{""page_index"":0,""viewing_time"":106188},{""page_index"":1,""viewing_time"":32236},{""page_index"":0,""viewing_time"":6803},{""page_index"":1,""viewing_time"":4276},{""page_index"":0,""viewing_time"":5316},{""page_index"":1,""viewing_time"":42680},{""page_index"":2,""viewing_time"":60272},{""page_index"":1,""viewing_time"":47519},{""page_index"":2,""viewing_time"":2904}]",12
,,,,,,,,,,,,,,,74921,,74921,,,instructions,"[{""page_index"":0,""viewing_time"":16217},{""page_index"":1,""viewing_time"":19744},{""page_index"":2,""viewing_time"":21060},{""page_index"":3,""viewing_time"":17899}]",13
,,,,,,,,,,,,,,,21431,,136279,,,instructions,"[{""page_index"":0,""viewing_time"":5636},{""page_index"":1,""viewing_time"":4612},{""page_index"":2,""viewing_time"":8158},{""page_index"":3,""viewing_time"":3025}]",13
,,,,,,,,,,,,,,,137400,,137404,,,instructions,"[{""page_index"":0,""viewing_time"":48510},{""page_index"":1,""viewing_time"":61860},{""page_index"":2,""viewing_time"":27025}]",14
,,,,,,,,,,,,,,,97778,,97779,,,instructions,"[{""page_index"":0,""viewing_time"":32752},{""page_index"":1,""viewing_time"":37966},{""page_index"":2,""viewing_time"":27058}]",15
,,,,,,,,,,,,,,,160079,,160080,,,instructions,"[{""page_index"":0,""viewing_time"":58451},{""page_index"":1,""viewing_time"":54638},{""page_index"":2,""viewing_time"":24458},{""page_index"":3,""viewing_time"":22531}]",16
,,,,,,,,,,,,,,,112883,,112885,,,instructions,"[{""page_index"":0,""viewing_time"":46268},{""page_index"":1,""viewing_time"":39879},{""page_index"":2,""viewing_time"":26734}]",17
,,,,,,,,,,,,,,,126191,,126192,,,instructions,"[{""page_index"":0,""viewing_time"":45401},{""page_index"":1,""viewing_time"":29729},{""page_index"":2,""viewing_time"":26159},{""page_index"":3,""viewing_time"":24902}]",18
,,,,,,,,,,,,,,,469694,,469695,,,instructions,"[{""page_index"":0,""viewing_time"":121752},{""page_index"":1,""viewing_time"":187230},{""page_index"":2,""viewing_time"":126356},{""page_index"":3,""viewing_time"":34355}]",19
,,,,,,,,,,,,,,,111051,,111053,,,instructions,"[{""page_index"":0,""viewing_time"":35283},{""page_index"":1,""viewing_time"":46196},{""page_index"":2,""viewing_time"":29570}]",20
,,,,,,,,,,,,,,,14003,,14005,,,instructions,"[{""page_index"":0,""viewing_time"":4483},{""page_index"":1,""viewing_time"":3231},{""page_index"":2,""viewing_time"":3784},{""page_index"":3,""viewing_time"":2504}]",21
,,,,,,,,,,,,,,,304582,,350124,,,instructions,"[{""page_index"":0,""viewing_time"":287903},{""page_index"":1,""viewing_time"":5470},{""page_index"":2,""viewing_time"":3992},{""page_index"":3,""viewing_time"":7216}]",21
