action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[11362, 49771, 51642]","[u'down', u'down', u'left']",,,"[29, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12'], u'time': [2021, 3714, 4731, 7105]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11361, 6303, 997]",-9.2,,273717,1.0,9.0,mouselab-mdp,,0
"[1688, 9251, 16395]","[u'up', u'up', u'right']",,,"[4, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3'], u'time': [1186]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1688, 801, 6154]",22.2,,328004,2.0,11.0,mouselab-mdp,,0
"[976, 4304, 5896]","[u'down', u'down', u'right']",,,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[976, 1066, 635]",42.0,,376903,3.0,4.0,mouselab-mdp,,0
"[1462, 4165, 5735]","[u'left', u'left', u'up']",,,"[0, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1462, 439, 600]",18.0,,425592,4.0,10.0,mouselab-mdp,,0
"[2955, 5733, 7427]","[u'up', u'up', u'left']",,,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2955, 494, 672]",5.0,,500754,5.0,6.0,mouselab-mdp,,0
"[1329, 3950, 13102]","[u'right', u'right', u'down']",,,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1329, 376, 8188]",6.0,,556142,6.0,5.0,mouselab-mdp,,0
"[969, 4225, 8288]","[u'down', u'down', u'left']",,,"[0, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'17', u'16'], u'time': [6724, 7562]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[969, 1061, 3067]",-1.6,,605470,7.0,2.0,mouselab-mdp,,0
"[563, 3302, 4729]","[u'up', u'up', u'right']",,,"[0, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12'], u'time': [9971]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[563, 470, 461]",18.2,,664557,8.0,1.0,mouselab-mdp,,0
"[881, 10000, 12284]","[u'left', u'left', u'down']",,,"[6, 0, 0]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[881, 604, 1316]",40.0,,722477,9.0,0.0,mouselab-mdp,,0
"[1073, 3339, 53366]","[u'down', u'down', u'right']",,,"[0, 0, 4]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'17', u'16'], u'time': [6008, 7323]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1072, 2, 49038]",-5.6,,784185,10.0,3.0,mouselab-mdp,,0
"[1860, 11882, 17910]","[u'up', u'up', u'left']",,,"[6, 3, 3]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'7', u'13'], u'time': [1176, 11441, 16644]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1860, 1318, 1638]",32.6,,849189,11.0,8.0,mouselab-mdp,,0
"[775, 16242, 28118]","[u'right', u'right', u'up']",,,"[0, 9, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'6', u'11'], u'time': [5582, 6589, 7246]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[775, 13174, 1192]",-0.4,,907265,12.0,7.0,mouselab-mdp,,0
"[25608, 58261, 59541]","[u'right', u'right', u'down']",,,"[23, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'17', u'5', u'9', u'16'], u'time': [2612, 5552, 7664, 11734, 16248, 20766, 21927]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[25605, 2881, 137]",18.4,,699088,1.0,11.0,mouselab-mdp,,1
"[12906, 40802, 42866]","[u'left', u'left', u'up']",,,"[20, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'9', u'4', u'8'], u'time': [5316, 6606, 8104, 9971, 10976]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12906, 1678, 663]",-4.0,,773564,2.0,2.0,mouselab-mdp,,1
"[6884, 22046, 25000]","[u'right', u'right', u'up']",,,"[9, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'6'], u'time': [2783, 4143]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6883, 1522, 1569]",2.4,,835363,3.0,7.0,mouselab-mdp,,1
