action_times,actions,correct,delays,path,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[27974, 39542, 40957]","[u'right', u'right', u'up']",,"[1, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'13', u'10', u'6', u'2', u'11', u'9', u'8', u'14', u'15', u'4', u'5', u'16', u'17', u'3', u'7'], u'time': [912, 5778, 7202, 8215, 8810, 9551, 13430, 14745, 15918, 16776, 17489, 24073, 25513, 26610, 36986, 37673]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[27974, 7069, 836]",33.84,527223,5.0,3.0,mouselab-mdp,,4
"[11432, 14588, 15776]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'2', u'5', u'4', u'8', u'15', u'14'], u'time': [1431, 2520, 3073, 4163, 5302, 6115, 6845, 8220, 8903, 9842]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11431, 2, 516]",36.9,580955,6.0,9.0,mouselab-mdp,,4
"[16975, 21892, 23690]","[u'right', u'right', u'up']",,"[1, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'6', u'10', u'11', u'8', u'7', u'12', u'13', u'9'], u'time': [1224, 1856, 2450, 3046, 3956, 5008, 5691, 7399, 8465, 9714, 10391, 11718]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[16975, 298, 1120]",21.88,642262,7.0,10.0,mouselab-mdp,,4
"[13810, 17737, 18561]","[u'left', u'left', u'up']",,"[0, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'7', u'8', u'6', u'9', u'11', u'10', u'14', u'15'], u'time': [2526, 3295, 3840, 4639, 5824, 6738, 7629, 8405, 9437, 10141, 11182, 12352]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13810, 11, 137]",33.88,695484,8.0,5.0,mouselab-mdp,,4
"[13514, 17869, 18589]","[u'down', u'down', u'left']",,"[0, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'9', u'8', u'7', u'6', u'13', u'12', u'16', u'17'], u'time': [1730, 2324, 3016, 3556, 4583, 5440, 6247, 7141, 9491, 10510, 11281, 11999]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13514, 12, 38]",45.88,744220,9.0,1.0,mouselab-mdp,,4
"[15355, 19003, 19675]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'4', u'8', u'15', u'14', u'9', u'16', u'17', u'7', u'6'], u'time': [2402, 3155, 3820, 4673, 5646, 6533, 7647, 8647, 9303, 9960, 13928, 14642]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15354, 4, 2]",41.88,793925,10.0,4.0,mouselab-mdp,,4
"[13904, 17589, 19454]","[u'down', u'down', u'left']",,"[0, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'4', u'7', u'6', u'9', u'17', u'16', u'10', u'11'], u'time': [1280, 1927, 2737, 3595, 5024, 6045, 7206, 8220, 9262, 10801, 11541]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13903, 7, 1209]",33.89,843399,11.0,7.0,mouselab-mdp,,4
"[12471, 18108, 20128]","[u'right', u'right', u'up']",,"[0, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'4', u'8', u'14', u'15', u'9', u'6', u'11', u'10'], u'time': [1664, 2930, 3664, 4362, 5163, 6096, 6792, 8059, 9396, 10094, 10838]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12471, 48, 28]",33.89,906987,12.0,2.0,mouselab-mdp,,4
"[74932, 79591, 81839]","[u'right', u'right', u'down']",,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'17', u'11', u'2', u'6', u'10', u'3', u'7', u'12', u'4', u'14', u'8', u'15', u'16', u'13'], u'time': [6513, 9209, 14852, 17726, 22393, 24716, 26421, 29763, 31680, 32969, 36483, 39487, 40873, 42362, 46910, 48634]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[74932, 40, 1726]",-6.8,445675,1.0,6.0,mouselab-mdp,,5
"[5176, 12592, 17386]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5176, 5258, 3848]",42.0,500679,2.0,4.0,mouselab-mdp,,5
"[3234, 6013, 11039]","[u'up', u'up', u'right']",,"[0, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3234, 711, 4096]",31.0,552474,3.0,9.0,mouselab-mdp,,5
"[2268, 4498, 10586]","[u'left', u'left', u'down']",,"[0, 0, 0]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2268, 158, 5181]",16.0,622433,4.0,7.0,mouselab-mdp,,5
"[16516, 31235, 38167]","[u'left', u'left', u'down']",,"[9, 0, 0]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5'], u'time': [4188, 11797]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[16516, 3122, 6000]",0.4,687092,5.0,10.0,mouselab-mdp,,5
"[2245, 4687, 7804]","[u'right', u'right', u'up']",,"[0, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2245, 449, 2197]",34.0,737182,6.0,2.0,mouselab-mdp,,5
"[5578, 7721, 14102]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5578, 147, 5482]",18.0,789698,7.0,11.0,mouselab-mdp,,5
"[2688, 4721, 8061]","[u'up', u'up', u'right']",,"[0, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2688, 29, 2424]",35.0,837762,8.0,8.0,mouselab-mdp,,5
"[4231, 6305, 9022]","[u'left', u'left', u'up']",,"[0, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4231, 3, 1791]",40.0,891456,9.0,0.0,mouselab-mdp,,5
"[2411, 4494, 10294]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2411, 2, 4878]",14.0,942945,10.0,5.0,mouselab-mdp,,5
"[4148, 6255, 9095]","[u'left', u'left', u'up']",,"[0, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4148, 3, 1909]",4.0,992465,11.0,3.0,mouselab-mdp,,5
"[3070, 5151, 9140]","[u'up', u'up', u'right']",,"[0, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3070, 2, 3045]",21.0,1044336,12.0,1.0,mouselab-mdp,,5
"[4498, 10165, 14837]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4497, 2830, 3544]",41.0,456275,1.0,8.0,mouselab-mdp,,6
"[3039, 8612, 10614]","[u'right', u'right', u'up']",,"[0, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3039, 2721, 869]",12.0,506853,2.0,6.0,mouselab-mdp,,6
"[8982, 12664, 14272]","[u'right', u'right', u'down']",,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8982, 831, 473]",2.0,568639,3.0,7.0,mouselab-mdp,,6
"[2442, 8875, 12688]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2441, 3588, 2666]",42.0,628293,4.0,4.0,mouselab-mdp,,6
"[2567, 10818, 12788]","[u'right', u'right', u'up']",,"[0, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2567, 5391, 837]",16.0,677847,5.0,9.0,mouselab-mdp,,6
"[3300, 6535, 9899]","[u'right', u'right', u'down']",,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3300, 404, 2220]",-2.0,729240,6.0,0.0,mouselab-mdp,,6
"[1424, 4240, 6233]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1424, 2, 838]",1.0,795943,7.0,5.0,mouselab-mdp,,6
"[1796, 4758, 6533]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1795, 3, 629]",15.0,848017,8.0,2.0,mouselab-mdp,,6
"[1763, 4980, 7238]","[u'up', u'up', u'right']",,"[0, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1763, 410, 1116]",25.0,916034,9.0,11.0,mouselab-mdp,,6
"[2540, 5337, 7462]","[u'right', u'right', u'down']",,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2539, 3, 989]",0.0,967700,10.0,3.0,mouselab-mdp,,6
"[1406, 4978, 11400]","[u'left', u'left', u'up']",,"[0, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1406, 800, 5316]",18.0,1019303,11.0,10.0,mouselab-mdp,,6
"[1505, 4425, 6629]","[u'up', u'up', u'right']",,"[0, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1504, 2, 1013]",21.0,1091585,12.0,1.0,mouselab-mdp,,6
"[50747, 56460, 59307]","[u'right', u'right', u'down']",,"[0, 0, 2]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'10', u'13', u'7', u'3', u'12', u'14', u'8', u'4', u'15', u'16', u'9', u'17', u'5', u'2', u'11'], u'time': [5909, 12557, 14669, 16512, 17887, 18938, 20137, 21155, 22276, 23335, 24236, 25123, 25939, 26648, 27286, 31067]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[50744, 10, 2320]",31.84,394346,1.0,2.0,mouselab-mdp,,8
"[5455, 54548, 64059]","[u'right', u'right', u'down']",,"[29, 0, 8]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'6', u'10', u'13', u'7', u'3', u'12', u'14', u'8', u'4', u'15', u'5', u'9', u'16', u'17', u'11', u'2'], u'time': [38844, 39687, 40152, 40894, 41215, 41594, 42034, 42449, 42766, 44226, 44733, 45215, 45551, 45940, 46475, 47253, 58636]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5454, 17504, 5432]",17.83,485412,2.0,8.0,mouselab-mdp,,8
"[21375, 26357, 28261]","[u'right', u'right', u'down']",,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'13', u'7', u'3', u'12', u'14', u'8', u'4', u'15', u'5', u'9', u'17', u'16'], u'time': [2758, 3494, 4474, 5292, 5930, 6357, 6737, 7224, 7679, 8015, 8374, 8923, 9444, 10261, 11075, 11739]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[21374, 3, 1390]",37.84,539737,3.0,6.0,mouselab-mdp,,8
"[38625, 43446, 44712]","[u'right', u'right', u'up']",,"[0, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'17', u'9', u'5', u'16', u'15', u'8', u'4', u'14', u'12', u'7', u'13', u'3'], u'time': [2456, 2849, 3327, 3876, 4922, 5660, 6291, 6814, 7722, 8353, 9030, 9792, 10792, 11324, 11822, 12428]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[38625, 1, 723]",21.84,590771,4.0,10.0,mouselab-mdp,,8
"[36155, 41222, 43249]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'13', u'7', u'3', u'12', u'14', u'8', u'15', u'4', u'5', u'9', u'17', u'16'], u'time': [2976, 3349, 3758, 4388, 4942, 5866, 6262, 7149, 8348, 8732, 9786, 10315, 11101, 11550, 11917, 12477]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[36155, 18, 1497]",36.84,653306,5.0,9.0,mouselab-mdp,,8
"[35595, 40635, 43322]","[u'right', u'right', u'down']",,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'17', u'16', u'2', u'6', u'11', u'10', u'3', u'7', u'13', u'12', u'4', u'8', u'15', u'14'], u'time': [3223, 3636, 4046, 4597, 5623, 5968, 6511, 7111, 7835, 8228, 8604, 9297, 9990, 10433, 10744, 11323]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[35594, 1, 2139]",37.84,705101,6.0,11.0,mouselab-mdp,,8
"[37197, 44426, 46210]","[u'down', u'down', u'right']",,"[2, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16'], u'time': [2226, 3188, 3739, 4705, 6790, 7396, 7919, 8852]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[37197, 683, 980]",41.92,759003,7.0,4.0,mouselab-mdp,,8
"[33115, 39929, 42566]","[u'down', u'down', u'left']",,"[1, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12', u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16'], u'time': [6470, 7279, 7892, 8686, 10543, 10988, 11378, 11959, 14121, 14558, 14985, 15577]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[33115, 805, 1949]",45.88,817745,8.0,1.0,mouselab-mdp,,8
"[32965, 37970, 40585]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'15', u'14', u'3', u'7', u'13', u'12', u'2', u'6', u'10', u'11', u'5', u'9', u'17', u'16'], u'time': [4645, 5683, 6414, 7035, 8195, 9049, 9533, 10146, 10957, 11376, 11905, 12513, 13336, 13719, 14132, 14842]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[32965, 2, 2098]",33.84,870749,9.0,7.0,mouselab-mdp,,8
"[31342, 37620, 39995]","[u'right', u'right', u'up']",,"[0, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16', u'3', u'7', u'13', u'12', u'14', u'8', u'15'], u'time': [2411, 5064, 6251, 7328, 8217, 10117, 11033, 11898, 12836, 14376, 15154, 15690, 16390, 25853, 26397, 26753]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[31342, 763, 1863]",33.84,922842,10.0,3.0,mouselab-mdp,,8
"[18665, 24625, 30440]","[u'left', u'left', u'up']",,"[0, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16', u'3', u'7', u'13', u'12', u'4', u'8', u'15', u'14'], u'time': [2997, 3948, 4646, 5512, 6834, 7457, 8273, 8796, 9604, 9998, 10482, 10949, 11803, 12257, 12721, 14060]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18665, 738, 5289]",33.84,975103,11.0,5.0,mouselab-mdp,,8
"[31805, 41668, 43174]","[u'left', u'left', u'up']",,"[0, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16', u'3', u'7', u'12', u'13', u'4', u'8', u'15', u'14'], u'time': [4205, 4744, 5398, 5952, 6542, 6875, 7328, 7850, 8634, 9035, 9988, 10657, 11301, 11630, 12121, 12672]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[31804, 4761, 984]",39.84,1026507,12.0,0.0,mouselab-mdp,,8
"[34084, 44921, 48621]","[u'right', u'right', u'up']",,"[7, 0, 2]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'4', u'9', u'17', u'6', u'10', u'11'], u'time': [12745, 14634, 17600, 19929, 23113, 27086, 29252, 47497, 53330]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[34082, 981, 2878]",33.91,733978,1.0,2.0,mouselab-mdp,,9
"[5712, 23801, 24960]","[u'right', u'right', u'up']",,"[10, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'3', u'4', u'6', u'10', u'11', u'13'], u'time': [2008, 2767, 3691, 4446, 19930, 21018, 22186, 55409]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5712, 5543, 2]",21.92,794769,2.0,10.0,mouselab-mdp,,9
"[15315, 19023, 21452]","[u'down', u'down', u'left']",,"[0, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'12', u'7', u'13', u'14', u'8', u'15', u'5', u'9', u'17', u'16'], u'time': [3649, 4269, 5107, 6005, 6554, 7217, 7952, 8409, 8977, 9784, 12016, 12842, 13576]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15315, 2, 1808]",45.87,852836,3.0,1.0,mouselab-mdp,,9
"[20054, 23024, 24401]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'2', u'5', u'4', u'15', u'8', u'14', u'16', u'17', u'9', u'11', u'6', u'10'], u'time': [901, 1429, 2783, 3550, 5062, 5612, 6153, 6940, 7519, 8084, 8851, 10430, 10924, 12170, 12844, 13421]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[20054, 2, 861]",40.84,904935,4.0,8.0,mouselab-mdp,,9
