action_times,actions,correct,delays,path,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[12933, 15303, 17245]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'13', u'10', u'17', u'2', u'5'], u'time': [969, 6789, 8608, 10342, 11757]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12933, 752, 1255]",34.0,869449,12.0,4.0,mouselab-mdp,,0
"[27092, 53051, 67431]","[u'up', u'up', u'left']",,"[20, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16', u'4', u'8', u'15', u'14', u'3', u'7', u'13', u'12'], u'time': [2301, 2750, 3238, 3874, 4871, 5516, 6091, 7268, 8010, 8662, 9010, 9873, 10522, 10861, 11187, 11722]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[27091, 608, 13865]",15.4,202726,1.0,8.0,mouselab-mdp,,1
"[30275, 44842, 50396]","[u'right', u'right', u'down']",,"[9, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'17', u'16', u'2', u'6', u'11', u'10'], u'time': [4783, 5719, 6406, 7256, 18227, 19075, 19673, 21593]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[30274, 975, 4719]",25.2,262969,2.0,11.0,mouselab-mdp,,1
"[35880, 49230, 87533]","[u'left', u'left', u'up']",,"[8, 0, 15]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'15', u'14'], u'time': [1568, 2658, 3578, 4496]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[35880, 1488, 37347]",1.6,370659,3.0,9.0,mouselab-mdp,,1
"[13647, 35552, 40056]","[u'left', u'left', u'up']",,"[16, 0, 0]","[1, 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16', u'3', u'7', u'12', u'13', u'4', u'8', u'15', u'14'], u'time': [2118, 2814, 3376, 4100, 5180, 5641, 6160, 6987, 7834, 8100, 8650, 9175, 9964, 10420, 11078, 11692]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13647, 608, 3995]",8.4,441592,4.0,5.0,mouselab-mdp,,1
"[35324, 41871, 46521]","[u'down', u'down', u'left']",,"[2, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'16'], u'time': [4001, 6388, 7876]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[35324, 646, 3565]",29.2,510864,5.0,7.0,mouselab-mdp,,1
"[8229, 25250, 31534]","[u'left', u'left', u'down']",,"[3, 0, 0]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'15'], u'time': [1466, 2413, 4050]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8229, 10203, 5209]",35.2,565040,6.0,0.0,mouselab-mdp,,1
"[11251, 19030, 21204]","[u'down', u'down', u'right']",,"[1, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'9', u'16', u'17'], u'time': [2460, 5958, 7243, 8037, 8871, 9751]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11251, 2322, 1208]",32.4,616954,7.0,4.0,mouselab-mdp,,1
"[16153, 29850, 34712]","[u'right', u'right', u'up']",,"[8, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'15', u'14', u'2', u'6', u'11', u'10'], u'time': [2163, 3550, 4470, 5328, 6781, 7439, 7949, 9044]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[16152, 1086, 4057]",21.2,679386,8.0,2.0,mouselab-mdp,,1
"[14636, 22814, 30173]","[u'right', u'right', u'down']",,"[2, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12', u'2', u'6', u'11'], u'time': [5544, 6735, 7465, 8413, 9311, 9952, 10475]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14636, 1630, 6428]",26.8,804583,9.0,6.0,mouselab-mdp,,1
"[21997, 30114, 37043]","[u'down', u'down', u'left']",,"[0, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'2', u'6', u'5', u'9', u'17', u'16'], u'time': [3439, 4289, 5102, 5980, 7021, 7458, 8426, 8913, 9531, 10154]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[21997, 2641, 6109]",30.0,857435,10.0,1.0,mouselab-mdp,,1
"[49700, 65327, 70288]","[u'right', u'right', u'up']",,"[9, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'2', u'6', u'11', u'10', u'5', u'9', u'3', u'7', u'13', u'12', u'17', u'16', u'15', u'14'], u'time': [12431, 13425, 14330, 14872, 15746, 16354, 17359, 17861, 18724, 19135, 19581, 20206, 28119, 28886, 29957, 31147]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49700, 958, 4445]",-3.6,931754,11.0,10.0,mouselab-mdp,,1
"[10997, 22693, 24437]","[u'right', u'right', u'up']",,"[4, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10'], u'time': [4675, 5283, 5944, 6733]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10997, 3909, 796]",27.6,999226,12.0,3.0,mouselab-mdp,,1
"[2043, 9226, 18227]","[u'right', u'right', u'up']",,"[0, 3, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6'], u'time': [9312]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2041, 12, 2504]",19.2,259915,1.0,4.0,mouselab-mdp,,2
"[3786, 13764, 21504]","[u'right', u'right', u'up']",,"[5, 3, 5]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'11', u'10'], u'time': [12340, 18934, 20818]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3786, 3028, 3599]",23.2,431217,1.0,8.0,mouselab-mdp,,3
"[8016, 14252, 77611]","[u'left', u'left', u'down']",,"[0, 13, 6]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'2', u'4', u'8', u'15', u'14'], u'time': [1848, 2943, 5522, 6831, 10838, 12896, 13621]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8016, 3419, 48692]",-3.2,523201,2.0,4.0,mouselab-mdp,,3
"[4937, 11995, 17897]","[u'up', u'up', u'left']",,"[1, 3, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'7', u'13', u'12'], u'time': [2268, 3184, 10007, 16784, 17352]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4937, 3350, 1757]",11.0,583118,3.0,7.0,mouselab-mdp,,3
"[5649, 14666, 23188]","[u'right', u'right', u'down']",,"[3, 6, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'5', u'6', u'10', u'11'], u'time': [1667, 2995, 4917, 12311, 14230, 22680]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5649, 3320, 1070]",28.4,649846,4.0,11.0,mouselab-mdp,,3
"[3422, 10042, 15979]","[u'up', u'up', u'right']",,"[2, 0, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'13', u'12', u'7'], u'time': [1250, 1856, 2820, 12787, 13674, 17868]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3422, 2069, 5051]",-8.6,718461,5.0,5.0,mouselab-mdp,,3
"[3729, 11622, 45346]","[u'down', u'down', u'right']",,"[0, 3, 6]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'9', u'16', u'17'], u'time': [2362, 2793, 10357, 16372, 16915]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3729, 5073, 29442]",2.0,786537,6.0,0.0,mouselab-mdp,,3
"[4882, 11385, 15665]","[u'right', u'right', u'down']",,"[3, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'4', u'8', u'10', u'11'], u'time': [1701, 2182, 2906, 4086, 14485, 15123]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4882, 647, 3365]",28.4,857823,7.0,6.0,mouselab-mdp,,3
"[6559, 15503, 18173]","[u'left', u'left', u'down']",,"[5, 0, 5]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'2', u'4', u'8', u'7', u'15', u'14'], u'time': [1041, 1531, 2426, 3148, 4952, 5538, 16955, 17606]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6559, 712, 1791]",15.2,932541,8.0,9.0,mouselab-mdp,,3
"[4785, 10320, 13837]","[u'down', u'down', u'left']",,"[0, 0, 0]","[1, 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'4', u'9', u'6', u'17', u'16'], u'time': [1431, 2028, 2775, 3455, 4019, 12126, 12607]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4785, 2546, 2601]",-5.2,1016469,9.0,3.0,mouselab-mdp,,3
"[7798, 10926, 13701]","[u'right', u'right', u'up']",,"[0, 0, 5]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'3', u'5', u'6', u'11', u'10'], u'time': [1470, 2683, 3278, 3834, 5563, 12598, 13119]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7798, 4, 1859]",10.8,1093577,10.0,10.0,mouselab-mdp,,3
"[6684, 9516, 19293]","[u'down', u'down', u'right']",,"[0, 6, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'5', u'3', u'2', u'9', u'17', u'16'], u'time': [3595, 4595, 5284, 5793, 9411, 17665, 18453]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6684, 109, 2436]",-7.2,1158640,11.0,2.0,mouselab-mdp,,3
"[2089, 6956, 13487]","[u'up', u'up', u'right']",,"[0, 3, 0]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'7', u'13', u'12'], u'time': [571, 1075, 6468, 11628, 12077]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2089, 2401, 2244]",13.0,1223494,12.0,1.0,mouselab-mdp,,3
"[10494, 16808, 18428]","[u'right', u'right', u'down']",,"[3, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'12', u'7', u'13', u'10', u'6', u'11', u'17', u'9', u'16', u'5', u'1', u'4', u'8', u'15', u'14'], u'time': [3335, 4409, 5317, 6230, 6646, 7296, 7709, 8092, 22623, 23136, 23601, 24422, 24936, 25648, 26138, 26546, 27310]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10493, 565, 970]",37.83,303358,1.0,6.0,mouselab-mdp,,4
"[13200, 15934, 17742]","[u'left', u'left', u'down']",,"[0, 0, 0]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'7', u'13', u'14', u'8', u'15', u'4', u'3', u'2', u'10', u'6', u'11', u'17', u'9', u'5', u'16'], u'time': [1630, 2575, 3561, 4335, 4792, 5247, 5793, 6684, 7457, 7999, 8418, 8779, 9380, 10317, 10735, 11698]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13200, 2, 1310]",39.84,374924,2.0,0.0,mouselab-mdp,,4
"[14521, 18209, 19285]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'7', u'13', u'3', u'14', u'8', u'4', u'15', u'16', u'9', u'5', u'17', u'11', u'6', u'10', u'2'], u'time': [2379, 2860, 3341, 3958, 4632, 5057, 5493, 6095, 7344, 8483, 8964, 9504, 10313, 10850, 11356, 12069]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14521, 9, 588]",40.84,425709,3.0,8.0,mouselab-mdp,,4
"[18678, 22007, 23363]","[u'right', u'right', u'down']",,"[0, 0, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'7', u'13', u'3', u'10', u'6', u'11', u'2', u'17', u'5', u'9', u'16', u'4', u'15', u'8', u'14'], u'time': [4580, 5669, 6086, 6647, 7480, 7990, 8723, 9569, 11833, 12666, 13199, 13757, 15703, 16294, 16751, 17296]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18678, 5, 856]",37.84,475115,4.0,11.0,mouselab-mdp,,4
