PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,return_time,score,test_idx,version
none,3.33,0.005,True,0,2,4,False,after_each_move,1,full,0,1502400155471,665,"[12, 6, 7, 2, 13, 3]",2.2B
none,1.73,0.005,True,0,2,4,False,after_each_move,1,full,1,1502399263213,345,"[14, 8, 7, 13, 6, 1]",2.2B
