pid,temp,p_error,logp,satisfice,prune,model,trial_idx
3,1e-10,0.87,-7.366272680683515,5,-30,depth_first,0
3,1e-10,0.87,-7.366272680683515,5,-30,breadth_first,0
3,1e-10,0.87,-7.366272680683515,5,-30,progressive_deepening,0
3,1e-05,0.87,-7.366272680683515,5,-30,best_first,0
3,1e-05,0.8,-7.200891202116382,,,optimal,0
3,1e-10,1.0,-7.447751280047908,,,random,0
3,1e-10,0.77,-19.896983250822018,5,-30,depth_first,1
3,1e-10,0.63,-18.37163188043837,5,-30,breadth_first,1
3,1e-10,0.9500000000000001,-20.730234642601477,5,-30,progressive_deepening,1
3,1e-05,0.5,-16.37577696752143,5,-30,best_first,1
3,10.0,0.01,-20.332796355982985,,,optimal,1
3,1e-10,1.0,-20.76040438389537,,,random,1
3,1e-10,0.88,-22.035410308901543,10,-30,depth_first,2
3,1e-10,1.0,-22.552163853123425,5,-30,breadth_first,2
3,1e-10,0.91,-22.293800973728015,10,-20,progressive_deepening,2
3,2.44205309454865,0.98,-22.546491614297928,10,-20,best_first,2
3,10.0,0.01,-21.957627380537666,,,optimal,2
3,1e-10,1.0,-22.552163853123425,,,random,2
3,1e-10,0.78,-20.98010990026392,20,-30,depth_first,3
3,1e-10,1.0,-22.552163853123425,5,-30,breadth_first,3
3,1e-10,0.8200000000000001,-21.633860716260177,20,-30,progressive_deepening,3
3,1e-05,1.0,-22.552163853123425,5,-30,best_first,3
3,5.689866029018293,0.01,-22.062920998480287,,,optimal,3
3,1e-10,1.0,-22.552163853123425,,,random,3
3,1e-10,0.79,-21.824372978172015,30,-30,depth_first,4
3,1e-10,1.0,-22.552163853123425,5,-30,breadth_first,4
3,1e-10,0.8300000000000001,-22.17076176272485,30,-30,progressive_deepening,4
3,7.543120063354607,0.8300000000000001,-22.071421228312296,30,-30,best_first,4
3,3.2374575428176398,0.01,-20.841080256780437,,,optimal,4
3,1e-10,1.0,-22.552163853123425,,,random,4
3,1e-10,0.9,-11.78121634810736,5,-30,depth_first,5
3,1e-10,0.9,-11.78121634810736,5,-30,breadth_first,5
3,1e-10,0.9,-11.78121634810736,5,-30,progressive_deepening,5
3,1e-05,0.9,-11.78121634810736,5,-30,best_first,5
3,0.14563484775012445,0.34,-10.0076380945982,,,optimal,5
3,1e-10,1.0,-11.947560950378174,,,random,5
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,depth_first,6
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,breadth_first,6
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,progressive_deepening,6
3,1e-05,0.8300000000000001,-9.381105804877004,5,-30,best_first,6
3,1e-05,0.01,-4.8141660364000645,,,optimal,6
3,1e-10,1.0,-9.750336373041954,,,random,6
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,7
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,7
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,7
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,7
3,1e-05,0.01,-1.8063675729911355,,,optimal,7
3,1e-10,1.0,-5.049856007249537,,,random,7
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,depth_first,8
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,breadth_first,8
3,1e-10,0.9500000000000001,-13.983364371545422,5,-30,progressive_deepening,8
3,1e-05,0.9500000000000001,-13.983364371545422,5,-30,best_first,8
3,1.0481131341546852,0.01,-13.452746233207455,,,optimal,8
3,1e-10,1.0,-14.02700249205801,,,random,8
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,9
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,9
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,9
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,9
3,1e-05,0.01,-1.8063675729911355,,,optimal,9
3,1e-10,1.0,-5.049856007249537,,,random,9
3,1e-10,0.6,-8.398633456691682,5,-30,depth_first,10
3,1e-10,0.6,-8.398633456691682,5,-30,breadth_first,10
3,1e-10,0.6,-8.398633456691682,5,-30,progressive_deepening,10
3,1e-05,0.6,-8.398633456691682,5,-30,best_first,10
3,1e-05,0.28,-5.380878799103198,,,optimal,10
3,1e-10,1.0,-9.750336373041954,,,random,10
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,depth_first,11
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,breadth_first,11
3,1e-10,0.8300000000000001,-9.381105804877004,5,-30,progressive_deepening,11
3,1e-05,0.8300000000000001,-9.381105804877004,5,-30,best_first,11
3,0.08286427728546843,0.4,-7.950541372655375,,,optimal,11
3,1e-10,1.0,-9.750336373041954,,,random,11
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,12
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,12
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,12
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,12
3,1e-05,0.01,-1.8063675729911355,,,optimal,12
3,1e-10,1.0,-5.049856007249537,,,random,12
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,13
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,13
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,13
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,13
3,1e-05,0.01,-1.8063675729911355,,,optimal,13
3,1e-10,1.0,-5.049856007249537,,,random,13
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,14
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,14
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,14
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,14
3,1e-05,0.01,-1.8063675729911355,,,optimal,14
3,1e-10,1.0,-5.049856007249537,,,random,14
3,1e-10,0.55,-3.864301788447619,5,-30,depth_first,15
3,1e-10,0.55,-3.864301788447619,5,-30,breadth_first,15
3,1e-10,0.55,-3.864301788447619,5,-30,progressive_deepening,15
3,1e-05,0.55,-3.864301788447619,5,-30,best_first,15
3,1e-05,0.01,-1.8063675729911355,,,optimal,15
3,1e-10,1.0,-5.049856007249537,,,random,15
3,1e-10,1.0,-15.972912641113323,5,-30,depth_first,16
