,pid,temp,p_error,logp,satisfice,prune,model,trial_idx,k,N,bic
3528,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,18,3,1,5.1298987149230735
3534,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,19,3,1,5.1298987149230735
3540,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,20,3,1,5.1298987149230735
3546,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,21,3,1,5.1298987149230735
3552,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,22,3,1,5.1298987149230735
3558,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,23,3,1,5.1298987149230735
3564,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,24,3,1,5.1298987149230735
3570,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,25,3,1,5.1298987149230735
3576,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,26,3,1,5.1298987149230735
3582,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,27,3,1,5.1298987149230735
3588,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,28,3,1,5.1298987149230735
3594,79,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,29,3,1,5.1298987149230735
3603,83,10.0,0.26,-8.077035085760901,5.0,-10.0,best_first,0,4,5,22.591821821258204
3609,83,10.0,0.15000000000000002,-14.272729476423258,15.0,-30.0,best_first,1,4,11,38.13704004404
3615,83,3.23745754281764,0.24,-15.269264322941352,15.0,-30.0,best_first,2,4,12,40.478155245034706
3622,83,1e-05,0.01,-3.4215794435813742,,,optimal,3,2,3,9.040383464498968
3628,83,1e-05,0.01,-3.4215794435813742,,,optimal,4,2,3,9.040383464498968
3634,83,1e-05,0.01,-6.629114438930426,,,optimal,5,2,7,17.15004917597148
3640,83,1e-05,0.21,-11.149242609648264,,,optimal,6,2,7,26.190305517407154
3646,83,1e-05,0.01,-4.8141660364000645,,,optimal,7,2,4,12.40092079503991
3652,83,1e-05,0.01,-5.91969082609729,,,optimal,8,2,5,15.058257477062782
3658,83,1e-05,0.01,-4.8141660364000645,,,optimal,9,2,4,12.40092079503991
3664,83,1e-05,0.01,-1.806367572991136,,,optimal,10,2,2,4.999029507102162
3670,83,1e-05,0.29000000000000004,-15.31557561587396,,,optimal,11,2,10,35.236321417736015
3676,83,1e-05,0.29000000000000004,-14.961043376847586,,,optimal,12,2,10,34.52725693968326
3682,83,1e-05,0.01,-3.4215794435813742,,,optimal,13,2,3,9.040383464498968
3688,83,1e-05,0.01,-3.4215794435813742,,,optimal,14,2,3,9.040383464498968
3694,83,1e-05,0.01,-3.4215794435813742,,,optimal,15,2,3,9.040383464498968
3700,83,1e-05,0.01,-6.620506064393825,,,optimal,16,2,6,16.82453106724376
3706,83,1e-05,0.01,-1.806367572991136,,,optimal,17,2,2,4.999029507102162
3712,83,1e-05,0.01,-6.629114438930426,,,optimal,18,2,7,17.15004917597148
3718,83,1e-05,0.01,-1.806367572991136,,,optimal,19,2,2,4.999029507102162
3724,83,1e-05,0.01,-6.629114438930426,,,optimal,20,2,7,17.15004917597148
3730,83,0.1930697728883249,0.01,-12.283563536225019,,,optimal,21,2,11,29.36291761804678
3736,83,1e-05,0.01,-6.620506064393825,,,optimal,22,2,6,16.82453106724376
3742,83,1e-05,0.01,-6.620506064393825,,,optimal,23,2,6,16.82453106724376
3748,83,1e-05,0.01,-4.8141660364000645,,,optimal,24,2,4,12.40092079503991
3754,83,1e-05,0.01,-3.4215794435813742,,,optimal,25,2,3,9.040383464498968
3760,83,1e-05,0.01,-1.806367572991136,,,optimal,26,2,2,4.999029507102162
3766,83,1e-05,0.01,-4.8141660364000645,,,optimal,27,2,4,12.40092079503991
3772,83,1e-05,0.01,-1.806367572991136,,,optimal,28,2,2,4.999029507102162
3778,83,1e-05,0.01,-6.629114438930426,,,optimal,29,2,7,17.15004917597148
3781,84,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,0,3,4,16.49251795253136
3787,84,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,1,3,4,16.49251795253136
3795,84,1e-05,0.17,-7.262459071242003,10.0,-30.0,best_first,2,4,7,22.30855873870526
3803,84,1e-10,1.0,-22.55216385312343,,,random,3,0,13,45.10432770624686
3807,84,5.689866029018292,0.01,-7.104962022075875,5.0,-30.0,best_first,4,4,7,21.993564640373002
3811,84,1e-10,0.13,-11.15304267050262,30.0,-5.0,breadth_first,5,3,11,29.499771159400353
3816,84,1e-10,0.24,-6.43257669928367,15.0,-30.0,depth_first,6,3,5,17.69346713586964
3823,84,1e-10,0.01,-5.031320556274952,10.0,-10.0,breadth_first,7,3,8,16.30096573758941
3828,84,1e-10,0.01,-2.535690541053652,10.0,-5.0,depth_first,8,3,6,10.446659489791468
3834,84,1e-10,0.01,-1.8259466720128157,5.0,-30.0,depth_first,9,3,4,7.810776427385303
3843,84,2.44205309454865,0.01,-7.889681196491039,15.0,-30.0,best_first,10,4,13,26.039159822828225
3849,84,7.543120063354608,0.01,-5.609111541576484,5.0,-30.0,best_first,11,4,6,18.38526096006519
3852,84,1e-10,0.01,-1.8348753027571167,10.0,-30.0,depth_first,12,3,5,8.498064342816534
3858,84,1e-10,0.15000000000000002,-8.185090809800828,10.0,-30.0,depth_first,13,3,8,22.608506244641163
3865,84,1e-10,0.01,-6.134609308793356,5.0,-5.0,breadth_first,14,3,9,18.86089234959537
3873,84,1e-05,0.44,-17.033796736160784,15.0,-30.0,best_first,15,4,12,44.00722007147357
3880,84,1e-05,0.01,-6.629114438930426,,,optimal,16,2,7,17.15004917597148
3886,84,1e-05,0.01,-1.806367572991136,,,optimal,17,2,2,4.999029507102162
3892,84,1e-05,0.01,-5.91969082609729,,,optimal,18,2,5,15.058257477062782
3898,84,1e-05,0.01,-4.8141660364000645,,,optimal,19,2,4,12.40092079503991
3904,84,1e-05,0.01,-5.91969082609729,,,optimal,20,2,5,15.058257477062782
3910,84,1e-05,0.01,-6.620506064393825,,,optimal,21,2,6,16.82453106724376
3916,84,1e-05,0.01,-1.806367572991136,,,optimal,22,2,2,4.999029507102162
3922,84,1e-05,0.31,-14.214604907877664,,,optimal,23,2,9,32.823658970427765
3928,84,1e-05,0.01,-1.806367572991136,,,optimal,24,2,2,4.999029507102162
3934,84,1e-05,0.01,-4.8141660364000645,,,optimal,25,2,4,12.40092079503991
3940,84,1e-05,0.01,-6.629114438930426,,,optimal,26,2,7,17.15004917597148
3946,84,1e-05,0.01,-6.629114438930426,,,optimal,27,2,7,17.15004917597148
3952,84,1e-05,0.01,-6.629114438930426,,,optimal,28,2,7,17.15004917597148
3958,84,1e-05,0.01,-3.4215794435813742,,,optimal,29,2,3,9.040383464498968
3961,86,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,0,3,4,16.49251795253136
3966,86,1e-10,0.46,-8.86222403432274,5.0,-30.0,depth_first,1,3,5,22.55276180594778
3976,86,1e-05,0.01,-1.806367572991136,,,optimal,2,2,2,4.999029507102162
3983,86,1e-10,1.0,-9.750336373041954,,,random,3,0,4,19.500672746083907
3985,86,1e-10,0.29000000000000004,-16.492236104185007,25.0,-30.0,breadth_first,4,3,13,40.679320280754624
3995,86,1e-10,1.0,-11.947560950378175,,,random,5,0,5,23.89512190075635
4001,86,1e-10,1.0,-22.55216385312343,,,random,6,0,13,45.10432770624686
4006,86,1e-05,0.01,-3.4215794435813742,,,optimal,7,2,3,9.040383464498968
4013,86,1e-10,1.0,-7.447751280047907,,,random,8,0,3,14.895502560095814
4019,86,1e-10,1.0,-9.750336373041954,,,random,9,0,4,19.500672746083907
4024,86,0.2559547922699533,0.01,-7.251553406008472,,,optimal,10,2,4,17.275695534256723
4030,86,1e-05,0.01,-4.8141660364000645,,,optimal,11,2,4,12.40092079503991
4037,86,1e-10,1.0,-9.750336373041954,,,random,12,0,4,19.500672746083907
4042,86,0.2559547922699533,0.01,-7.2471345737690225,,,optimal,13,2,4,17.266857869777827
4048,86,1e-05,0.01,-5.91969082609729,,,optimal,14,2,5,15.058257477062782
4054,86,1e-05,0.01,-4.8141660364000645,,,optimal,15,2,4,12.40092079503991
4061,86,1e-10,1.0,-15.972912641113323,,,random,16,0,7,31.945825282226647
4067,86,1e-10,1.0,-15.972912641113323,,,random,17,0,7,31.945825282226647
4072,86,1e-05,0.18000000000000002,-11.193891387384717,,,optimal,18,2,8,26.546665858129106
4078,86,0.5963623316594636,0.01,-16.624926543158875,,,optimal,19,2,9,37.644302240990186
4084,86,1e-05,0.01,-3.4215794435813742,,,optimal,20,2,3,9.040383464498968
4090,86,1e-05,0.01,-3.4215794435813742,,,optimal,21,2,3,9.040383464498968
4096,86,1e-05,0.01,-4.8141660364000645,,,optimal,22,2,4,12.40092079503991
4102,86,1e-05,0.01,-6.629114438930426,,,optimal,23,2,7,17.15004917597148
4108,86,1e-05,0.01,-1.806367572991136,,,optimal,24,2,2,4.999029507102162
4114,86,1e-05,0.01,-1.806367572991136,,,optimal,25,2,2,4.999029507102162
4120,86,1e-05,0.01,-1.806367572991136,,,optimal,26,2,2,4.999029507102162
4126,86,1e-05,0.01,-1.806367572991136,,,optimal,27,2,2,4.999029507102162
4132,86,1e-05,0.45,-5.878744813408145,,,optimal,28,2,3,13.95471420415251
4138,86,1e-05,0.01,-3.4215794435813742,,,optimal,29,2,3,9.040383464498968
4145,95,1e-10,1.0,-9.750336373041954,,,random,0,0,4,19.500672746083907
4151,95,1e-10,1.0,-9.750336373041954,,,random,1,0,4,19.500672746083907
4157,95,1e-10,1.0,-15.972912641113323,,,random,2,0,7,31.945825282226647
4162,95,1e-05,0.32,-10.099793070714627,,,optimal,3,2,5,23.418461966297453
4168,95,1e-05,0.01,-1.806367572991136,,,optimal,4,2,2,4.999029507102162
4174,95,1e-05,0.01,-4.8141660364000645,,,optimal,5,2,4,12.40092079503991
4181,95,1e-10,1.0,-9.750336373041954,,,random,6,0,4,19.500672746083907
4186,95,1e-05,0.01,-4.8141660364000645,,,optimal,7,2,4,12.40092079503991
4192,95,1e-05,0.01,-3.4215794435813742,,,optimal,8,2,3,9.040383464498968
4198,95,1e-05,0.01,-3.4215794435813742,,,optimal,9,2,3,9.040383464498968
4205,95,1e-10,1.0,-9.750336373041954,,,random,10,0,4,19.500672746083907
4211,95,1e-10,1.0,-9.750336373041954,,,random,11,0,4,19.500672746083907
4216,95,1e-05,0.32,-10.099793070714627,,,optimal,12,2,5,23.418461966297453
4223,95,1e-10,1.0,-9.750336373041954,,,random,13,0,4,19.500672746083907
4228,95,1e-05,0.01,-4.8141660364000645,,,optimal,14,2,4,12.40092079503991
4234,95,1e-05,0.32,-10.099793070714627,,,optimal,15,2,5,23.418461966297453
4240,95,1e-05,0.01,-3.4215794435813742,,,optimal,16,2,3,9.040383464498968
4246,95,1e-05,0.21,-11.020294876691398,,,optimal,17,2,7,25.932410051493424
4252,95,1e-05,0.32,-10.099793070714627,,,optimal,18,2,5,23.418461966297453
4258,95,1e-05,0.01,-4.8141660364000645,,,optimal,19,2,4,12.40092079503991
4264,95,1e-05,0.01,-4.8141660364000645,,,optimal,20,2,4,12.40092079503991
4270,95,1e-05,0.01,-4.8141660364000645,,,optimal,21,2,4,12.40092079503991
4276,95,1e-05,0.01,-4.8141660364000645,,,optimal,22,2,4,12.40092079503991
4282,95,1e-05,0.32,-10.099793070714627,,,optimal,23,2,5,23.418461966297453
4288,95,1e-05,0.01,-1.806367572991136,,,optimal,24,2,2,4.999029507102162
4294,95,1e-05,0.01,-3.4215794435813742,,,optimal,25,2,3,9.040383464498968
4300,95,1e-05,0.01,-3.4215794435813742,,,optimal,26,2,3,9.040383464498968
4306,95,1e-05,0.32,-10.099793070714627,,,optimal,27,2,5,23.418461966297453
4312,95,1e-05,0.01,-6.629114438930426,,,optimal,28,2,7,17.15004917597148
4319,95,1e-10,1.0,-9.750336373041954,,,random,29,0,4,19.500672746083907
4325,97,1e-10,1.0,-22.55216385312343,,,random,0,0,13,45.10432770624686
4331,97,1e-10,1.0,-22.55216385312343,,,random,1,0,13,45.10432770624686
4337,97,1e-10,1.0,-22.55216385312343,,,random,2,0,13,45.10432770624686
4338,97,1e-10,0.47,-18.34074050296089,30.0,-30.0,depth_first,3,3,13,44.37632907830639
4349,97,1e-10,1.0,-22.55216385312343,,,random,4,0,13,45.10432770624686
4355,97,1e-10,1.0,-22.55216385312343,,,random,5,0,13,45.10432770624686
4361,97,1e-10,1.0,-22.55216385312343,,,random,6,0,13,45.10432770624686
4367,97,1e-10,1.0,-22.55216385312343,,,random,7,0,13,45.10432770624686
4368,97,1e-10,0.11,-8.414786743724258,25.0,-30.0,depth_first,8,3,13,24.52442155983313
4374,97,1e-10,0.47,-18.243326535564368,10.0,-30.0,depth_first,9,3,13,44.181501143513344
4385,97,1e-10,1.0,-22.55216385312343,,,random,10,0,13,45.10432770624686
4386,97,1e-10,0.47,-18.34074050296089,25.0,-30.0,depth_first,11,3,13,44.37632907830639
4397,97,1e-10,1.0,-22.55216385312343,,,random,12,0,13,45.10432770624686
4403,97,1e-10,1.0,-22.55216385312343,,,random,13,0,13,45.10432770624686
4409,97,1e-10,1.0,-22.55216385312343,,,random,14,0,13,45.10432770624686
4415,97,1e-10,1.0,-22.55216385312343,,,random,15,0,13,45.10432770624686
4416,97,1e-10,0.44,-16.823148951449966,30.0,-30.0,depth_first,16,3,13,41.34114597528454
4427,97,1e-10,1.0,-22.55216385312343,,,random,17,0,13,45.10432770624686
4433,97,1e-10,1.0,-22.55216385312343,,,random,18,0,13,45.10432770624686
4439,97,1e-10,1.0,-22.55216385312343,,,random,19,0,13,45.10432770624686
4440,97,1e-10,0.4,-14.843289604571314,25.0,-30.0,depth_first,20,3,13,37.38142728152724
4451,97,1e-10,1.0,-22.55216385312343,,,random,21,0,13,45.10432770624686
4457,97,1e-10,1.0,-22.55216385312343,,,random,22,0,13,45.10432770624686
4458,97,1e-10,0.47,-18.243326535564368,30.0,-30.0,depth_first,23,3,13,44.181501143513344
4469,97,1e-10,1.0,-22.55216385312343,,,random,24,0,13,45.10432770624686
4470,97,1e-10,0.5,-16.63120699613602,15.0,-30.0,depth_first,25,3,13,40.957262064656646
4481,97,1e-10,1.0,-22.55216385312343,,,random,26,0,13,45.10432770624686
4487,97,1e-10,1.0,-22.55216385312343,,,random,27,0,13,45.10432770624686
4493,97,1e-10,1.0,-22.55216385312343,,,random,28,0,13,45.10432770624686
4499,97,1e-10,1.0,-22.55216385312343,,,random,29,0,13,45.10432770624686
4505,101,1e-10,1.0,-7.447751280047907,,,random,0,0,3,14.895502560095814
4509,101,2.44205309454865,0.01,-3.073377882218023,5.0,-30.0,best_first,1,4,4,11.691933208915607
4517,101,1e-10,1.0,-9.750336373041954,,,random,2,0,4,19.500672746083907
4523,101,1e-10,1.0,-9.750336373041954,,,random,3,0,4,19.500672746083907
4529,101,1e-10,1.0,-15.972912641113323,,,random,4,0,7,31.945825282226647
4534,101,1e-05,0.01,-3.4215794435813742,,,optimal,5,2,3,9.040383464498968
4540,101,1e-05,0.01,-3.4215794435813742,,,optimal,6,2,3,9.040383464498968
4546,101,1e-05,0.01,-1.806367572991136,,,optimal,7,2,2,4.999029507102162
4552,101,1e-05,0.01,-6.620506064393825,,,optimal,8,2,6,16.82453106724376
4558,101,1e-05,0.26,-10.928757134878204,,,optimal,9,2,6,25.441033208212517
4564,101,1e-05,0.21,-11.020294876691398,,,optimal,10,2,7,25.932410051493424
4570,101,1e-05,0.01,-1.806367572991136,,,optimal,11,2,2,4.999029507102162
4576,101,1e-05,0.01,-1.806367572991136,,,optimal,12,2,2,4.999029507102162
4582,101,1e-05,0.32,-10.099793070714627,,,optimal,13,2,5,23.418461966297453
4588,101,1e-05,0.01,-1.806367572991136,,,optimal,14,2,2,4.999029507102162
4594,101,1e-05,0.01,-1.806367572991136,,,optimal,15,2,2,4.999029507102162
4600,101,1e-05,0.01,-3.4215794435813742,,,optimal,16,2,3,9.040383464498968
4606,101,1e-05,0.32,-10.099793070714627,,,optimal,17,2,5,23.418461966297453
4612,101,1e-05,0.01,-5.91969082609729,,,optimal,18,2,5,15.058257477062782
4618,101,1e-05,0.01,-5.91969082609729,,,optimal,19,2,5,15.058257477062782
4624,101,1e-05,0.01,-1.806367572991136,,,optimal,20,2,2,4.999029507102162
4630,101,1e-05,0.01,-3.4215794435813742,,,optimal,21,2,3,9.040383464498968
4636,101,1e-05,0.21,-11.020294876691398,,,optimal,22,2,7,25.932410051493424
4642,101,1e-05,0.21,-11.020294876691398,,,optimal,23,2,7,25.932410051493424
4648,101,1e-05,0.01,-3.4215794435813742,,,optimal,24,2,3,9.040383464498968
4654,101,1e-05,0.01,-3.4215794435813742,,,optimal,25,2,3,9.040383464498968
4660,101,1e-05,0.01,-4.8141660364000645,,,optimal,26,2,4,12.40092079503991
4667,101,1e-10,1.0,-9.750336373041954,,,random,27,0,4,19.500672746083907
4672,101,1e-05,0.01,-4.8141660364000645,,,optimal,28,2,4,12.40092079503991
4678,101,1e-05,0.01,-4.8141660364000645,,,optimal,29,2,4,12.40092079503991
4681,105,1e-10,0.01,-7.0446902244713785,5.0,-30.0,breadth_first,0,3,9,20.681054180951413
4691,105,1e-10,1.0,-22.55216385312343,,,random,1,0,13,45.10432770624686
4697,105,1e-10,1.0,-21.85901667256348,,,random,2,0,11,43.71803334512696
4702,105,0.3393221771895329,0.01,-9.692985492843736,,,optimal,3,2,5,22.60484681055567
4708,105,1e-05,0.53,-19.02353488372621,,,optimal,4,2,11,42.84286031304916
4715,105,1e-10,1.0,-17.76467211034138,,,random,5,0,8,35.52934422068276
4721,105,1e-10,1.0,-11.947560950378175,,,random,6,0,5,23.89512190075635
4726,105,1e-05,0.21,-11.149242609648264,,,optimal,7,2,7,26.190305517407154
4732,105,1e-05,0.01,-1.806367572991136,,,optimal,8,2,2,4.999029507102162
4739,105,1e-10,1.0,-22.55216385312343,,,random,9,0,13,45.10432770624686
4744,105,0.10985411419875572,0.19,-13.880152975571836,,,optimal,10,2,9,32.15475510581611
4750,105,1e-05,0.01,-3.4215794435813742,,,optimal,11,2,3,9.040383464498968
4756,105,1e-05,0.13,-12.336589642840655,,,optimal,12,2,11,29.468969831278052
4762,105,1e-05,0.01,-3.4215794435813742,,,optimal,13,2,3,9.040383464498968
4768,105,1e-05,0.01,-3.4215794435813742,,,optimal,14,2,3,9.040383464498968
4774,105,1e-05,0.01,-6.629114438930426,,,optimal,15,2,7,17.15004917597148
4780,105,1e-05,0.21,-11.020294876691398,,,optimal,16,2,7,25.932410051493424
4786,105,1e-05,0.01,-5.91969082609729,,,optimal,17,2,5,15.058257477062782
4792,105,1e-05,0.01,-6.620506064393825,,,optimal,18,2,6,16.82453106724376
4798,105,1e-05,0.01,-4.8141660364000645,,,optimal,19,2,4,12.40092079503991
4804,105,1e-05,0.01,-6.629114438930426,,,optimal,20,2,7,17.15004917597148
4810,105,1e-05,0.01,-6.629114438930426,,,optimal,21,2,7,17.15004917597148
4816,105,1e-05,0.01,-1.806367572991136,,,optimal,22,2,2,4.999029507102162
4822,105,1e-05,0.28,-16.073306417531487,,,optimal,23,2,11,36.94240338065971
4828,105,1e-05,0.01,-3.4215794435813742,,,optimal,24,2,3,9.040383464498968
4834,105,1e-05,0.01,-3.4215794435813742,,,optimal,25,2,3,9.040383464498968
4840,105,1e-05,0.01,-1.806367572991136,,,optimal,26,2,2,4.999029507102162
4846,105,1e-05,0.01,-1.806367572991136,,,optimal,27,2,2,4.999029507102162
4852,105,1e-05,0.01,-1.806367572991136,,,optimal,28,2,2,4.999029507102162
4859,105,1e-10,1.0,-15.972912641113323,,,random,29,0,7,31.945825282226647
4865,118,1e-10,1.0,-22.55216385312343,,,random,0,0,13,45.10432770624686
4871,118,1e-10,1.0,-22.55216385312343,,,random,1,0,13,45.10432770624686
4877,118,1e-10,1.0,-22.55216385312343,,,random,2,0,13,45.10432770624686
4883,118,1e-10,1.0,-22.55216385312343,,,random,3,0,13,45.10432770624686
4889,118,1e-10,1.0,-22.55216385312343,,,random,4,0,13,45.10432770624686
4895,118,1e-10,1.0,-22.55216385312343,,,random,5,0,13,45.10432770624686
4901,118,1e-10,1.0,-22.55216385312343,,,random,6,0,13,45.10432770624686
4907,118,1e-10,1.0,-22.55216385312343,,,random,7,0,13,45.10432770624686
4913,118,1e-10,1.0,-22.55216385312343,,,random,8,0,13,45.10432770624686
4919,118,1e-10,1.0,-22.55216385312343,,,random,9,0,13,45.10432770624686
4925,118,1e-10,1.0,-22.55216385312343,,,random,10,0,13,45.10432770624686
4931,118,1e-10,1.0,-22.55216385312343,,,random,11,0,13,45.10432770624686
4937,118,1e-10,1.0,-22.55216385312343,,,random,12,0,13,45.10432770624686
4943,118,1e-10,1.0,-22.55216385312343,,,random,13,0,13,45.10432770624686
4949,118,1e-10,1.0,-22.55216385312343,,,random,14,0,13,45.10432770624686
4950,118,1e-10,0.35000000000000003,-16.321652513036696,25.0,-30.0,depth_first,15,3,13,40.338153098458
4961,118,1e-10,1.0,-22.55216385312343,,,random,16,0,13,45.10432770624686
4967,118,1e-10,1.0,-22.55216385312343,,,random,17,0,13,45.10432770624686
4973,118,1e-10,1.0,-22.55216385312343,,,random,18,0,13,45.10432770624686
4979,118,1e-10,1.0,-22.55216385312343,,,random,19,0,13,45.10432770624686
4985,118,1e-10,1.0,-22.55216385312343,,,random,20,0,13,45.10432770624686
4986,118,1e-10,0.47,-18.243326535564368,15.0,-30.0,depth_first,21,3,13,44.181501143513344
4997,118,1e-10,1.0,-22.55216385312343,,,random,22,0,13,45.10432770624686
5003,118,1e-10,1.0,-22.55216385312343,,,random,23,0,13,45.10432770624686
5009,118,1e-10,1.0,-22.55216385312343,,,random,24,0,13,45.10432770624686
5015,118,1e-10,1.0,-22.55216385312343,,,random,25,0,13,45.10432770624686
5021,118,1e-10,1.0,-22.55216385312343,,,random,26,0,13,45.10432770624686
5027,118,1e-10,1.0,-22.55216385312343,,,random,27,0,13,45.10432770624686
5033,118,1e-10,1.0,-22.55216385312343,,,random,28,0,13,45.10432770624686
5039,118,1e-10,1.0,-22.55216385312343,,,random,29,0,13,45.10432770624686
5045,119,1e-10,1.0,-7.447751280047907,,,random,0,0,3,14.895502560095814
5046,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,1,3,1,5.1298987149230735
5052,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,2,3,1,5.1298987149230735
5058,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,3,3,1,5.1298987149230735
5064,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,4,3,1,5.1298987149230735
5070,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,5,3,1,5.1298987149230735
5076,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,6,3,1,5.1298987149230735
5082,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,7,3,1,5.1298987149230735
5088,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,8,3,1,5.1298987149230735
5094,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,9,3,1,5.1298987149230735
5100,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,10,3,1,5.1298987149230735
5106,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,11,3,1,5.1298987149230735
5112,119,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,12,3,1,5.1298987149230735
5123,119,1e-10,1.0,-5.049856007249537,,,random,13,0,2,10.099712014499074
5129,119,1e-10,1.0,-5.049856007249537,,,random,14,0,2,10.099712014499074
5135,119,1e-10,1.0,-5.049856007249537,,,random,15,0,2,10.099712014499074
5141,119,1e-10,1.0,-5.049856007249537,,,random,16,0,2,10.099712014499074
5147,119,1e-10,1.0,-5.049856007249537,,,random,17,0,2,10.099712014499074
5153,119,1e-10,1.0,-5.049856007249537,,,random,18,0,2,10.099712014499074
5159,119,1e-10,1.0,-5.049856007249537,,,random,19,0,2,10.099712014499074
5165,119,1e-10,1.0,-5.049856007249537,,,random,20,0,2,10.099712014499074
5171,119,1e-10,1.0,-5.049856007249537,,,random,21,0,2,10.099712014499074
5177,119,1e-10,1.0,-5.049856007249537,,,random,22,0,2,10.099712014499074
5183,119,1e-10,1.0,-5.049856007249537,,,random,23,0,2,10.099712014499074
5189,119,1e-10,1.0,-5.049856007249537,,,random,24,0,2,10.099712014499074
5195,119,1e-10,1.0,-5.049856007249537,,,random,25,0,2,10.099712014499074
5201,119,1e-10,1.0,-5.049856007249537,,,random,26,0,2,10.099712014499074
5207,119,1e-10,1.0,-5.049856007249537,,,random,27,0,2,10.099712014499074
5213,119,1e-10,1.0,-5.049856007249537,,,random,28,0,2,10.099712014499074
5219,119,1e-10,1.0,-5.049856007249537,,,random,29,0,2,10.099712014499074
5221,123,1e-10,0.3,-6.258384628111334,5.0,-30.0,breadth_first,0,3,4,16.67565233958234
5227,123,1e-10,0.48,-9.48810700998094,5.0,-30.0,breadth_first,1,3,5,23.804527757264182
5237,123,1e-10,1.0,-15.972912641113323,,,random,2,0,7,31.945825282226647
5242,123,0.2559547922699533,0.01,-11.654577691121164,,,optimal,3,2,7,27.200975680352954
5249,123,1e-10,1.0,-15.972912641113323,,,random,4,0,7,31.945825282226647
5254,123,1e-05,0.01,-6.629114438930426,,,optimal,5,2,7,17.15004917597148
5260,123,0.4498432668969444,0.01,-17.138056358885983,,,optimal,6,2,10,38.88128290376006
5266,123,0.2559547922699533,0.01,-10.177699756930943,,,optimal,7,2,6,23.938918452317996
5272,123,1e-05,0.01,-6.620506064393825,,,optimal,8,2,6,16.82453106724376
5279,123,1e-10,1.0,-15.972912641113323,,,random,9,0,7,31.945825282226647
5284,123,1e-05,0.01,-6.629114438930426,,,optimal,10,2,7,17.15004917597148
5290,123,1e-05,0.3,-9.18460702534004,,,optimal,11,2,5,21.588089875548278
5297,123,1e-10,1.0,-21.85901667256348,,,random,12,0,11,43.71803334512696
5302,123,0.4498432668969444,0.01,-13.921943781225641,,,optimal,13,2,7,31.73570786056191
5308,123,1e-05,0.21,-11.149242609648264,,,optimal,14,2,7,26.190305517407154
5314,123,0.3393221771895329,0.01,-10.15248398143198,,,optimal,15,2,5,23.523843787732158
5321,123,1e-10,1.0,-15.972912641113323,,,random,16,0,7,31.945825282226647
5327,123,1e-10,1.0,-21.85901667256348,,,random,17,0,11,43.71803334512696
5332,123,1e-05,0.26,-14.954705112156846,,,optimal,18,2,11,34.705200769910434
5338,123,1e-05,0.01,-3.4215794435813742,,,optimal,19,2,3,9.040383464498968
5344,123,1e-05,0.01,-4.8141660364000645,,,optimal,20,2,4,12.40092079503991
5350,123,1e-05,0.36000000000000004,-14.068803969141312,,,optimal,21,2,8,32.2964910216423
5356,123,1e-05,0.16,-12.233011372547836,,,optimal,22,2,9,28.86047189976811
5362,123,1e-05,0.01,-5.91969082609729,,,optimal,23,2,5,15.058257477062782
5369,123,1e-10,1.0,-17.76467211034138,,,random,24,0,8,35.52934422068276
5375,123,1e-10,1.0,-17.76467211034138,,,random,25,0,8,35.52934422068276
5380,123,1e-05,0.01,-5.91969082609729,,,optimal,26,2,5,15.058257477062782
5386,123,1e-05,0.01,-6.620506064393825,,,optimal,27,2,6,16.82453106724376
5392,123,1e-05,0.01,-5.91969082609729,,,optimal,28,2,5,15.058257477062782
5398,123,1e-05,0.01,-4.8141660364000645,,,optimal,29,2,4,12.40092079503991
5405,124,1e-10,1.0,-22.55216385312343,,,random,0,0,12,45.10432770624686
