pid,temp,p_error,logp,satisfice,prune,model,trial_idx
310,1e-10,0.36000000000000004,-11.506904080758456,10,-30,depth_first,0
310,1e-10,0.35000000000000003,-10.945884896984296,5,-30,breadth_first,0
310,1e-10,0.55,-13.878110764589833,10,-30,progressive_deepening,0
310,2.44205309454865,0.01,-5.046575318700028,10,-30,best_first,0
310,1e-05,0.86,-15.645154125122428,,,optimal,0
310,1e-10,1.0,-15.972912641113323,,,random,0
310,1e-10,0.24000000000000002,-13.792458695248607,30,-10,depth_first,1
310,1e-10,0.47000000000000003,-17.403116422681542,30,-10,breadth_first,1
310,1e-10,0.5,-18.752470032669194,30,-10,progressive_deepening,1
310,1e-05,0.01,-3.958168127266893,30,-10,best_first,1
310,1e-05,0.8,-21.090665641823545,,,optimal,1
310,1e-10,1.0,-21.85901667256348,,,random,1
310,1e-10,0.7100000000000001,-20.45420410659823,5,-30,depth_first,2
310,1e-10,0.6900000000000001,-20.001955396420197,5,-30,breadth_first,2
310,1e-10,0.87,-21.60280570295062,5,-30,progressive_deepening,2
310,10.0,0.55,-19.65997394349333,5,-30,best_first,2
310,10.0,0.01,-21.484574353252732,,,optimal,2
310,1e-10,1.0,-21.85901667256348,,,random,2
310,1e-10,0.8400000000000001,-22.00620415081601,10,-30,depth_first,3
310,1e-10,0.8200000000000001,-21.64763755870167,5,-30,breadth_first,3
310,1e-10,1.0,-22.552163853123425,5,-30,progressive_deepening,3
310,2.44205309454865,0.64,-20.11014835657144,10,-30,best_first,3
310,4.291934260128778,0.01,-21.326625207482262,,,optimal,3
310,1e-10,1.0,-22.552163853123425,,,random,3
310,1e-10,1.0,-22.552163853123425,5,-30,depth_first,4
310,1e-10,0.68,-20.652487925094395,25,-30,breadth_first,4
310,1e-10,1.0,-22.552163853123425,5,-30,progressive_deepening,4
310,1e-05,0.63,-19.42477836746028,25,-30,best_first,4
310,5.689866029018293,0.01,-21.614940431834615,,,optimal,4
310,1e-10,1.0,-22.552163853123425,,,random,4
310,1e-10,1.0,-22.552163853123425,5,-30,depth_first,5
310,1e-10,0.67,-20.549665769745882,30,-30,breadth_first,5
310,1e-10,1.0,-22.552163853123425,5,-30,progressive_deepening,5
310,7.543120063354607,0.6900000000000001,-20.97348378250024,30,-30,best_first,5
310,1.389495494373136,0.01,-20.755583694089406,,,optimal,5
310,1e-10,1.0,-22.552163853123425,,,random,5
310,1e-10,1.0,-22.552163853123425,5,-30,depth_first,6
310,1e-10,0.8400000000000001,-21.82782882040687,5,-30,breadth_first,6
310,1e-10,1.0,-22.552163853123425,5,-30,progressive_deepening,6
310,10.0,0.98,-22.54724306117197,5,-30,best_first,6
310,1e-05,0.74,-21.63193626310393,,,optimal,6
310,1e-10,1.0,-22.552163853123425,,,random,6
310,1e-10,1.0,-22.552163853123425,5,-30,depth_first,7
310,1e-10,0.8400000000000001,-21.82782882040687,5,-30,breadth_first,7
310,1e-10,1.0,-22.552163853123425,5,-30,progressive_deepening,7
310,3.2374575428176398,0.92,-22.43174856848735,5,-30,best_first,7
310,1e-05,0.77,-21.447812172707206,,,optimal,7
310,1e-10,1.0,-22.552163853123425,,,random,7
310,1e-10,0.99,-19.372451837773717,5,-30,depth_first,8
310,1e-10,0.67,-17.35981866265586,5,-30,breadth_first,8
310,1e-10,0.99,-19.372451837773717,5,-30,progressive_deepening,8
310,10.0,0.73,-18.455642926253663,5,-30,best_first,8
310,1e-05,0.8,-18.58188655582906,,,optimal,8
310,1e-10,1.0,-19.37411002277548,,,random,8
310,1e-10,1.0,-21.85901667256348,5,-30,depth_first,9
310,1e-10,0.78,-20.778468582610735,5,-30,breadth_first,9
310,1e-10,1.0,-21.85901667256348,5,-30,progressive_deepening,9
310,1e-05,0.78,-20.778468582610735,5,-30,best_first,9
310,1e-05,0.51,-18.520944557003407,,,optimal,9
310,1e-10,1.0,-21.85901667256348,,,random,9
310,1e-10,1.0,-19.37411002277548,5,-30,depth_first,10
310,1e-10,1.0,-19.37411002277548,5,-30,breadth_first,10
310,1e-10,1.0,-19.37411002277548,5,-30,progressive_deepening,10
310,1e-05,1.0,-19.37411002277548,5,-30,best_first,10
310,1.389495494373136,0.01,-19.09505092994944,,,optimal,10
310,1e-10,1.0,-19.37411002277548,,,random,10
310,1e-10,1.0,-19.37411002277548,5,-30,depth_first,11
310,1e-10,1.0,-19.37411002277548,5,-30,breadth_first,11
310,1e-10,1.0,-19.37411002277548,5,-30,progressive_deepening,11
310,1e-05,1.0,-19.37411002277548,5,-30,best_first,11
310,1e-05,0.31,-14.38309004665401,,,optimal,11
310,1e-10,1.0,-19.37411002277548,,,random,11
310,1e-10,1.0,-22.552163853123425,5,-30,depth_first,12
310,1e-10,1.0,-22.552163853123425,5,-30,breadth_first,12
310,1e-10,1.0,-22.552163853123425,5,-30,progressive_deepening,12
310,1e-05,1.0,-22.552163853123425,5,-30,best_first,12
310,3.2374575428176398,0.01,-22.240077820240046,,,optimal,12
310,1e-10,1.0,-22.552163853123425,,,random,12
310,1e-10,1.0,-19.37411002277548,5,-30,depth_first,13
310,1e-10,1.0,-19.37411002277548,5,-30,breadth_first,13
310,1e-10,1.0,-19.37411002277548,5,-30,progressive_deepening,13
310,1e-05,1.0,-19.37411002277548,5,-30,best_first,13
310,0.5963623316594636,0.01,-17.118952436378862,,,optimal,13
310,1e-10,1.0,-19.37411002277548,,,random,13
310,1e-10,1.0,-20.76040438389537,5,-30,depth_first,14
310,1e-10,1.0,-20.76040438389537,5,-30,breadth_first,14
310,1e-10,1.0,-20.76040438389537,5,-30,progressive_deepening,14
310,1e-05,1.0,-20.76040438389537,5,-30,best_first,14
310,1.0481131341546852,0.01,-20.10254680950436,,,optimal,14
310,1e-10,1.0,-20.76040438389537,,,random,14
310,1e-10,1.0,-21.85901667256348,5,-30,depth_first,15
310,1e-10,1.0,-21.85901667256348,5,-30,breadth_first,15
310,1e-10,1.0,-21.85901667256348,5,-30,progressive_deepening,15
310,1e-05,1.0,-21.85901667256348,5,-30,best_first,15
310,0.5963623316594636,0.01,-18.956251436516382,,,optimal,15
310,1e-10,1.0,-21.85901667256348,,,random,15
310,1e-10,1.0,-21.85901667256348,5,-30,depth_first,16
310,1e-10,1.0,-21.85901667256348,5,-30,breadth_first,16
310,1e-10,1.0,-21.85901667256348,5,-30,progressive_deepening,16
310,1e-05,1.0,-21.85901667256348,5,-30,best_first,16
310,0.5963623316594636,0.01,-19.85794657378866,,,optimal,16
310,1e-10,1.0,-21.85901667256348,,,random,16
