action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[3742, 52541, 57110]","[u'up', u'up', u'left']",training,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -8, -48]","[3703, 6211, 4029]",-58.0,"[None, None, None]","[u'', -2, -8, -48, -48, -4, -8, 24, 24, 4, -4, 48, -24]",185053,1.0,62253.0,-3.02731726069e+18,mouselab-mdp,107
"[5634, 56638, 57751]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 24]","[5622, 8453, 582]",30.0,"[None, None, None]","[u'', -2, -4, -48, -48, 2, -8, -24, -24, 2, 4, 24, 24]",247762,2.0,61556.0,-7.65696612779e+18,mouselab-mdp,107
"[12040, 52472, 54617]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2'], u'time': [8228]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -8, -24]","[12023, 1890, 1627]",-31.0,"[None, None, None]","[u'', 2, 8, 24, -24, 2, -8, -24, -24, 4, -8, 48, 48]",306453,3.0,57521.0,-3.20049588135e+18,mouselab-mdp,107
"[15587, 61292, 67980]","[u'up', u'up', u'left']",training,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10'], u'time': [9390]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 8, 24]","[15572, 4157, 6168]",29.0,"[None, None, None]","[u'', -2, 8, -24, 24, -4, 8, 48, 24, -2, -4, 24, -48]",380508,4.0,72850.0,2.56147591953e+18,mouselab-mdp,107
"[30823, 70054, 71688]","[u'up', u'up', u'left']",training,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'7', u'3', u'2'], u'time': [9748, 13136, 15630, 21444]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, -4, 24]","[30812, 25692, 1111]",12.0,"[None, None, None]","[u'', -4, -4, -24, 24, 2, -4, 24, -48, -2, 8, -48, -48]",460597,5.0,78874.0,-1.38962569557e+18,mouselab-mdp,107
"[10585, 12050, 15778]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'4'], u'time': [3879, 6166]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, -48]","[10575, 948, 3209]",-42.0,"[None, None, None]","[u'', 4, 4, -48, 48, -2, 4, -48, -24, -2, -4, -48, 24]",493954,6.0,32125.0,-5.00680981918e+18,mouselab-mdp,107
"[15079, 47888, 50694]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'3', u'4', u'2'], u'time': [5414, 7107, 8949, 13978]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 24]","[15050, 21264, 2279]",20.0,"[None, None, None]","[u'', -4, 4, 24, 24, 2, 8, -24, 24, -4, 4, -24, 48]",549411,7.0,54246.0,5.34744023932e+18,mouselab-mdp,107
"[16316, 17602, 19014]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'4'], u'time': [3072, 7443]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 4, -24]","[16305, 754, 888]",-24.0,"[None, None, None]","[u'', -4, 4, 24, -24, -2, 4, 48, -24, -4, -8, -48, 48]",572408,8.0,21872.0,8.58865579534e+17,mouselab-mdp,107
"[2735, 48025, 49865]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -4, 24]","[2712, 2740, 1313]",18.0,"[None, None, None]","[u'', -2, -4, 24, -48, -4, 8, -24, -24, 4, -4, -48, 24]",627265,9.0,53624.0,1.39930365593e+18,mouselab-mdp,107
"[15863, 22162, 29253]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'8', u'12', u'11'], u'time': [3725, 4886, 6451, 8002, 13444]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, -48]","[15856, 5774, 6567]",-57.0,"[None, None, None]","[u'', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",664709,10.0,36286.0,-4.56949664606e+18,mouselab-mdp,107
"[15118, 16106, 19420]","[u'left', u'left', u'down']",test,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'7', u'2', u'3', u'4'], u'time': [4681, 5822, 7343, 8218, 9899]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 4, -48]","[15105, 469, 2796]",-51.0,"[None, None, None]","[u'', 2, -4, 24, 24, -4, 4, -24, -24, -2, 4, -24, -48]",702815,11.0,21929.0,7.86254308938e+18,mouselab-mdp,107
"[4831, 5776, 8303]","[u'up', u'up', u'right']",test,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, -48]","[4820, 431, 2005]",-40.0,"[None, None, None]","[u'', 4, 4, -48, 48, 4, 4, -24, -24, 2, -8, 48, -24]",715652,12.0,11677.0,3.80267392762e+18,mouselab-mdp,107
"[4981, 6236, 8677]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8'], u'time': [2268]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -4, 48]","[4970, 735, 1911]",45.0,"[None, None, None]","[u'', -2, -4, 48, -24, 2, -4, 48, 24, -2, -8, -24, -24]",728572,13.0,11698.0,2.59386444745e+18,mouselab-mdp,107
"[8427, 9246, 11099]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'12', u'2'], u'time': [3081, 4432, 6137]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 24]","[8419, 303, 1340]",25.0,"[None, None, None]","[u'', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",743410,14.0,13683.0,3.41976950562e+18,mouselab-mdp,107
