PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,time_limit,version
none,1.2,0.01,True,1,24,4,False,after_each_move,1.25,none,0,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",119.75,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,1,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-112.0,True,1.8
none,1.17,0.01,True,0,24,4,False,after_each_move,0.1,none,2,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",117.0,True,1.8
none,0.4,0.01,True,0,24,4,False,after_each_move,0.1,none,3,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",40.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,4,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",0.0,True,1.8
none,0.58,0.01,True,1,24,4,False,after_each_move,1.25,none,5,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",57.5,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,6,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-40.0,True,1.8
none,0.0,0.01,True,0,24,4,False,after_each_move,0.1,none,7,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",-104.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,8,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-32.0,True,1.8
none,3.11,0.01,True,0,24,4,False,after_each_move,0.1,none,9,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",311.4,True,1.8
none,2.61,0.01,True,0,24,4,False,after_each_move,0.1,none,10,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",260.5,True,1.8
none,2.85,0.01,True,0,24,4,False,after_each_move,0.1,none,11,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",284.6,True,1.8
none,3.42,0.01,True,0,24,4,False,after_each_move,0.1,none,12,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",342.4,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,13,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,1.0,0.01,True,1,24,4,False,after_each_move,1.25,none,14,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",99.5,True,1.8
none,0.84,0.01,True,1,24,4,False,after_each_move,1.25,none,15,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",84.25,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,16,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,17,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-40.0,True,1.8
none,0.99,0.01,True,1,24,4,False,after_each_move,1.25,none,18,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",98.75,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,19,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,0.0,0.01,False,1,24,4,False,after_each_move,1.25,none,20,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,True,1.8
none,0.0,0.01,True,0,24,4,False,after_each_move,0.1,none,21,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",-16.0,True,1.8
none,2.77,0.01,True,0,24,4,False,after_each_move,0.1,none,22,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",276.9,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,23,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-68.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,24,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-52.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,25,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-84.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,26,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-144.0,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,27,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,0.76,0.01,True,1,24,4,False,after_each_move,1.25,none,28,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",76.0,True,1.8
none,0.96,0.01,True,1,24,4,False,after_each_move,1.25,none,29,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",96.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,30,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-272.0,True,1.8
none,0.87,0.01,True,1,24,4,False,after_each_move,1.25,none,31,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",87.0,True,1.8
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,32,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-8.0,True,1.8
none,3.44,0.01,True,0,24,4,False,after_each_move,0.1,none,33,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",343.6,True,1.8
none,3.47,0.01,True,0,24,4,False,after_each_move,0.1,none,34,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",346.8,True,1.8
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,35,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-9.25,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,36,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-44.0,True,1.8
none,3.43,0.01,True,0,24,4,False,after_each_move,0.1,none,37,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",343.0,True,1.8
none,0.0,0.01,False,0,24,4,False,after_each_move,0.1,none,38,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",,True,1.8
none,0.52,0.01,True,2,24,4,False,after_each_move,4.0,none,39,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",52.0,True,1.8
none,0.24,0.01,True,0,24,4,False,after_each_move,0.1,none,40,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",23.8,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,41,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,1.06,0.01,True,1,24,4,False,after_each_move,1.25,none,42,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",105.75,True,1.8
none,0.4,0.01,True,2,24,4,False,after_each_move,4.0,none,43,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",40.0,True,1.8
none,1.74,0.01,True,1,24,4,False,after_each_move,1.25,none,44,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",174.0,True,1.8
none,3.03,0.01,True,0,24,4,False,after_each_move,0.1,none,45,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",303.4,True,1.8
none,1.63,0.01,True,0,24,4,False,after_each_move,0.1,none,46,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",162.7,True,1.8
none,0.0,0.01,False,0,24,4,False,after_each_move,0.1,none,47,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,48,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-40.0,True,1.8
none,0.16,0.01,True,1,24,4,False,after_each_move,1.25,none,49,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",16.0,True,1.8
none,0.32,0.01,True,1,24,4,False,after_each_move,1.25,none,50,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",31.75,True,1.8
none,1.18,0.01,True,1,24,4,False,after_each_move,1.25,none,51,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",117.75,True,1.8
none,3.54,0.01,True,0,24,4,False,after_each_move,0.1,none,52,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",354.1,True,1.8
none,0.28,0.01,True,2,24,4,False,after_each_move,4.0,none,53,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",28.0,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,54,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,2.24,0.01,True,0,24,4,False,after_each_move,0.1,none,55,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",223.9,True,1.8
none,0.71,0.01,True,1,24,4,False,after_each_move,1.25,none,56,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",70.75,True,1.8
none,1.15,0.01,True,1,24,4,False,after_each_move,1.25,none,57,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",114.75,True,1.8
none,0.36,0.01,True,2,24,4,False,after_each_move,4.0,none,58,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",36.0,True,1.8
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,59,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",,True,1.8
none,2.52,0.01,True,0,24,4,False,after_each_move,0.1,none,60,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",251.9,True,1.8
none,3.43,0.01,True,0,24,4,False,after_each_move,0.1,none,61,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",343.2,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,62,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-184.0,True,1.8
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,63,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",0.0,True,1.8
none,0.0,0.01,True,0,24,4,False,after_each_move,0.1,none,64,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",-48.0,True,1.8
none,3.13,0.01,True,0,24,4,False,after_each_move,0.1,none,65,"[4.645176951827218, 0.04783056305614096, 0.044789706164195975, 0.9338160228125272, 0.9994239339903965]",313.3,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,66,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-156.0,True,1.8
none,0.36,0.01,True,2,24,4,False,after_each_move,4.0,none,67,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",36.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,68,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-376.0,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,69,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-128.0,True,1.8
none,0.88,0.01,True,2,24,4,False,after_each_move,4.0,none,70,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",88.0,True,1.8
none,0.53,0.01,True,1,24,4,False,after_each_move,1.25,none,71,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",52.5,True,1.8
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,72,"[1.0066519566667151, 0.9887916151065947, -0.00820497960640427, 0.006948313322695628, 1.0003951332873617]",-8.0,True,1.8
