action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[7533, 9405, 12197]","[u'right', u'right', u'down']",,,[],[],,"[u'1', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'10', u'11'], u'time': [3614, 5865, 6743]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7532, 1349, 2257]",5.0,,726389,11.0,4.0,mouselab-mdp,,0
"[9508, 11308, 13164]","[u'up', u'up', u'right']",,,[],[],,"[u'1', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'17', u'16', u'8', u'7', u'13', u'3'], u'time': [936, 2080, 2737, 3619, 4890, 6469, 7528, 8466]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9508, 1255, 1344]",30.0,,793003,12.0,15.0,mouselab-mdp,,0
"[5385, 7561, 10856]","[u'up', u'up', u'left']",,,[],[],,"[u'1', 3, 7, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'4', u'8', u'7', u'13'], u'time': [663, 1585, 2594, 3889, 9378]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5385, 1646, 2758]",42.0,,845874,13.0,5.0,mouselab-mdp,,0
"[2418, 3466, 5890]","[u'left', u'left', u'up']",,,[],[],,"[u'1', 4, 8, 14]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'14'], u'time': [676, 4726]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2418, 522, 1896]",60.0,,893449,14.0,0.0,mouselab-mdp,,0
"[10101, 11061, 12437]","[u'up', u'up', u'right']",,,[],[],,"[u'1', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'9', u'16', u'17', u'5', u'7', u'13'], u'time': [1247, 2119, 3134, 4833, 5827, 7595, 8637]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10101, 420, 845]",48.0,,941112,15.0,2.0,mouselab-mdp,,0
"[7858, 9274, 10994]","[u'right', u'right', u'down']",,,[],[],,"[u'1', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'6', u'10', u'11'], u'time': [3225, 4563, 5613, 6431]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7858, 877, 1180]",53.0,,990303,16.0,6.0,mouselab-mdp,,0
"[3002, 4003, 6003]","[u'up', u'up', u'left']",,,[],[],,"[u'1', 3, 7, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 3, 12], u'time': [1009, 2008, 5006]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],47.0,,206839,1.0,13.0,mouselab-mdp,,1
"[6001, 7001, 9001]","[u'up', u'up', u'right']",,,[],[],,"[u'1', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 6, 3, 4, 7, 12], u'time': [1006, 2006, 3006, 4007, 5006, 8005]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],49.0,,223709,2.0,2.0,mouselab-mdp,,1
"[5001, 6001, 8000]","[u'up', u'up', u'right']",,,[],[],,"[u'1', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 3, 7, 4, 12], u'time': [1006, 2005, 3005, 4005, 7005]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],35.0,,236064,3.0,1.0,mouselab-mdp,,1
"[5000, 5999, 8999]","[u'right', u'right', u'up']",,,[],[],,"[u'1', 2, 6, 10]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [2, 3, 4, 6, 11, 10], u'time': [1007, 2005, 3005, 4004, 7004, 8004]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,[],47.0,,249136,4.0,10.0,mouselab-mdp,,1
