PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,score,test_idx,version
none,1.09,0.005,True,0,18,8,False,after_each_move,1,none,77,218.0,"[15, 11, 4, 14, 3, 0]",1C.0
featureBased,1.8,0.005,True,1,18,8,True,after_each_move,1,full,78,359.0,"[14, 2, 8, 5, 3, 6]",1C.0
featureBased,3.05,0.005,True,1,18,8,True,after_each_move,1,full,79,609.0,"[2, 10, 13, 14, 1, 9]",1C.0
demonstration,3.44,0.005,True,2,18,8,False,after_each_move,1,full,80,687.0,"[10, 13, 11, 15, 4, 1]",1C.0
none,2.83,0.005,True,0,18,8,False,after_each_move,1,none,81,565.0,"[2, 11, 5, 6, 13, 3]",1C.0
demonstration,3.22,0.005,True,2,18,8,False,after_each_move,1,full,82,643.0,"[9, 14, 1, 12, 10, 8]",1C.0
demonstration,3.41,0.005,True,2,18,8,False,after_each_move,1,full,83,682.0,"[12, 13, 5, 3, 10, 9]",1C.0
demonstration,3.23,0.005,True,2,18,8,False,after_each_move,1,full,84,646.0,"[5, 14, 3, 1, 10, 6]",1C.0
none,1.96,0.005,True,0,18,8,False,after_each_move,1,none,85,392.0,"[9, 4, 1, 10, 0, 12]",1C.0
none,0.78,0.005,True,0,18,8,False,after_each_move,1,none,86,156.0,"[14, 3, 15, 11, 0, 7]",1C.0
featureBased,3.21,0.005,True,1,18,8,True,after_each_move,1,full,87,641.0,"[5, 2, 7, 3, 11, 15]",1C.0
demonstration,3.37,0.005,True,2,18,8,False,after_each_move,1,full,88,673.0,"[9, 12, 13, 6, 5, 1]",1C.0
featureBased,3.4,0.005,True,1,18,8,True,after_each_move,1,full,89,680.0,"[8, 0, 7, 12, 6, 14]",1C.0
none,0.74,0.005,True,0,18,8,False,after_each_move,1,none,90,147.0,"[5, 15, 1, 7, 2, 8]",1C.0
none,2.08,0.005,True,0,18,8,False,after_each_move,1,none,91,415.0,"[2, 6, 1, 5, 0, 3]",1C.0
featureBased,3.29,0.005,True,1,18,8,True,after_each_move,1,full,92,657.0,"[6, 13, 10, 0, 7, 9]",1C.0
featureBased,2.97,0.005,True,1,18,8,True,after_each_move,1,full,93,594.0,"[6, 1, 12, 10, 11, 5]",1C.0
none,3.12,0.005,True,0,18,8,False,after_each_move,1,none,94,623.0,"[2, 9, 10, 7, 14, 0]",1C.0
featureBased,0.0,0.005,False,1,18,8,True,after_each_move,1,full,95,,,1C.0
none,2.93,0.005,True,0,18,8,False,after_each_move,1,none,96,585.0,"[1, 13, 10, 15, 2, 0]",1C.0
featureBased,3.28,0.005,True,1,18,8,True,after_each_move,1,full,97,655.0,"[3, 4, 10, 6, 5, 13]",1C.0
demonstration,3.42,0.005,True,2,18,8,False,after_each_move,1,full,98,684.0,"[14, 15, 12, 0, 3, 4]",1C.0
none,1.01,0.005,True,0,18,8,False,after_each_move,1,none,99,202.0,"[10, 11, 8, 15, 4, 13]",1C.0
none,3.16,0.005,True,0,18,8,False,after_each_move,1,none,100,631.0,"[0, 5, 14, 15, 12, 7]",1C.0
featureBased,3.33,0.005,True,1,18,8,True,after_each_move,1,full,101,665.0,"[3, 0, 15, 13, 12, 5]",1C.0
none,1.02,0.005,True,0,18,8,False,after_each_move,1,none,102,204.0,"[5, 6, 2, 0, 8, 14]",1C.0
featureBased,2.33,0.005,True,1,18,8,True,after_each_move,1,full,103,466.0,"[5, 11, 15, 8, 4, 9]",1C.0
demonstration,3.39,0.005,True,2,18,8,False,after_each_move,1,full,104,678.0,"[12, 0, 5, 1, 4, 6]",1C.0
demonstration,3.01,0.005,True,2,18,8,False,after_each_move,1,full,105,601.0,"[3, 8, 13, 6, 2, 7]",1C.0
none,1.69,0.005,True,0,18,8,False,after_each_move,1,none,106,338.0,"[10, 13, 15, 6, 4, 2]",1C.0
featureBased,2.82,0.005,True,1,18,8,True,after_each_move,1,full,107,564.0,"[15, 12, 14, 6, 10, 8]",1C.0
none,2.93,0.005,True,0,18,8,False,after_each_move,1,none,108,585.0,"[0, 15, 7, 10, 2, 5]",1C.0
featureBased,2.87,0.005,True,1,18,8,True,after_each_move,1,full,109,573.0,"[11, 8, 0, 15, 9, 1]",1C.0
featureBased,3.03,0.005,True,1,18,8,True,after_each_move,1,full,110,606.0,"[4, 9, 11, 15, 14, 1]",1C.0
featureBased,0.0,0.005,False,1,18,8,True,after_each_move,1,full,111,,,1C.0
featureBased,1.34,0.005,True,1,18,8,True,after_each_move,1,full,112,267.0,"[14, 15, 6, 0, 8, 7]",1C.0
featureBased,3.05,0.005,True,1,18,8,True,after_each_move,1,full,113,609.0,"[4, 9, 5, 11, 8, 13]",1C.0
none,0.0,0.005,False,0,18,8,False,after_each_move,1,none,114,,,1C.0
featureBased,2.37,0.005,True,1,18,8,True,after_each_move,1,full,115,473.0,"[8, 14, 7, 6, 15, 5]",1C.0
featureBased,0.0,0.005,False,1,18,8,True,after_each_move,1,full,116,,,1C.0
featureBased,2.81,0.005,True,1,18,8,True,after_each_move,1,full,117,562.0,"[12, 13, 15, 8, 2, 7]",1C.0
demonstration,3.05,0.005,True,2,18,8,False,after_each_move,1,full,118,609.0,"[14, 3, 12, 4, 5, 11]",1C.0
demonstration,3.49,0.005,True,2,18,8,False,after_each_move,1,full,119,698.0,"[14, 10, 0, 9, 13, 1]",1C.0
featureBased,2.12,0.005,True,1,18,8,True,after_each_move,1,full,120,424.0,"[14, 1, 7, 12, 0, 5]",1C.0
demonstration,3.07,0.005,True,2,18,8,False,after_each_move,1,full,121,613.0,"[9, 13, 3, 8, 6, 12]",1C.0
demonstration,3.47,0.005,True,2,18,8,False,after_each_move,1,full,122,694.0,"[12, 5, 2, 13, 15, 11]",1C.0
none,1.37,0.005,True,0,18,8,False,after_each_move,1,none,123,274.0,"[0, 3, 13, 12, 9, 8]",1C.0
demonstration,3.45,0.005,True,2,18,8,False,after_each_move,1,full,124,689.0,"[4, 9, 5, 8, 10, 0]",1C.0
none,1.97,0.005,True,0,18,8,False,after_each_move,1,none,125,394.0,"[14, 2, 3, 15, 12, 8]",1C.0
