,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
33,2,1,featureBased,full,2,1,"[0, 0, 0]",31.0,9,"[4, 5, 2, 3, 9, 8, 15, 7, 13]","[2122, 2783, 3532, 4284, 7085, 8700, 9440, 10881, 11513]","[1, 3, 7, 13]","[14745, 18876, 19946]"
34,2,1,featureBased,full,3,13,"[0, 0, 0]",43.0,7,"[5, 4, 3, 2, 7, 13, 12]","[2425, 3034, 3566, 4037, 4708, 5250, 5790]","[1, 3, 7, 12]","[7382, 10610, 11550]"
35,2,1,featureBased,full,4,4,"[0, 0, 0]",46.0,9,"[5, 2, 3, 4, 6, 8, 7, 13, 12]","[3748, 4207, 4693, 5348, 6296, 7363, 8235, 9128, 9668]","[1, 3, 7, 13]","[11898, 15489, 17035]"
36,2,1,featureBased,full,5,3,"[0, 0, 0]",46.0,9,"[5, 2, 3, 4, 6, 7, 8, 12, 13]","[1928, 2476, 3046, 3459, 4185, 5312, 6055, 6786, 7321]","[1, 3, 7, 13]","[8813, 12465, 13299]"
37,2,1,featureBased,full,6,9,"[0, 0, 0]",42.0,9,"[2, 3, 5, 4, 8, 7, 9, 16, 17]","[1126, 1590, 2317, 2858, 6589, 7645, 8585, 9232, 9948]","[1, 5, 9, 17]","[12634, 16310, 17156]"
38,2,1,featureBased,full,7,7,"[0, 0, 0]",18.0,10,"[5, 2, 3, 4, 6, 8, 7, 9, 15, 14]","[1591, 2012, 2730, 3172, 3796, 4557, 5349, 6197, 7114, 7627]","[1, 4, 8, 14]","[8961, 12807, 13654]"
39,2,1,featureBased,full,8,2,"[0, 0, 0]",46.0,9,"[5, 2, 3, 4, 6, 7, 8, 13, 12]","[1521, 2082, 2614, 3104, 3745, 4363, 4917, 5678, 6523]","[1, 3, 7, 13]","[7525, 12324, 13396]"
40,2,1,featureBased,full,9,12,"[0, 0, 0]",45.0,7,"[4, 3, 2, 5, 7, 12, 13]","[2924, 3388, 4266, 4732, 5428, 6606, 7107]","[1, 3, 7, 12]","[8537, 11796, 12638]"
41,2,1,featureBased,full,10,8,"[0, 0, 0]",50.0,8,"[5, 2, 3, 4, 9, 6, 10, 11]","[888, 1555, 2143, 2500, 3117, 4310, 5232, 5949]","[1, 2, 6, 11]","[8055, 11497, 12329]"
42,2,1,featureBased,full,11,15,[],39.0,10,"[5, 2, 3, 4, 7, 9, 13, 12, 17, 16]","[4023, 4482, 4937, 5383, 6069, 6991, 7861, 8463, 9965, 10386]","[1, 3, 7, 12]","[11601, 12608, 13191]"
43,2,1,featureBased,full,12,11,[],14.0,14,"[5, 2, 3, 4, 9, 7, 6, 11, 10, 17, 16, 12, 13, 8]","[1441, 1951, 2421, 3207, 3754, 4415, 5247, 5763, 6290, 6839, 7491, 8046, 8542, 11360]","[1, 2, 6, 11]","[13023, 13783, 14463]"
44,2,1,featureBased,full,13,14,[],42.0,10,"[5, 2, 3, 4, 7, 8, 12, 15, 14, 13]","[1647, 2117, 2544, 3309, 3809, 4419, 5291, 6714, 7405, 8101]","[1, 3, 7, 12]","[10368, 11398, 11909]"
45,2,1,featureBased,full,14,0,[],54.0,8,"[5, 2, 3, 4, 8, 7, 15, 14]","[1927, 2394, 3043, 3749, 4252, 4853, 6825, 7406]","[1, 4, 8, 14]","[8474, 9419, 10026]"
46,2,1,featureBased,full,15,10,[],44.0,9,"[5, 2, 3, 4, 9, 6, 8, 11, 10]","[6423, 6983, 7511, 8003, 8566, 9298, 9967, 10568, 11111]","[1, 2, 6, 10]","[12332, 13097, 13858]"
47,2,1,featureBased,full,16,6,[],43.0,14,"[5, 2, 3, 4, 9, 7, 13, 12, 17, 16, 6, 8, 11, 10]","[1697, 2209, 2626, 3140, 3631, 4287, 4756, 5155, 5833, 6344, 9677, 10381, 11123, 11786]","[1, 2, 6, 11]","[13177, 14047, 14768]"
48,3,1,featureBased,full,1,3,"[3, 0, 0]",29.0,5,"[7, 6, 9, 17, 16]","[5447, 7555, 9063, 13158, 14362]","[1, 5, 9, 17]","[15831, 25991, 27743]"
49,3,1,featureBased,full,2,14,"[0, 0, 0]",45.0,7,"[7, 6, 9, 8, 15, 14, 12]","[2821, 3811, 4892, 5713, 7489, 8640, 9358]","[1, 3, 7, 12]","[11009, 17511, 18778]"
50,3,1,featureBased,full,3,5,"[0, 0, 0]",40.0,7,"[7, 12, 6, 11, 8, 9, 17]","[1632, 3573, 5849, 6891, 10484, 12903, 14785]","[1, 3, 7, 12]","[15975, 22971, 24718]"
51,3,1,featureBased,full,4,12,"[0, 0, 0]",43.0,9,"[7, 8, 9, 6, 13, 12, 14, 16, 11]","[1635, 2999, 4190, 5316, 6333, 7425, 8727, 10611, 12326]","[1, 3, 7, 12]","[14254, 21722, 23312]"
